model,epoch,static_AP,dynamic_AP,delta_AP_dynamic_minus_static,static_KD loss,dynamic_KD loss,delta_KD loss_dynamic_minus_static,static_reach match,dynamic_reach match,delta_reach match_dynamic_minus_static,static_reach rank,dynamic_reach rank,delta_reach rank_dynamic_minus_static,static_teacher rec,dynamic_teacher rec,delta_teacher rec_dynamic_minus_static,static_zt task,dynamic_zt task,delta_zt task_dynamic_minus_static
n,50,0.35633,0.36162,0.005290000000000017,0.49122,1.05699,0.5657700000000001,0.0,0.00379,0.00379,0.0,0.15352,0.15352,0.0,0.00483,0.00483,0.0,0.90223,0.90223
n,100,0.39617,0.39223,-0.003939999999999999,0.45912,0.98632,0.5272,0.0,0.0038,0.0038,0.0,0.15352,0.15352,0.0,0.00459,0.00459,0.0,0.88234,0.88234
n,150,0.43482,0.43619,0.0013700000000000379,0.3529,0.62401,0.27110999999999996,0.0,0.00181,0.00181,0.0,0.15324,0.15324,0.0,0.00374,0.00374,0.0,0.52313,0.52313
n,200,0.45957,0.46027,0.0007000000000000339,0.32863,0.49247,0.16384000000000004,0.0,0.00183,0.00183,0.0,0.15324,0.15324,0.0,0.00354,0.00354,0.0,0.50716,0.50716
n,442,0.51672,0.51912,0.0024000000000000687,0.25131,0.21262,-0.038689999999999974,0.0,0.00141,0.00141,0.0,0.15318,0.15318,0.0,0.00305,0.00305,0.0,0.44804,0.44804
s,50,0.38198,0.4436,0.06162000000000001,1.9883,0.84137,-1.14693,0.0,0.00355,0.00355,0.0,0.15348,0.15348,0.0,0.00402,0.00402,0.0,0.74229,0.74229
s,100,0.428,0.48404,0.056040000000000034,1.77599,0.74306,-1.03293,0.0,0.0034,0.0034,0.0,0.15346,0.15346,0.0,0.00389,0.00389,0.0,0.71853,0.71853
s,150,0.47073,0.53216,0.061429999999999985,1.56467,0.40042,-1.16425,0.0,0.00149,0.00149,0.0,0.15319,0.15319,0.0,0.00323,0.00323,0.0,0.43118,0.43118
s,200,0.49709,0.54524,0.04814999999999997,1.38842,0.33735,-1.05107,0.0,0.00134,0.00134,0.0,0.15317,0.15317,0.0,0.00304,0.00304,0.0,0.41385,0.41385
s,376,0.55445,0.59624,0.041789999999999994,1.00937,0.19308,-0.8162900000000001,0.0,0.00112,0.00112,0.0,0.15314,0.15314,0.0,0.00266,0.00266,0.0,0.37295,0.37295
