run_id,server,kind,status,model,tag,planned_epochs,rows,current_epoch,progress_pct,best_map50_95,best_epoch,last_map50_95,best_final_drop,init_eval_map50_95,baseline_best,baseline_final,best_minus_baseline_best,last_minus_baseline_best,last_minus_baseline_final,safe_threshold,best_minus_safe,last_minus_safe,eta_cst_approx,remaining_hours_approx,batch,strict_batch_size,bn_stats_mode,ladd_kd_decay_mode,effective_alpha_kd_last,kd_multiplier_last,ladd_b_det_only,nan_or_inf_detected_last,oom_seen_in_log_extract,auto_batch_reduction_seen,traceback_seen_in_log_extract,notes,evidence_dir
N1_basecontinue_b100,ladd4090,b_entrance,completed,n,bentrance_N1_basecontinue_b100_after67b,100,100,100,100.0,0.56615,99,0.56594,0.00021,0.55584,0.55654,,0.00961,0.00940,,,,,,,64,false,always_freeze,none,0.0,1.0,1,0,0,0,0,baseline best 纯 detection continuation；N 组最强有效 B-entrance 参考。,ladd/results/b_entrance_20260613/evidence/ladd4090/N1_basecontinue_b100
N2_a2best_continue_b100,ladd4090,b_entrance,completed,n,bentrance_N2_a2best_continue_b100_after67b,100,100,100,100.0,0.55872,100,0.55872,0.00000,0.56102,0.55654,,0.00218,0.00218,,,,,,,64,false,always_freeze,none,1.0,1.0,0,0,0,0,0,A2 selected/best checkpoint 继续 B100；低于 N1，说明 N 上 A2 warm-start 不优于 baseline continuation。,ladd/results/b_entrance_20260613/evidence/ladd4090/N2_a2best_continue_b100
N3_base_a2last_decomp_b100,ladd4090,b_entrance,completed,n,bentrance_N3_base_a2last_decomp_b100_after67b,100,100,100,100.0,0.55722,100,0.55722,0.00000,0.55584,0.55654,,0.00068,0.00068,,,,,,,64,false,always_freeze,none,1.0,1.0,0,0,0,0,0,baseline detector + A2 decomposition split-load；低于 N1，当前 split-load decomp 未证明增益。,ladd/results/b_entrance_20260613/evidence/ladd4090/N3_base_a2last_decomp_b100
N4_base_a2last_kdramp_b120,ladd4090,b_entrance,completed,n,bentrance_N4_base_a2last_kdramp_b120_after67b,120,120,120,100.0,0.56379,113,0.56311,0.00068,0.55584,0.55654,,0.00725,0.00657,,,,,,,64,false,always_freeze,warmup_linear,1.0,1.0,0,0,0,0,0,baseline detector + A2 decomposition + KD-only ramp B120；低于 N1，但高于 N2/N3。,ladd/results/b_entrance_20260613/evidence/ladd4090/N4_base_a2last_kdramp_b120
S1_basecontinue_b100_autodl,autodl,b_entrance,completed,s,bentrance_S1_basecontinue_b100_autodl_after67b,100,100,100,100.0,0.62493,62,0.62238,0.00255,0.62800,0.62897,0.62233,-0.00404,-0.00659,0.00005,0.62697,-0.00204,-0.00459,,,64,false,always_freeze,none,0.0,1.0,1,0,0,0,0,s baseline best 纯 detection continuation；AutoDL 完成，作为 S 组 continuation 参考。,ladd/results/b_entrance_20260613/evidence/autodl/S1_basecontinue_b100_autodl
S2_a2best_continue_b100_oom_old,ladd4090,b_entrance_invalid,failed_oom_invalid,s,bentrance_S2_a2best_continue_b100_after67b,100,23,23,23.0,0.61945,23,0.61945,0.00000,0.62964,0.62897,0.62233,-0.00952,-0.00952,-0.00288,0.62697,-0.00752,-0.00752,2026-06-13 22:02 CST,2.68,64,false,always_freeze,none,1.0,1.0,0,0,1,0,1,旧 S2 因 OOM 中断，只作为失败证据，不作为有效结果。,ladd/results/b_entrance_20260613/evidence/ladd4090/S2_a2best_continue_b100_oom_old
S2_a2best_continue_b100_retry2_running,ladd4090,b_entrance,running,s,bentrance_S2_a2best_continue_b100_after67b_retry2_b64_after_oom,100,86,86,86.0,0.62599,54,0.62251,0.00348,0.62964,0.62897,0.62233,-0.00298,-0.00646,0.00018,0.62697,-0.00098,-0.00446,2026-06-13 19:44 CST,0.38,64,false,always_freeze,none,1.0,1.0,0,0,0,0,0,S2 strict b64 retry 正在跑；目前 best 接近但未超过 s safe threshold。,ladd/results/b_entrance_20260613/evidence/ladd4090/S2_a2best_continue_b100_retry2_running
S3_base_a2last_decomp_b100,ladd4090,b_entrance,completed,s,bentrance_S3_base_a2last_decomp_b100_after67b,100,100,100,100.0,0.62553,65,0.62262,0.00291,0.62799,0.62897,0.62233,-0.00344,-0.00635,0.00029,0.62697,-0.00144,-0.00435,,,64,false,always_freeze,none,1.0,1.0,0,0,0,0,0,S baseline detector + A2 decomposition split-load；完成，best 接近 S2 retry 当前 best，但 final 回落到 SAR baseline final 附近。,ladd/results/b_entrance_20260613/evidence/ladd4090/S3_base_a2last_decomp_b100
S4_base_a2last_kdramp_b120_autobatch_old,ladd4090,b_entrance_invalid,auto_batch_invalid,s,bentrance_S4_base_a2last_kdramp_b120_after67b,120,24,24,20.0,0.62103,22,0.61618,0.00485,0.62799,0.62897,0.62233,-0.00794,-0.01279,-0.00615,0.62697,-0.00594,-0.01079,2026-06-13 23:43 CST,4.36,64,false,always_freeze,warmup_linear,0.0,0.0,0,0,1,1,0,旧 S4 触发 auto batch reduction 到 b32，实验无效；只保留作失败/资源证据。,ladd/results/b_entrance_20260613/evidence/ladd4090/S4_base_a2last_kdramp_b120_autobatch_old
S4_base_a2last_kdramp_b120_retry_strict_b64_running,ladd4090,b_entrance,running,s,bentrance_S4_base_a2last_kdramp_b120_after67b_retry_strict_b64,120,8,8,6.7,0.62038,8,0.62038,0.00000,0.62799,0.62897,0.62233,-0.00859,-0.00859,-0.00195,0.62697,-0.00659,-0.00659,2026-06-13 22:43 CST,3.36,64,true,always_freeze,warmup_linear,0.0,0.0,0,0,0,0,0,S4 strict b64 KD-only ramp 正在跑；早期 AP finite，暂未见 auto-batch/NaN。,ladd/results/b_entrance_20260613/evidence/ladd4090/S4_base_a2last_kdramp_b120_retry_strict_b64_running
comparison_n_fgd_running,ladd4090,comparison_running,running,n,transfer_fgd_hbb_ogsod11n_from_yolo_formal_nomosaic_yolo11n_fgd_v2_20260612_fgd_original_low_from_yolo_s0_b_e800_b64_s0_gpu0,800,636,636,79.5,0.52561,631,0.52546,0.00015,,0.55654,,-0.03093,-0.03108,,,,,2026-06-14 05:15 CST,9.89,64,false,normal,none,1.0,1.0,0,0,0,0,0,comparison FGD n from YOLO pretrain 正在跑；中间结果远低于 n SAR baseline。,ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_n_fgd_running
comparison_s_fgd_running,ladd4090,comparison_running,running,s,transfer_fgd_hbb_ogsod11s_from_yolo_formal_nomosaic_yolo11s_fgd_v2_20260612_fgd_original_low_from_yolo_from_yolo_s0_b_e800_b64_s0_gpu1,800,452,452,56.5,0.58990,450,0.58972,0.00018,,0.62897,0.62233,-0.03907,-0.03925,-0.03261,0.62697,-0.03707,-0.03725,2026-06-14 18:49 CST,23.46,64,false,normal,none,1.0,1.0,0,0,0,0,0,comparison FGD s from YOLO pretrain 正在跑；中间结果远低于 s SAR baseline。,ladd/results/b_entrance_20260613/evidence/ladd4090/comparison_s_fgd_running
comparison_n_hallucidet_b16_running,autodl,comparison_running,running,n,hallucidet_yolo11n_s0_800ep_img256_b16_autodl_20260613,800,315,315,39.4,0.32472,313,0.31930,0.00542,,0.55654,,-0.23182,-0.23724,,,,,,,,,,,,,,,0,0,0,AutoDL HalluciDet standalone n b16 正在跑；中间结果远低于 n SAR baseline。,ladd/results/b_entrance_20260613/evidence/autodl/comparison_n_hallucidet_b16_running
