epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.774,1.02814,0.51305,0.83604,0,0,0,0,0,0,4.10515,0.04725,0.00895,0.00092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57302,0.23197,0,0,0.48537,0.05634,0.48196,0.47612,0.83129,0.76858,0.80973,0.51911,1.22725,0.57132,0.86478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51911,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,261.804,1.08258,0.53273,0.84289,0,0,0,0,0,0,1.51898,0.04261,0.00815,0.00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5384,0.23538,0,0,0.4854,0.05637,0.48256,0.47653,0.85156,0.76985,0.81253,0.52093,1.23695,0.57682,0.86523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52093,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
3,396.847,1.0696,0.52877,0.83847,0,0,0,0,0,0,1.17656,0.03893,0.00634,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5342,0.24297,0,0,0.48546,0.05641,0.48067,0.47441,0.82629,0.76366,0.80182,0.51539,1.28322,0.58762,0.86926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51539,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023
4,522.748,1.09976,0.54358,0.84509,0,0,0,0,0,0,1.23056,0.03523,0.00529,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54205,0.25059,0,0,0.48544,0.05638,0.48253,0.47641,0.84259,0.76971,0.80977,0.52604,1.24004,0.57214,0.86137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52604,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803
5,642.081,1.09246,0.53977,0.84419,0,0,0,0,0,0,1.22841,0.03153,0.00444,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55077,0.26013,0,0,0.48532,0.05623,0.48253,0.47569,0.84991,0.75363,0.80811,0.50714,1.32351,0.59857,0.87464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50714,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097
6,781.318,1.08865,0.53598,0.84527,0,0,0,0,0,0,1.12089,0.02819,0.00348,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56513,0.26875,0,0,0.48534,0.05632,0.47919,0.47371,0.836,0.76673,0.81112,0.51982,1.26208,0.58098,0.86654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51982,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
7,902.447,1.08105,0.53322,0.84063,0,0,0,0,0,0,1.13142,0.0262,0.00301,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57802,0.27554,0,0,0.48535,0.05632,0.47896,0.47386,0.82938,0.75332,0.79467,0.49853,1.35019,0.60485,0.87631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49853,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232
8,1015.83,1.08277,0.53152,0.84318,0,0,0,0,0,0,1.08221,0.02381,0.00284,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59423,0.27855,0,0,0.48535,0.05634,0.48186,0.47533,0.8189,0.76181,0.79601,0.50433,1.29862,0.58815,0.87525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50433,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079
9,1133.41,1.08543,0.53218,0.83982,0,0,0,0,0,0,1.14113,0.02126,0.00212,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60782,0.27989,0,0,0.48535,0.05634,0.47914,0.47317,0.8412,0.76584,0.80926,0.51347,1.28498,0.58324,0.86827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51347,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
10,1275,1.09741,0.54093,0.84469,0,0,0,0,0,0,1.1824,0.01992,0.00188,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62105,0.28302,0,0,0.48543,0.05637,0.48082,0.47399,0.84057,0.7666,0.81203,0.51451,1.27357,0.58546,0.87017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51451,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345
