source,family,seed,phase,run_name,init_map,best_map,best_epoch,last_map,epochs_logged,note
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,0,A1,sar_tskd_tuaux_MAINLINE_20260427_s0_repeat_a1_minimal_role_split_e50_b32_gpu0,0.5526354995586095,0.55235,1,0.55235,50,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,0,A2 det=0,sar_tskd_tuaux_MAINLINE_20260427_s0_repeat_a2_minimal_role_split_e100_b32_gpu0,0.5526354995586095,0.40335,1,0.05873,100,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,0,C from A2-last,sar_tskd_tuaux_MAINLINE_20260427_s0_repeat_c_skipb_minimal_role_split_e150_b32_gpu0,0.0632377794906912,0.55716,175,0.55191,225,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,0,Cext resume,sar_tskd_tuaux_MAINLINE_20260427_s0_repeat_c_skipb_minimal_role_split_e150_b32_gpu0_MAINLINE_20260427_s0_ext300,,0.56294,142,0.56171,192,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,1,A1,sar_tskd_tuaux_MAINLINE_20260427_s1_repeat_a1_minimal_role_split_e50_b32_gpu0,0.5526354995586095,0.55235,1,0.55235,50,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,1,A2 det=0,sar_tskd_tuaux_MAINLINE_20260427_s1_repeat_a2_minimal_role_split_e100_b32_gpu0,0.5526354995586095,0.36574,1,0.01107,100,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,1,C from A2-last,sar_tskd_tuaux_MAINLINE_20260427_s1_repeat_c_skipb_minimal_role_split_e150_b32_gpu0,0.0174805425147979,0.55937,173,0.55778,223,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,1,Cext resume,sar_tskd_tuaux_MAINLINE_20260427_s1_repeat_c_skipb_minimal_role_split_e150_b32_gpu0_MAINLINE_20260427_s1_ext300,,0.55039,42,0.53094,92,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,2,A1,sar_tskd_tuaux_MAINLINE_20260427_s2_repeat_a1_minimal_role_split_e50_b32_gpu0,0.5526354995586095,0.55235,1,0.55235,50,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
server_results_20260428,old MAINLINE A1(50)->A2(100 det=0)->C,2,A2 det=0,sar_tskd_tuaux_MAINLINE_20260427_s2_repeat_a2_minimal_role_split_e100_b32_gpu0,0.5526354995586095,0.40034,1,0.00014,100,mosaic=1 close@10; Sixiang OBB; A2 det loss disabled in minimal chain
