model,method,source,epochs_recorded,last_ap,last_ap50,best_ap,best_ap_epoch,best_ap50,best_ap50_epoch,note,sar_baseline_best_ap,sar_baseline_best_ap50,delta_best_ap_vs_sar_baseline,delta_best_ap50_vs_sar_baseline,rgb_baseline_best_ap,rgb_baseline_best_ap50,gap_best_ap_to_rgb_baseline,gap_best_ap50_to_rgb_baseline
n,Static,n_static_results.csv,800,0.56836,0.84721,0.57113,758,0.84949,770,,0.54091,0.81941,0.030220000000000025,0.030079999999999996,0.6161,0.92049,-0.044969999999999954,-0.07100000000000006
n,Dynamic,n_dynamic_results.csv,800,0.5703,0.84849,0.57544,749,0.85286,750,,0.54091,0.81941,0.03452999999999995,0.03344999999999998,0.6161,0.92049,-0.04066000000000003,-0.06763000000000008
n,Probe-A,n_probeA_results.csv,347,0.49778,0.7726,0.49778,347,0.7726,347,,0.54091,0.81941,-0.04313,-0.04681000000000002,0.6161,0.92049,-0.11831999999999998,-0.14789000000000008
s,Static,s_static_4090_results.csv,800,0.62425,0.91334,0.62716,739,0.91334,800,,0.61972,0.90837,0.007440000000000002,0.00497000000000003,0.66029,0.94702,-0.03312999999999999,-0.03367999999999993
s,Dynamic,s_dynamic_4090_results.csv,662,0.63003,0.91917,0.63647,656,0.92123,649,,0.61972,0.90837,0.01674999999999993,0.012859999999999983,0.66029,0.94702,-0.023820000000000063,-0.02578999999999998
s,Probe-A,s_probeA_results.csv,800,0.62764,0.91364,0.63487,708,0.91981,714,,0.61972,0.90837,0.015149999999999997,0.011440000000000006,0.66029,0.94702,-0.025419999999999998,-0.027209999999999956
n,SAR baseline,n_sar_baseline_results.csv,800,0.53836,0.81755,0.54091,746,0.81941,760,baseline reference line,0.54091,0.81941,0.0,0.0,0.6161,0.92049,-0.07518999999999998,-0.10108000000000006
n,RGB baseline,n_rgb_baseline_results.csv,800,0.61345,0.91841,0.6161,758,0.92049,736,baseline reference line,0.54091,0.81941,0.07518999999999998,0.10108000000000006,0.6161,0.92049,0.0,0.0
s,SAR baseline,s_sar_baseline_results.csv,800,0.6157,0.90576,0.61972,770,0.90837,760,baseline reference line,0.61972,0.90837,0.0,0.0,0.66029,0.94702,-0.040569999999999995,-0.03864999999999996
s,RGB baseline,s_rgb_baseline_results.csv,759,0.65818,0.94509,0.66029,679,0.94702,672,baseline reference line,0.61972,0.90837,0.040569999999999995,0.03864999999999996,0.66029,0.94702,0.0,0.0
