epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,213.96,2.3835,2.89815,1.40261,0.38581,0.31289,0.26239,0.10644,2.30499,1.91774,1.16181,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,389.767,2.28586,1.81499,1.18619,0.3277,0.3384,0.23452,0.07758,2.41492,3.29211,1.22889,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,580.754,2.44194,1.82834,1.24214,0.18368,0.19938,0.09185,0.03344,nan,nan,nan,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,788.86,2.4387,1.80101,1.27788,0.63234,0.24138,0.26832,0.0946,2.43793,3.72752,1.26557,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,997.318,2.32408,1.65461,1.23099,0.43126,0.41305,0.34246,0.13475,2.18481,2.26617,1.18096,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1185.5,2.25478,1.5649,1.19562,0.5244,0.47742,0.41968,0.15817,2.2141,1.53129,1.1404,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1367.26,2.20138,1.49422,1.17593,0.42235,0.5267,0.46438,0.19178,2.10953,1.5902,1.13496,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1560.41,2.16808,1.464,1.16121,0.49226,0.46783,0.42331,0.17678,2.1263,3.17854,1.12147,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1764.04,2.12846,1.41728,1.1462,0.50367,0.56742,0.52972,0.23202,2.0463,1.44315,1.10437,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1940.32,2.1194,1.3966,1.13581,0.58598,0.50097,0.5281,0.22574,2.02255,1.36005,1.10327,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,2114.07,2.06647,1.34839,1.13039,0.57653,0.45277,0.47482,0.20194,2.10726,1.77209,1.09878,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,2289.7,2.06881,1.3352,1.12012,0.60856,0.53467,0.54518,0.24136,1.99705,1.37672,1.0794,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2468.72,2.07743,1.33755,1.12059,0.62027,0.56295,0.57415,0.25409,1.97896,1.22821,1.07182,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,2640.84,2.03598,1.29193,1.10141,0.6792,0.53366,0.58782,0.26725,1.96435,1.20201,1.07166,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,2816.59,2.02753,1.29221,1.10202,0.65445,0.57111,0.59405,0.27252,1.93154,1.20839,1.05773,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,2994.4,2.01745,1.26575,1.09793,0.65068,0.57667,0.59747,0.27074,1.95198,1.22032,1.05411,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,3170.42,2.02289,1.27671,1.09488,0.6933,0.59259,0.62715,0.28068,1.95105,1.17775,1.05285,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,3343.33,2.01306,1.25105,1.07901,0.69439,0.61599,0.64059,0.29088,1.89826,1.16127,1.04545,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,3521.43,1.99428,1.24271,1.08272,0.65306,0.59116,0.61074,0.28426,1.93263,1.26619,1.05498,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,3696.54,1.98418,1.23473,1.08278,0.62513,0.61091,0.61691,0.28485,1.90835,1.21776,1.04225,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,3872.35,1.96944,1.21835,1.07997,0.68268,0.61992,0.63724,0.30225,1.89357,1.0852,1.03877,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,4046.24,1.96034,1.20505,1.07312,0.70273,0.63581,0.66115,0.31424,1.8436,1.0589,1.03299,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
23,4224.23,1.95011,1.19998,1.07333,0.65546,0.62037,0.62931,0.29117,1.89778,1.14854,1.03527,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
24,4399.55,1.95586,1.18319,1.06404,0.71401,0.63785,0.68133,0.3284,1.83053,1.04236,1.02231,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982
25,4573.41,1.94579,1.17502,1.06259,0.69973,0.63384,0.65791,0.31144,1.86324,1.03696,1.02869,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
26,4750.31,1.94868,1.18284,1.06582,0.71531,0.63828,0.6708,0.32466,1.80841,1.02675,1.0181,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616
27,4925.85,1.92943,1.16779,1.05857,0.7175,0.61604,0.65943,0.32203,1.81358,1.01599,1.0167,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
28,5100.51,1.92247,1.17215,1.06061,0.69204,0.63346,0.65933,0.31466,1.83445,1.05263,1.01805,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722
29,5277.68,1.92705,1.16253,1.0591,0.69753,0.63763,0.66373,0.32014,1.81584,1.02138,1.01567,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
30,5454.19,1.92269,1.15783,1.05169,0.72466,0.6623,0.69784,0.33612,1.7944,1.00769,1.00986,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794
31,5632.21,1.90285,1.13977,1.05431,0.71359,0.67969,0.69056,0.33697,1.77092,1.0219,1.00843,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
32,5809.51,1.92537,1.15445,1.05099,0.72188,0.66426,0.69882,0.35145,1.74281,0.9588,0.99694,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337,0.0298901,0.00996337
33,5985.57,1.90381,1.14237,1.05326,0.72468,0.66912,0.6987,0.34384,1.76181,0.96868,0.99827,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
34,6164.41,1.91064,1.14309,1.04837,0.71986,0.67858,0.697,0.34189,1.7948,0.96822,1.00384,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849,0.0298755,0.00995849
35,6349.44,1.89882,1.12759,1.04404,0.72458,0.6955,0.71533,0.35271,1.74849,0.95925,0.99695,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
36,6526.97,1.88508,1.12129,1.04119,0.74654,0.69,0.72522,0.35776,1.73775,0.94503,0.99423,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332,0.02986,0.00995332
37,6705.72,1.89206,1.13396,1.04633,0.74412,0.70244,0.72548,0.36116,1.72949,0.95174,0.99218,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
38,6884.22,1.88704,1.11611,1.03839,0.73501,0.6875,0.71065,0.35389,1.74283,0.94869,0.99354,0.0298435,0.00994784,0.0298435,0.00994784,0.0298435,0.00994784,0.0298435,0.00994784
39,7062.51,1.86766,1.10972,1.04072,0.755,0.69409,0.73216,0.36799,1.71537,0.91285,0.98472,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
40,7240.37,1.87016,1.10288,1.03588,0.74936,0.69601,0.72538,0.36505,1.72832,0.92972,0.98555,0.0298262,0.00994206,0.0298262,0.00994206,0.0298262,0.00994206,0.0298262,0.00994206
41,7417.54,1.87338,1.10876,1.0376,0.7584,0.70508,0.7367,0.36897,1.70611,0.92874,0.98287,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
