epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,173.724,2.61822,2.7191,1.59604,0.22738,0.19438,0.10774,0.03582,2.78017,2.1183,1.37735,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,354.028,2.64351,2.09408,1.39296,0.22903,0.16746,0.10597,0.03386,2.85166,6.95897,1.54093,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,534.338,2.8496,2.30577,1.48122,0.36832,0.03633,0.01313,0.00345,3.28503,79.9541,1.96249,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,672.414,2.85398,2.31391,1.51823,0.48231,0.10719,0.04703,0.0159,3.03081,2.57083,2.16428,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,833.494,2.72543,2.15315,1.45209,0.22816,0.1532,0.09873,0.0314,2.80977,2.30135,1.4359,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,991.153,2.63422,2.0352,1.39335,0.36343,0.2006,0.17325,0.06112,2.69516,1.98044,1.37514,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1141.32,2.57988,1.9692,1.37176,0.38851,0.23864,0.20748,0.07754,2.60463,2.15757,1.33728,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1292.97,2.54396,1.92381,1.34901,0.41559,0.27498,0.25107,0.09819,2.48902,1.89837,1.2964,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1454.62,2.49257,1.85143,1.33005,0.31656,0.23607,0.23769,0.09408,2.57154,1.88411,1.30268,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1606.22,2.47084,1.81842,1.30414,0.38122,0.28965,0.26587,0.11249,2.49043,1.81721,1.28209,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1759.04,2.40634,1.75551,1.29949,0.34928,0.26535,0.22128,0.08939,2.5524,5.1863,1.2994,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,1918.29,2.39435,1.73693,1.27391,0.47426,0.28754,0.27986,0.11946,2.3982,1.72261,1.24333,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2071.21,2.40253,1.72143,1.27085,0.44324,0.34756,0.33115,0.14819,2.37644,1.58016,1.23575,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
