epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,212.91,2.09928,1.52726,1.13578,0,0,0,0,0,0,1.23025,0.04524,0.00486,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55175,0.23997,0,0,0.48405,0.06491,0.47916,0.48405,0.6157,0.55945,0.57037,0.31806,1.88581,1.04518,1.00313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31806,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,387.163,1.90065,1.19175,1.03921,0,0,0,0,0,0,0.26604,0.02931,0.0023,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5222,0.25768,0,0,0.48416,0.06492,0.47866,0.48415,0.60214,0.5511,0.55785,0.29336,1.95801,1.0656,1.02401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29336,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,550.638,2.02436,1.27371,1.06504,0,0,0,0,0,0,0.21837,0.01621,0.00102,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59004,0.28054,0,0,0.48398,0.06485,0.4788,0.48396,0.4966,0.4782,0.46336,0.22362,2.19625,1.38274,1.12298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22362,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,745.206,2.17395,1.43119,1.1264,0,0,0,0,0,0,0.21481,0.00996,0.00068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5874,0.25435,0,0,0.484,0.06485,0.47979,0.48398,0.48811,0.45662,0.42336,0.19577,2.20335,1.46705,1.10805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19577,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,924.578,2.19605,1.46915,1.12921,0,0,0,0,0,0,0.21072,0.00786,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59965,0.25142,0,0,0.48404,0.06492,0.47943,0.48402,0.43989,0.4128,0.38864,0.1795,2.30588,1.46605,1.13815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1795,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1095.7,2.19726,1.44656,1.1298,0,0,0,0,0,0,0.2049,0.00683,0.00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62126,0.25151,0,0,0.48408,0.06489,0.47962,0.48406,0.52924,0.44273,0.43902,0.20164,2.20461,1.35648,1.11914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20164,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1295.94,2.18478,1.43124,1.12421,0,0,0,0,0,0,0.20626,0.00612,0.00044,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66538,0.25032,0,0,0.4841,0.06496,0.47961,0.48407,0.48771,0.41262,0.39746,0.18206,2.3171,1.5195,1.14882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18206,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1476.7,2.19203,1.44291,1.12699,0,0,0,0,0,0,0.20291,0.00564,0.00042,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76943,0.25902,0,0,0.48394,0.06491,0.47882,0.48391,0.52764,0.46926,0.4719,0.22347,2.14534,1.33422,1.10257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22347,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1667.47,2.16867,1.41703,1.12129,0,0,0,0,0,0,0.20111,0.00535,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72432,0.25746,0,0,0.48413,0.06498,0.47953,0.4841,0.49395,0.429,0.41796,0.20044,2.32073,1.37696,1.13725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20044,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1867.48,2.16641,1.41133,1.1123,0,0,0,0,0,0,0.19891,0.00506,0.00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71549,0.25635,0,0,0.48409,0.06491,0.47937,0.48407,0.52386,0.40628,0.4169,0.20727,2.21973,1.3471,1.1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20727,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,2045.24,2.12041,1.38519,1.11414,0,0,0,0,0,0,0.19639,0.00483,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7742,0.28206,0,0,0.48407,0.06494,0.47908,0.48405,0.49292,0.40511,0.39621,0.18432,2.29333,1.61538,1.14056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18432,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,2222.64,2.1406,1.38902,1.10876,0,0,0,0,0,0,0.19488,0.00464,0.00025,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70952,0.26595,0,0,0.48414,0.06494,0.47756,0.48401,0.48358,0.44176,0.43086,0.20814,2.2546,1.35749,1.12582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20814,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2422.77,2.16323,1.40787,1.11389,0,0,0,0,0,0,0.1993,0.00452,0.00028,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77534,0.28504,0,0,0.48395,0.06489,0.47932,0.48392,0.49692,0.43748,0.43159,0.221,2.14289,1.35762,1.09634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,2595.94,2.14017,1.37373,1.10614,0,0,0,0,0,0,0.19473,0.00436,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90505,0.30028,0,0,0.48419,0.06501,0.47974,0.48417,0.52821,0.43194,0.43985,0.21941,2.17308,1.30221,1.10441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21941,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,2779.53,2.13024,1.37481,1.10447,0,0,0,0,0,0,0.19513,0.00426,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79381,0.27888,0,0,0.48399,0.06492,0.47916,0.48397,0.55969,0.48183,0.48307,0.23774,2.11855,1.3144,1.09192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23774,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
