epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,179.323,2.86072,2.76501,1.69268,0,0.03807,0.02796,0.01818,0.15615,1.1688,545.395,0.03126,0.02411,0.00879,0.00108,0,0,0,0,0,0,0,0,0,0.01818,2.53236,2.51418,0.92749,0.18457,112.611,110.595,0.53466,0.01922,0.55832,0.53629,0.54677,0.18367,0.12943,0.04088,2.8039,2.06603,1.48536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04088,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,349.968,2.72894,2.12432,1.54236,0,0.03499,0.02526,0.01685,0.15555,1.04085,378.951,0.02645,0.03195,0.00272,0.00078,0,0,0,0,0,0,0,0,0,0.01685,2.55873,2.54189,1.20313,0.13347,95.28,93.2218,0.53485,0.01935,0.56292,0.54006,0.31451,0.21855,0.18496,0.06262,2.70717,1.93837,1.45068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06262,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996
3,520.28,2.66789,2.00546,1.48212,0,0.03384,0.02377,0.01545,0.1556,0.98658,284.064,0.02596,0.03165,0.0026,0.0009,0,0,0,0,0,0,0,0,0,0.01545,2.55349,2.53804,1.20067,0.13441,94.6087,92.5482,0.5351,0.01963,0.564,0.5404,0.3432,0.22525,0.18512,0.0634,2.72659,1.88155,1.41881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985
4,688.568,2.64287,1.94836,1.44604,0,0.0337,0.02228,0.01549,0.15529,0.96953,228.14,0.02666,0.0301,0.00218,0.00133,0,0,0,0,0,0,0,0,0,0.01549,2.61268,2.59719,1.19616,0.13902,55.8952,53.7873,0.53535,0.01962,0.57665,0.54878,0.34763,0.25857,0.22027,0.07879,2.61784,1.78538,1.35668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07879,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966
5,859.505,2.61746,1.91876,1.43305,0,0.03375,0.02304,0.01316,0.15493,0.96414,184.649,0.02692,0.0292,0.002,0.00103,0,0,0,0,0,0,0,0,0,0.01316,2.57179,2.55863,1.19991,0.15321,77.9651,75.9104,0.5354,0.01945,0.57074,0.54421,0.3257,0.26804,0.23111,0.08534,2.61685,1.79643,1.34642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08534,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939
6,1029.1,2.61091,1.90138,1.4294,0,0.03386,0.02355,0.01106,0.15463,0.95252,147.802,0.0275,0.02929,0.00083,0.00061,0,0,0,0,0,0,0,0,0,0.01106,2.53017,2.51912,1.32608,0.16676,99.7182,97.6998,0.53537,0.01934,0.56443,0.53953,0.35714,0.25312,0.23043,0.08621,2.60806,1.7505,1.33341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08621,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905
7,1198.77,2.59222,1.87074,1.41028,0,0.03394,0.02414,0.01053,0.15455,0.95149,119.51,0.02808,0.0303,0.00035,0.00026,0,0,0,0,0,0,0,0,0,0.01053,2.514,2.50347,1.42235,0.17254,107.756,105.695,0.5354,0.01917,0.56275,0.5378,0.37267,0.25345,0.24698,0.09199,2.5687,1.75317,1.32962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09199,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863
8,1363.52,2.58563,1.85653,1.39966,0,0.03376,0.02364,0.01033,0.15454,0.94158,110.323,0.02884,0.02939,0.0003,0.00091,0,0,0,0,0,0,0,0,0,0.01033,2.52477,2.51445,1.39387,0.17672,99.6704,97.6409,0.53535,0.01902,0.56551,0.53939,0.35682,0.27177,0.25499,0.10044,2.57232,1.67399,1.3362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10044,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813
9,1533.18,2.57104,1.8225,1.3894,0,0.03381,0.02189,0.01162,0.15473,0.9327,119.282,0.0305,0.02502,0.00179,0.00103,0,0,0,0,0,0,0,0,0,0.01162,2.61632,2.6047,1.0222,0.17706,43.4887,41.4491,0.53547,0.01891,0.58396,0.55143,0.38969,0.29178,0.27881,0.10551,2.535,1.69216,1.29487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10551,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
10,1704.43,2.57794,1.8289,1.39493,0,0.03376,0.02169,0.01169,0.15528,0.92757,113.328,0.0309,0.02363,0.00124,0.00077,0,0,0,0,0,0,0,0,0,0.01169,2.58874,2.57705,1.02116,0.19338,58.8643,56.8257,0.53532,0.01874,0.5795,0.54809,0.35874,0.27069,0.24968,0.09152,2.58224,1.7313,1.32142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09152,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691
