epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,209.926,2.28117,2.27777,1.35342,0.49194,0.43347,0.4247,0.18049,2.18393,1.40435,1.11499,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,396.578,2.17894,1.5029,1.1385,0.26379,0.4197,0.23966,0.07916,2.24494,2.51518,1.19049,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,584.577,2.35356,1.69975,1.23534,0.14844,0.21455,0.10825,0.04003,2.77453,16.8691,1.36458,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,778.931,2.38954,1.6877,1.27154,0.41393,0.35494,0.29836,0.11049,2.38462,2.84842,1.24332,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,981.847,2.27099,1.5207,1.24615,0.49825,0.4281,0.38638,0.14592,2.2792,2.41166,1.21515,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1174.1,2.17279,1.41528,1.21057,0.66004,0.49913,0.54011,0.21832,2.06766,1.27507,1.1445,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1362.62,2.11617,1.33088,1.18383,0.61081,0.51419,0.51466,0.2007,2.11884,1.47826,1.16422,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1548.07,2.06583,1.28164,1.16595,0.65229,0.55262,0.56228,0.24211,1.97056,1.26486,1.1025,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1749.62,2.02344,1.23667,1.14969,0.6342,0.57009,0.5976,0.25908,2.01784,1.29576,1.11815,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1946.75,1.98761,1.19877,1.12883,0.67338,0.58751,0.62042,0.28254,1.92039,1.1557,1.08944,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,2140.67,1.96324,1.17174,1.11731,0.6794,0.61455,0.63691,0.28376,1.96346,1.18671,1.09303,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,2320.7,1.94072,1.14553,1.10691,0.70018,0.6028,0.63505,0.29838,1.88146,1.08256,1.06907,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2513.36,1.9201,1.12057,1.09548,0.69804,0.64654,0.65483,0.30749,1.88274,1.15177,1.06861,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,2710.64,1.90949,1.09391,1.08733,0.71675,0.65734,0.67326,0.31278,1.82412,1.12108,1.04193,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,2910.92,1.88541,1.08011,1.08036,0.72448,0.68453,0.7096,0.33231,1.85603,1.06313,1.04595,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
