epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,108.478,0,0,0,0,0.02469,0.01019,0.34249,0.24336,45.1821,0,0,0,0,0.00869,0,0,0,0,0,0,0,0,0,0.34249,2.34589,2.0034,0,0,2.55149,2.08746,0.49095,0.03977,0.51055,0.49869,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.8115,0.000475296,0.000475296,0.000475296
2,195.046,0,0,0,0,0.03222,0.0139,0.01194,0.15477,1.51572,0,0,0,0,0.01478,0,0,0,0,0,0,0,0,0,0.01194,2.26919,2.25725,0,0,15.851,14.3949,0.49798,0.02098,0.48543,0.51184,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74333,0.000857418,0.000857418,0.000857418
3,287.435,0,0,0,0,0.03561,0.01533,0.0118,0.15471,1.40202,0,0,0,0,0.00404,0,0,0,0,0,0,0,0,0,0.0118,2.21965,2.20785,0,0,27.9885,26.7527,0.52095,0.01841,0.51353,0.53194,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.62351,0.00114523,0.00114523,0.00114523
4,376.63,0,0,0,0,0.03869,0.01656,0.00944,0.15434,1.39876,0,0,0,0,0.00478,0,0,0,0,0,0,0,0,0,0.00944,2.2447,2.23526,0,0,41.1544,39.4932,0.54342,0.01536,0.55518,0.55135,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.62257,0.00100459,0.00100459,0.00100459
5,466.187,0,0,0,0,0.03924,0.0179,0.01489,0.15515,1.35666,0,0,0,0,0.01514,0,0,0,0,0,0,0,0,0,0.01489,2.31037,2.29548,0,0,61.3238,59.7737,0.54615,0.01645,0.56191,0.55342,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.59898,0.000863116,0.000863116,0.000863116
6,552.273,0,0,0,0,0.03873,0.02308,0.01643,0.1554,1.31725,0,0,0,0,0.00454,0,0,0,0,0,0,0,0,0,0.01643,2.56959,2.55316,0,0,82.1171,80.2713,0.53834,0.01885,0.56567,0.54441,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.55543,0.000721645,0.000721645,0.000721645
7,636.15,0,0,0,0,0.0409,0.02483,0.01197,0.15475,1.33447,0,0,0,0,0.00347,0,0,0,0,0,0,0,0,0,0.01197,2.41942,2.40746,0,0,94.825,93.0212,0.53228,0.01921,0.5584,0.53891,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57039,0.000580174,0.000580174,0.000580174
8,721.024,0,0,0,0,0.04084,0.0279,0.0092,0.15437,1.34369,0,0,0,0,0.00144,0,0,0,0,0,0,0,0,0,0.0092,2.28646,2.27726,0,0,100.367,98.4689,0.53131,0.01884,0.54267,0.53854,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57744,0.000438703,0.000438703,0.000438703
9,803.47,0,0,0,0,0.04075,0.03244,0.00603,0.15398,1.34755,0,0,0,0,0.00161,0,0,0,0,0,0,0,0,0,0.00603,2.36899,2.36295,0,0,102.358,100,0.52953,0.01855,0.53536,0.53721,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.58236,0.000297232,0.000297232,0.000297232
10,887.452,0,0,0,0,0.04084,0.03299,0.00433,0.1536,1.32933,0,0,0,0,0.00088,0,0,0,0,0,0,0,0,0,0.00433,2.34475,2.34042,0,0,105.375,102.931,0.52828,0.01867,0.5332,0.53479,0.00044,0.09163,0.00041,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.56197,0.000155761,0.000155761,0.000155761
