epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,64.4002,0,0,0,0,0.02296,0.00659,0.55704,0.30216,121.928,0,0,0,0,0.00873,0,0,0,0,0,0,0,0,0,0.55704,2.33437,1.77733,0,0,0.72401,0.37734,0.47909,0.05848,0.46948,0.47733,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.826,0.000474262,0.000474262,0.000474262
2,125.46,0,0,0,0,0.0203,0.01018,0.01786,0.15577,1.45844,0,0,0,0,0.00522,0,0,0,0,0,0,0,0,0,0.01786,2.60028,2.58242,0,0,1.60046,0.82654,0.49445,0.062,0.48553,0.49244,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66777,0.000856487,0.000856487,0.000856487
3,194.142,0,0,0,0,0.02651,0.01345,0.01376,0.15511,1.24687,0,0,0,0,0.00589,0,0,0,0,0,0,0,0,0,0.01376,2.46755,2.45379,0,0,10.5632,8.33876,0.48618,0.05889,0.46673,0.48076,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.46159,0.0011444,0.0011444,0.0011444
4,260.712,0,0,0,0,0.02735,0.01101,0.01114,0.15459,1.23541,0,0,0,0,0.00337,0,0,0,0,0,0,0,0,0,0.01114,2.47156,2.46042,0,0,25.6469,22.9193,0.49184,0.06684,0.47528,0.48926,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44287,0.00100459,0.00100459,0.00100459
5,323.712,0,0,0,0,0.02842,0.01294,0.01267,0.15484,1.21586,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0.01267,2.3788,2.36613,0,0,30.529,27.6352,0.49774,0.06797,0.48394,0.49582,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42492,0.000863116,0.000863116,0.000863116
6,389.314,0,0,0,0,0.0295,0.01919,0.00628,0.15389,1.20177,0,0,0,0,0.00038,0,0,0,0,0,0,0,0,0,0.00628,2.37762,2.37134,0,0,31.9307,27.33,0.4991,0.06904,0.48402,0.49426,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41101,0.000721645,0.000721645,0.000721645
7,457.115,0,0,0,0,0.02948,0.01961,0.00465,0.15365,1.18566,0,0,0,0,0.00052,0,0,0,0,0,0,0,0,0,0.00465,2.37617,2.37152,0,0,32.8382,29.4625,0.49802,0.06625,0.48362,0.4937,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39357,0.000580174,0.000580174,0.000580174
8,526.066,0,0,0,0,0.02928,0.01742,0.00387,0.15354,1.1916,0,0,0,0,0.00026,0,0,0,0,0,0,0,0,0,0.00387,2.39596,2.39208,0,0,35.118,31.5445,0.49553,0.06378,0.48218,0.49238,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39597,0.000438703,0.000438703,0.000438703
9,587.814,0,0,0,0,0.02914,0.01659,0.00351,0.15349,1.18187,0,0,0,0,0.00066,0,0,0,0,0,0,0,0,0,0.00351,2.40777,2.40427,0,0,37.8145,34.3646,0.49153,0.06225,0.48032,0.48689,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38526,0.000297232,0.000297232,0.000297232
10,653.95,0,0,0,0,0.02929,0.01896,0.00313,0.15343,nan,0,0,0,0,0.00087,0,0,0,0,0,0,0,0,0,0.00313,2.40029,2.39716,0,0,39.9938,36.6476,0.49118,0.06312,0.48701,0.48847,0.00057,0.07217,0.00038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.000155761,0.000155761,0.000155761
