results_hash,canonical_run_id,canonical_path,alias_run_id,alias_path,source_server,family
0d9c23d9b113a417349ced08e9b3b92f2d3eca64,a1,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_detonly/a1,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a1_e10_b64_s0_gpu0,_remote_backups/4090_20260618/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a1_e10_b64_s0_gpu0,ladd4090,ladd
0d9c23d9b113a417349ced08e9b3b92f2d3eca64,a1,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_detonly/a1,s_A2_detonly_A1,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/final_evidence/runs/s_A2_detonly_A1,ladd4090,ladd
0d9c23d9b113a417349ced08e9b3b92f2d3eca64,a1,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_detonly/a1,a1,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_detonly/a1,ladd4090,ladd
0d9c23d9b113a417349ced08e9b3b92f2d3eca64,a1,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_detonly/a1,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a1_e10_b64_s0_gpu0,ladd/results/archive_legacy_ladd_20260618/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a1_e10_b64_s0_gpu0,ladd4090,ladd
0d9c23d9b113a417349ced08e9b3b92f2d3eca64,a1,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_detonly/a1,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a1_e10_b64_s0_gpu0,ladd/results/archive_legacy_ladd_20260618/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a1_e10_b64_s0_gpu0,ladd4090,ladd
1616afc623f962df56d45fe32c5bdf0274677e51,a2,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_lr3e4/a2,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a2_e50_b64_s0_gpu1,_remote_backups/4090_20260618/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a2_e50_b64_s0_gpu1,ladd4090,ladd
1616afc623f962df56d45fe32c5bdf0274677e51,a2,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_lr3e4/a2,s_A2_lr3e4_A2,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/final_evidence/runs/s_A2_lr3e4_A2,ladd4090,ladd
1616afc623f962df56d45fe32c5bdf0274677e51,a2,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_lr3e4/a2,a2,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_lr3e4/a2,ladd4090,ladd
1616afc623f962df56d45fe32c5bdf0274677e51,a2,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_lr3e4/a2,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a2_e50_b64_s0_gpu1,ladd/results/archive_legacy_ladd_20260618/ladd4090_shutdown_sync_20260614/evidence_raw/ladd4090/repo_root_snapshot/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a2_e50_b64_s0_gpu1,ladd4090,ladd
1616afc623f962df56d45fe32c5bdf0274677e51,a2,ladd/results/archive_legacy_ladd_20260618/a2_damage_20260612/runs/s_a2_lr3e4/a2,ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a2_e50_b64_s0_gpu1,ladd/results/archive_legacy_ladd_20260618/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a2_e50_b64_s0_gpu1,ladd4090,ladd
