experiment_line,protocol_id,schedule_class,role,claim_usable,num_runs,families,methods,servers
baseline_reference,formal_nomosaic_800,full_800,diagnostic,partial,4,baseline:4,rgb_baseline:2;sar_baseline:2,ladd90:4
baseline_reference,historical_mosaic_mainline,compressed,diagnostic,partial,2,baseline:2,rgb_baseline:1;sar_baseline:1,unknown:2
baseline_reference,historical_mosaic_mainline,full_800,diagnostic,partial,6,baseline:6,rgb_baseline:3;sar_baseline:3,ladd90:6
baseline_reference,historical_mosaic_mainline,unknown,diagnostic,partial,2,baseline:2,rgb_baseline:1;sar_baseline:1,unknown:2
cclkd_reproduction,cclkd_paper_mosaic400,paper_400,archive_or_invalid,no,17,cclkd_yolo11_or_diag:17,cclkd:17,dual4090_old:17
cclkd_reproduction,cclkd_paper_mosaic400,paper_400,cclkd_reproduction,partial,19,cclkd_yolo11_or_diag:19,cclkd:19,ladd4090:19
cclkd_reproduction,cclkd_paper_mosaic400,paper_400,diagnostic,partial,7,cclkd_yolo11_or_diag:7,cclkd:7,ladd90:7
cclkd_reproduction,formal_nomosaic_compressed,compressed,cclkd_reproduction,partial,24,cclkd_yolo11_or_diag:24,cclkd:24,ladd4090:24
cclkd_reproduction,formal_nomosaic_compressed,compressed,diagnostic,partial,25,cclkd_yolo11_or_diag:25,cclkd:25,ladd4090:25
cclkd_reproduction,smoke_probe_partial,smoke_probe_partial,archive_or_invalid,no,3,cclkd_yolo11_or_diag:3,cclkd:3,dual4090_old:3
cclkd_reproduction,smoke_probe_partial,smoke_probe_partial,diagnostic,partial,6,cclkd_yolo11_or_diag:4;cclkd_yolov5x:2,cclkd:6,ladd4090:4;unknown:2
cclkd_reproduction,unknown_protocol,compressed,cclkd_reproduction,partial,4,cclkd_yolov5x:4,cclkd:4,unknown:4
cclkd_reproduction,unknown_protocol,compressed,diagnostic,partial,20,cclkd_yolov5x:20,cclkd:20,unknown:16;server117:4
cclkd_reproduction,unknown_protocol,unknown,diagnostic,partial,3,cclkd_yolov5x:2;cclkd_yolo11_or_diag:1,cclkd:3,unknown:3
comparison_methods,formal_nomosaic_800,full_800,comparison,yes,15,comparison:15,hallucidet:6;fgd:5;ld:4,ladd4090:13;ladd90:2
comparison_methods,formal_nomosaic_800,full_800,diagnostic,partial,14,comparison:14,fgd:6;hallucidet:4;ld:4,ladd4090:14
comparison_methods,smoke_probe_partial,smoke_probe_partial,diagnostic,partial,25,comparison:25,hallucidet:17;fgd:4;ld:2;comparison:2,autodl:13;ladd4090:11;unknown:1
comparison_methods,unknown_protocol,compressed,comparison,partial,2,comparison:2,hallucidet:2,autodl:2
ladd_clean_a1b_ablation,mosaic100_clean_a1b,full_800,ablation,partial,4,ladd:4,ladd:4,ladd4090:4
ladd_clean_a1b_ablation,mosaic100_clean_a1b,smoke_probe_partial,diagnostic,partial,4,ladd:4,ladd:4,ladd4090:4
ladd_clean_a1b_mainline,mosaic100_clean_a1b,full_800,mainline_candidate,yes,1,ladd:1,ladd:1,ladd4090:1
ladd_clean_a1b_mainline,mosaic100_clean_a1b,smoke_probe_partial,diagnostic,partial,1,ladd:1,ladd:1,ladd4090:1
ladd_clean_a1b_mainline,nomosaic_clean_a1b,full_800,robustness_or_appendix,partial,1,ladd:1,ladd:1,ladd4090:1
ladd_clean_a1b_mainline,nomosaic_clean_a1b,smoke_probe_partial,diagnostic,partial,1,ladd:1,ladd:1,ladd4090:1
ladd_legacy_archive,formal_nomosaic_800,full_800,diagnostic,no,43,ladd:43,ladd:43,ladd4090:18;ladd90:13;autodl:11;unknown:1
ladd_legacy_archive,formal_nomosaic_compressed,compressed,diagnostic,no,88,ladd:88,ladd:86;ld:2,ladd4090:82;ladd90:4;autodl:2
ladd_legacy_archive,historical_mosaic_mainline,compressed,diagnostic,no,8,ladd:8,ladd:8,ladd90:6;unknown:2
ladd_legacy_archive,historical_mosaic_mainline,full_800,diagnostic,no,25,ladd:25,ladd:25,ladd90:15;unknown:10
ladd_legacy_archive,smoke_probe_partial,smoke_probe_partial,diagnostic,no,192,ladd:192,ladd:192,ladd4090:167;autodl:15;ladd90:10
ladd_legacy_archive,unknown_protocol,unknown,diagnostic,no,4,ladd:4,ladd:4,unknown:2;autodl:2
ladd_legacy_or_unreviewed,formal_nomosaic_800,full_800,diagnostic,no,9,ladd:9,ladd:9,ladd4090:6;autodl:3
ladd_legacy_or_unreviewed,formal_nomosaic_compressed,compressed,diagnostic,no,16,ladd:16,ladd:16,ladd4090:15;autodl:1
ladd_legacy_or_unreviewed,formal_nomosaic_compressed,compressed,diagnostic,partial,15,ladd:15,ladd:15,ladd4090:15
ladd_legacy_or_unreviewed,smoke_probe_partial,smoke_probe_partial,diagnostic,partial,65,ladd:65,ladd:65,ladd4090:59;autodl:6
