epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,rank_d_neg_cap,normalize_reach,capR_effectively_enabled,reach_delta,reach_input_mode,use_fg_mask_for_reach,kd_weight_mode,kd_target_branch,kd_reach_margin,kd_reach_tau,kd_reach_use_capped_gap,kd_reach_detach_weight,kd_reach_min_weight,kd_reach_conf_power,kd_reach_active_threshold,shuffle_teacher_pairs,d_pos_mean,d_pos_median,d_pos_q10,d_pos_q25,d_pos_q75,d_neg_mean,d_neg_median,d_neg_q10,d_neg_q25,d_neg_q75,d_neg_eff_mean,d_neg_eff_median,d_neg_eff_q10,d_neg_eff_q25,d_neg_eff_q75,gap_raw_mean,gap_raw_median,gap_raw_q25,gap_raw_q75,gap_capped_mean,gap_capped_median,gap_capped_q25,gap_capped_q75,reachable_margin_mean,reachable_margin_median,reachable_margin_q25,reachable_margin_q75,cap_saturation_ratio,rank_active_ratio,cap_blocked_active_ratio,zero_loss_feasible_ratio,fg_gap_capped_mean,fg_gap_capped_median,fg_cap_saturation_ratio,fg_rank_active_ratio,fg_zero_loss_feasible_ratio,bg_gap_capped_mean,bg_gap_capped_median,bg_cap_saturation_ratio,bg_rank_active_ratio,bg_zero_loss_feasible_ratio,P3_gap_capped_mean,P4_gap_capped_mean,P5_gap_capped_mean,P3_cap_saturation_ratio,P4_cap_saturation_ratio,P5_cap_saturation_ratio,P3_rank_active_ratio,P4_rank_active_ratio,P5_rank_active_ratio,kd_reach_weight_mean,kd_reach_weight_std,kd_reach_weight_min,kd_reach_weight_max,kd_reach_weight_q25,kd_reach_weight_q50,kd_reach_weight_q75,kd_reach_active_ratio,kd_reach_conf_mean,kd_reach_reachable_margin_mean,kd_reach_reachable_margin_q25,kd_reach_reachable_margin_q75,P3_kd_active_ratio,P4_kd_active_ratio,P5_kd_active_ratio,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_detach_reach_probe,ladd_b_keep_reach_probe_grad,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.009956521739130433,0.0033188405797101453,0.009956521739130433,2.8515,3.50221,1.61041,0.48628,1.54067,0.61789,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,1.9405012980751368,1.9960600571355958,1.5830116918985395,1.7965756970903148,2.1097368855407272,2.1033520162969395,2.09272832300352,1.8706715730653294,1.974991798573646,2.2273515020591623,1.9584245579830115,1.998196123993915,1.864398691792419,1.9398383563843327,2.0,0.16285071379532093,0.09721362668534984,-0.09826334473015605,0.39450935216053673,0.017923253938974138,-0.02290783533151599,-0.16828008147253506,0.19149485139743141,-0.18207673708354866,-0.22290783278320148,-0.36828007140885227,-0.008505147134048352,0.6702873561693274,0.8041225046351336,0.48380947389464446,0.20590676570284194,0.4343730034240558,0.4673603039988611,0.8109922070039932,0.4436592367895251,0.5668428384136677,0.015246171894433655,-0.024533203460168147,0.6694827899552773,0.8066944649254066,0.2033306660060602,-0.06806208263252578,0.08901151463632351,0.032820329813124695,0.798419653851053,0.6845360797384511,0.5279063349184783,0.8764416901961617,0.7523883322010869,0.7835374915081522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.392997741699219,0.0756625235080719,0.1670600026845932,6.892429351806641,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.03333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.03333333333333333,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
2,b,0.01995644556995291,0.006652148523317638,0.01995644556995291,2.81451,2.41685,1.46123,0.6877,0.43209,0.2369,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,1.3722805610601452,1.493989664402561,0.48868709919245346,0.829474071704823,1.9042248957399008,2.259876798201298,2.2355188044948853,1.9286273785259413,2.053705863157908,2.470517251456993,1.9695470155149266,2.0,1.9081087832865509,1.9569068858588952,2.0,0.8875962392575499,0.7533332755600197,0.18180827766224958,1.615792701900869,0.5972664541956307,0.5026510041692983,0.04836703672789145,1.1702360708644424,0.3972664464535057,0.3026510036294011,-0.1516329551304596,0.9702360504347345,0.8198144221651381,0.3263101328974185,0.16941486303357112,0.6773284690967505,1.5689820867291717,1.6294901379665663,0.9973271522064542,0.005800151081551353,0.9942256278076838,0.5913235266139542,0.49556370895841845,0.8190346154613771,0.3283059040428877,0.6753603001867515,0.8940496488757755,0.516478570388711,0.3812711433224056,0.9179388295049252,0.9263528575067935,0.6151515794836957,0.08690769361413044,0.39297060759171193,0.49905209748641305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.760004997253418,0.10221141576766968,0.24054786562919617,6.677877426147461,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.06666666666666667,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.06666666666666667,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
3,b,0.029956064393936686,0.009985354797978897,0.029956064393936686,2.94319,2.41164,1.53431,0.35269,0.1414,0.17661,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.8505287233470142,0.6917076239983241,0.14705589819375586,0.28759223089917846,1.4063601888176325,2.3141099404597627,2.351136468804401,1.9700272091920825,2.1182198417359506,2.5076178599095,1.9814557407213294,2.0,1.9382999345876168,1.9973090389500494,2.0,1.463581213225489,1.6839715134406434,0.7452827639769817,2.1810581694478572,1.130927021002424,1.307896084629971,0.5826193885958713,1.712247481898985,0.9309269918047863,1.1078960584989492,0.3826193804974141,1.5122474342152692,0.8781014926191689,0.1576165683027627,0.06974551435829937,0.844746266240659,1.8586052753928783,1.8930492564624903,0.9996747600322884,0.00163780664281679,0.9983621870312186,1.1268609705178634,1.3018082250719485,0.8775075323339822,0.1582515109715356,0.8441332318644593,1.5084348642307779,1.1812152349430582,0.7031309638334358,0.9269261235776155,0.9362601902173913,0.7711181640625,0.0006597104279891304,0.08798270847486413,0.3842072860054348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.350179672241211,0.2157357782125473,0.5947189927101135,6.197334289550781,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.1,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.1,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
4,b,0.029998969486428155,0.009999656495476053,0.029998969486428155,2.95219,2.39586,1.56118,0.27539,0.07654,0.1656,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.5171502638338269,0.24776776829275532,0.07430635084519567,0.11216365712006456,0.8294319558834684,2.3711020106854646,2.4062339920928513,2.0872820242591525,2.2443949295126875,2.5201690248821094,1.9927336722180464,2.0,1.9911073505014614,2.0,2.0,1.8539517440657685,2.1606381205544953,1.4472203016281129,2.3746156340060027,1.4755834091400755,1.7521421306375144,1.1691860534574674,1.8878185847531195,1.2755833727726038,1.5521420829537986,0.9691860248213229,1.6878185370694037,0.9378118100373641,0.0808002637780231,0.04507143324699955,0.9205026820086051,1.9234461869761261,1.9420748928136993,0.9993288848135207,0.0015316068232930891,0.9984683871966357,1.4733634325905123,1.749994119008382,0.9374873071477033,0.08103666849952604,0.9202772486900938,1.6719510633012522,1.5845483899116517,1.1702507742073225,0.9366287894870924,0.9699876868206522,0.9068189538043478,0.00012306545091711956,0.021782651154891305,0.22049507472826088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.48952293395996,0.5418179035186768,1.7855756282806396,10.045071601867676,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.13333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.13333333333333333,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
5,b,0.029998167992352658,0.00999938933078422,0.029998167992352658,2.81795,2.22445,1.51753,0.16968,0.04094,0.15907,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.38781473567520364,0.1252348917360971,0.04725922957767962,0.06864738828921016,0.614072295051554,2.4030040699502697,2.446284626532292,2.140765559846076,2.285675030860348,2.5410110439079396,1.995555161047673,2.0,2.0,2.0,2.0,2.015189335657203,2.3116911442383477,1.6894743241261745,2.4414510813312256,1.6077404245086337,1.8746914633806202,1.3854328527398732,1.9313435773918595,1.407740384599437,1.6746914156969044,1.1854328239957492,1.7313435297081436,0.959285791369452,0.06075614155202672,0.037384055317312044,0.9396452972854393,1.9590471574633839,1.967567359241934,0.99966209313693,0.0,0.9999999944634292,1.6060561544653298,1.8735345026721124,0.9590788882711659,0.06093127168994439,0.9394732331020245,1.768102016137994,1.7058422384054766,1.3492770189824312,0.9563135561735734,0.9871677564538044,0.9343760614809783,1.797883406929348e-05,0.011866826596467392,0.1703836192255435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0779914855957,0.8323831558227539,2.961315870285034,14.248575210571289,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.16666666666666666,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.16666666666666666,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
6,b,0.02999713752115866,0.00999904584038622,0.02999713752115866,2.75261,2.10096,1.47885,0.10626,0.03082,0.15749,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.31474522948265077,0.09592277188447938,0.037811993557345665,0.05602583643993822,0.3857263570678407,2.4217580857484236,2.4708254330400106,2.169785349610923,2.3155163723489514,2.5477817321169205,1.9962547665056976,2.0,2.0,2.0,2.0,2.107012855488321,2.3633703777755515,1.9523044252741164,2.4623936725699385,1.6815095364183619,1.9040547035742497,1.614091797583345,1.9439709352410357,1.4815094942631928,1.7040546558905338,1.414091754477957,1.7439708875573199,0.9668797147446785,0.05259010204370471,0.030856367470561596,0.9479627526324729,1.9691893900426967,1.9751142500446912,0.9999791228027233,0.0,0.9999999944634292,1.6802538080491882,1.90321088562841,0.9667376473330069,0.05269657735543001,0.947861120061598,1.803916242848272,1.7710907651030499,1.469521601303764,0.9736292300016983,0.9865441363790761,0.9404657778532609,5.307404891304348e-07,0.009506358271059783,0.14826341711956523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.84113693237305,1.0751762390136719,3.7249011993408203,18.35609245300293,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.2,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.2,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
7,b,0.02999587808873731,0.009998626029579103,0.02999587808873731,2.69722,2.03111,1.45392,0.12802,0.02772,0.15703,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.2838885942015095,0.08718702346153989,0.033852194489884205,0.05004231159649519,0.28927035161118575,2.430249762880629,2.477302461085112,2.182116881660793,2.3360535213912743,2.548334292397983,1.9976188891175863,2.0,2.0,2.0,2.0,2.146361173754153,2.377706422322038,2.077416403742804,2.4678524376689523,1.7137302891067836,1.912800934003747,1.7106651439183,1.9499561622522879,1.5137302455694779,1.7128008863200312,1.5106650962345842,1.749956114568572,0.9767731818599977,0.04545367697010869,0.028803197888360506,0.9549335866734602,1.9722759632096774,1.9773794866990353,0.9999737279138703,0.0,0.999999995076138,1.7125763442205346,1.9119704059932543,0.9766838501329007,0.045549161127617456,0.9548412873261217,1.8265280780584916,1.7921858948210012,1.5224768944408582,0.986252958878227,0.9927047066066577,0.9513618800951087,0.0,0.0030230978260869564,0.13333793308423914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.71870422363281,1.3318710327148438,4.513861179351807,23.736141204833984,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.23333333333333334,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.23333333333333334,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
8,b,0.0299943897145106,0.009998129904836867,0.0299943897145106,2.63938,1.97614,1.42656,0.1322,0.02485,0.15659,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.2454961295793022,0.07672519293525999,0.03249584455549231,0.0471254809133614,0.1913933188263057,2.4346510707468227,2.4770628410836926,2.198672984993976,2.3669867121655006,2.54196512353593,1.9983618737994762,2.0,2.0,2.0,2.0,2.189154949741087,2.389030617561893,2.2052102949308314,2.468034451249717,1.7528657476107279,1.9232649055080138,1.8085800706476405,1.952872401735057,1.5528657037278881,1.723264857824298,1.6085800229639247,1.7528723540513411,0.9827043173969656,0.038915131057518114,0.025557277513586957,0.9614930968353714,1.9751524348189866,1.9793986498445704,0.9999631648478301,0.0,0.9999999937803848,1.751793378850688,1.9225792356159377,0.9826404447140901,0.039004367709571525,0.9614073845787324,1.8436935025712717,1.8189299479774808,1.5959737922834314,0.9936666737432065,0.9942762291949728,0.9601700492527174,0.0,0.0017148225203804349,0.11503057065217391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.61678314208984,1.5673726797103882,5.255947113037109,29.40333366394043,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.26666666666666666,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.26666666666666666,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
9,b,0.029992672421431114,0.009997557473810372,0.029992672421431114,2.61513,1.92578,1.41568,0.15756,0.02304,0.15632,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.2164100752360579,0.07011493627214804,0.029451460454510053,0.043176057860778265,0.149496672021738,2.4281815027845077,2.4630738790484443,2.212412903619849,2.372014849082283,2.5244552322055984,1.9990469920462457,2.0,2.0,2.0,2.0,2.2117714242658755,2.3814055093820543,2.248999138845914,2.455717580214791,1.782636917155722,1.9298807116522305,1.850494303046793,1.9568230516668679,1.5826368725818136,1.7298806639685147,1.6504942553630773,1.756823003983152,0.9882741071175838,0.0316299217334692,0.023494731516077897,0.9687759178272192,1.976961146230283,1.9805782839871835,0.9999622493550397,0.0,0.9999999952489051,1.7817273138225942,1.9292729515960252,0.9882306168044823,0.031688473473448116,0.9687206237212471,1.8443662664164668,1.8336470754250236,1.6698974096256753,0.9953096472698709,0.9943173615828804,0.9751953125,0.0,0.001601509425951087,0.09328825577445653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.91314697265625,1.8234807252883911,6.128498077392578,26.42180633544922,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.3,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.3,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
10,b,0.02999072623598163,0.00999690874532721,0.02999072623598163,2.58227,1.88954,1.39568,0.17552,0.0223,0.15622,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.2006937439998855,0.06810945771175667,0.029492444392868175,0.042149898193673686,0.1403610316172674,2.420968114811441,2.452137905963953,2.215183843737063,2.367472557399584,2.511805942438651,1.9992388467857802,2.0,2.0,2.0,2.0,2.2202743699585183,2.3722743262415347,2.2524126353471177,2.4440310889396115,1.7985451027966928,1.9318897065909013,1.859633060987445,1.9578500075616698,1.5985450566678807,1.7318896589071855,1.6596330133037291,1.757849959877954,0.9898383099099864,0.0271080127660779,0.020143370697463768,0.9732015858525815,1.9777243365743165,1.9813306115362226,0.9999792907165339,0.0,0.999999994722956,1.7975933643354887,1.9312595241311667,0.98979790262554,0.027174585504669096,0.973137524853582,1.8470963084179421,1.8417216036630712,1.7068173963090647,0.9976959228515625,0.9948085619055707,0.9770104449728261,0.0,0.0012682043987771738,0.08005583389945652,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.5595932006836,2.0515456199645996,6.874551773071289,30.331430435180664,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.3333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.3333333333333333,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
