epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_detach_reach_probe,ladd_b_keep_reach_probe_grad,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.009956521739130433,0.0033188405797101453,0.009956521739130433,2.8322,3.46248,1.5828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.410591125488281,0.07606382668018341,0.166194885969162,6.948571681976318,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.03333333333333333,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
2,b,0.01995644556995291,0.006652148523317638,0.01995644556995291,2.77734,2.4153,1.39824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.676858901977539,0.09955307096242905,0.2308574616909027,7.61628532409668,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.06666666666666667,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
3,b,0.029956064393936686,0.009985354797978897,0.029956064393936686,2.9144,2.39897,1.49509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.956193923950195,0.2132003903388977,0.6169441342353821,6.915274143218994,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
4,b,0.029998969486428155,0.009999656495476053,0.029998969486428155,2.92975,2.36565,1.51105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.193103790283203,0.524705708026886,1.7771629095077515,12.752655982971191,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.13333333333333333,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
5,b,0.029998167992352658,0.00999938933078422,0.029998167992352658,2.8045,2.19603,1.45829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.16628646850586,0.8917833566665649,3.4815316200256348,16.768381118774414,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.16666666666666666,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
6,b,0.02999713752115866,0.00999904584038622,0.02999713752115866,2.73722,2.1022,1.41751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.71849822998047,1.2200260162353516,4.58929443359375,19.145193099975586,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
7,b,0.02999587808873731,0.009998626029579103,0.02999587808873731,2.69249,2.01443,1.39854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.14241790771484,1.5371081829071045,5.640717029571533,21.545740127563477,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.23333333333333334,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
8,b,0.0299943897145106,0.009998129904836867,0.0299943897145106,2.63178,1.96651,1.3659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96931457519531,1.929762363433838,7.1220011711120605,22.643810272216797,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.26666666666666666,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
9,b,0.029992672421431114,0.009997557473810372,0.029992672421431114,2.60683,1.93085,1.3525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75887298583984,2.281003713607788,8.205839157104492,27.62135124206543,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
10,b,0.02999072623598163,0.00999690874532721,0.02999072623598163,2.57291,1.88145,1.32892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.26458740234375,2.554940700531006,9.010003089904785,28.633962631225586,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.3333333333333333,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
11,b,0.02998855118817473,0.009996183729391579,0.02998855118817473,2.54713,1.85664,1.31693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.6614227294922,2.899948835372925,10.06888198852539,31.111495971679688,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.36666666666666664,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
12,b,0.02998614731155236,0.009995382437184121,0.02998614731155236,2.52557,1.82149,1.30381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0902862548828,3.203279733657837,10.93297004699707,31.655170440673828,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
