epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,151.065,2.84361,3.47737,1.5992,0,0.02849,0.01578,0.15537,2.00776,0.33007,0,0.01578,2.67593,2.66015,0.48723,0.06293,0.46529,0.48657,0.51093,0.18645,0.11398,0.03933,2.77704,3.25703,1.34845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03933,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,292.632,2.76377,2.3832,1.40554,0,0.02045,0.00618,0.15386,0.9947,0.34841,0,0.00618,2.67996,2.67378,0.48898,0.06354,0.47173,0.48872,0.50242,0.18126,0.10626,0.03829,2.91679,3.76665,1.7191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03829,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,461.553,2.89718,2.37597,1.48815,0,0.01505,0.00742,0.15404,0.9623,0.12309,0,0.00742,2.6859,2.67849,0.48937,0.06383,0.47255,0.48833,0.31354,0.06318,0.04462,0.01423,3.29896,25.0747,1.76304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01423,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,705.595,2.91704,2.33573,1.50916,0,0.01079,0.0083,0.15417,0.93254,0.06862,0,0.0083,2.6128,2.6045,0.48685,0.06471,0.47905,0.48574,0.1967,0.20051,0.12197,0.04218,2.94173,4.55768,1.50334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04218,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,848.345,2.80307,2.18315,1.47492,0,0.00844,0.00727,0.15403,0.89264,0.0816,0,0.00727,2.57432,2.56704,0.48645,0.06245,0.48844,0.48518,0.20105,0.12698,0.08296,0.02606,2.75725,2.8045,1.41239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02606,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,986.457,2.72672,2.0901,1.42229,0,0.00754,0.00637,0.15404,0.86032,0.09849,0,0.00637,2.55817,2.5518,0.48765,0.06308,0.48939,0.48646,0.33328,0.20887,0.1899,0.06405,2.69222,2.01694,1.39735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06405,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1128.4,2.67686,2.01236,1.40366,0,0.0071,0.00585,0.15382,0.84411,0.13486,0,0.00585,2.55691,2.55106,0.49214,0.0667,0.49446,0.49052,0.38464,0.21595,0.20725,0.07774,2.65977,2.07078,1.36797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07774,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1277.24,2.62299,1.95992,1.37056,0,0.00675,0.0048,0.15366,0.82281,0.16002,0,0.0048,2.55904,2.55425,0.49014,0.06969,0.48952,0.4891,0.65579,0.21055,0.20389,0.07764,2.62959,2.12858,1.34999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07764,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1427.8,2.60163,1.91737,1.35725,0,0.0065,0.00465,0.15364,0.81482,0.19331,0,0.00465,2.54372,2.53907,0.49095,0.07147,0.49169,0.49066,0.34525,0.28233,0.24863,0.10049,2.56169,1.87138,1.28649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10049,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1578.54,2.56705,1.87931,1.3366,0,0.00626,0.00414,0.15357,0.80435,0.21558,0,0.00414,2.52725,2.52311,0.49116,0.07098,0.48943,0.49025,0.34116,0.25098,0.23387,0.10269,2.62809,1.9717,1.28846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10269,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
