epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,98.2657,2.83282,3.48418,1.61896,0,0.00892,0.011,0.155,1.40343,0.33851,0.00138,0.011,2.39922,2.38822,0.49396,0.0662,0.45541,0.49359,0.44819,0.14755,0.09971,0.03188,2.92787,2.77597,1.34853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03188,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,195.594,2.7592,2.39473,1.40191,0,0.00838,0.00603,0.15384,0.97558,0.33913,0.00193,0.00603,2.40404,2.398,0.49257,0.0644,0.45091,0.49273,0.54047,0.17408,0.12595,0.04698,2.75856,3.33631,1.43207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04698,0.0199564,0.00665214,0.0199564,0.00665214,0.0199564,0.00665214,0.0199564,0.00665214
3,295.358,2.89615,2.34823,1.47106,0,0.0078,0.00682,0.15395,0.94853,0.13992,0.00178,0.00682,2.4254,2.41858,0.49351,0.06498,0.4522,0.49327,0.13498,0.13305,0.07419,0.02352,3.09957,14.5146,1.66611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02352,0.0299559,0.00998531,0.0299559,0.00998531,0.0299559,0.00998531,0.0299559,0.00998531
4,394.333,2.90965,2.33883,1.51099,0,0.0074,0.00889,0.15425,0.92404,0.10953,0.0015,0.00889,2.42239,2.4135,0.49424,0.06852,0.45309,0.49343,0.20368,0.21152,0.12205,0.03993,2.89892,3.22102,1.49747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03993,0.0299987,0.00999955,0.0299987,0.00999955,0.0299987,0.00999955,0.0299987,0.00999955
5,492.406,2.79852,2.17654,1.44985,0,0.00704,0.008,0.15412,0.88159,0.11781,0.00134,0.008,2.42743,2.41943,0.49316,0.07148,0.45076,0.49262,0.26613,0.22422,0.1761,0.06493,2.68826,2.22921,1.35146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06493,0.0299976,0.0099992,0.0299976,0.0099992,0.0299976,0.0099992,0.0299976,0.0099992
6,590.549,2.72123,2.07739,1.41724,0,0.00671,0.00724,0.15401,0.85106,0.15766,0.00132,0.00724,2.43005,2.42281,0.49453,0.0746,0.44854,0.49433,0.63734,0.22106,0.20544,0.0735,2.70973,2.07501,1.37431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735,0.0299963,0.00999875,0.0299963,0.00999875,0.0299963,0.00999875,0.0299963,0.00999875
7,689.218,2.65246,1.998,1.39559,0,0.00647,0.0065,0.15391,0.83701,0.18716,0.00138,0.0065,2.4334,2.42691,0.49345,0.07495,0.44991,0.49348,0.4309,0.21855,0.20754,0.07852,2.66235,1.85605,1.36156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07852,0.0299946,0.00999821,0.0299946,0.00999821,0.0299946,0.00999821,0.0299946,0.00999821
8,787.957,2.62757,1.95934,1.37977,0,0.00624,0.00644,0.1539,0.82063,0.22357,0.00145,0.00644,2.43966,2.43322,0.49475,0.07446,0.45562,0.49447,0.41632,0.24733,0.24053,0.09307,2.56752,2.06956,1.33906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09307,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
9,885.148,2.58879,1.91149,1.35467,0,0.00605,0.00607,0.15385,0.81061,0.2584,0.00153,0.00607,2.43694,2.43087,0.49787,0.07526,0.45458,0.49767,0.64655,0.22169,0.23026,0.09841,2.59285,1.87992,1.29553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09841,0.0299904,0.00999681,0.0299904,0.00999681,0.0299904,0.00999681,0.0299904,0.00999681
10,982.554,2.56788,1.87214,1.34545,0,0.00589,0.00568,0.15379,0.8022,0.28119,0.00162,0.00568,2.43725,2.43157,0.49594,0.07495,0.45281,0.4957,0.65814,0.25913,0.2699,0.11087,2.50465,1.69434,1.26554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11087,0.0299879,0.00999596,0.0299879,0.00999596,0.0299879,0.00999596,0.0299879,0.00999596
