epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,28.9835,1.09613,0.62886,0.93734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63073,0.55185,0.56705,0.35876,1.24709,0.7523,0.96081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35876,0.0031,0.0031,0.0721
2,49.0278,1.11578,0.64964,0.94277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5993,0.54401,0.54469,0.34605,1.24807,0.77741,0.96228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34605,0.00629962,0.00629962,0.0432996
3,70.4289,1.14913,0.67825,0.95135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54347,0.49383,0.49102,0.29772,1.32999,0.83998,0.98107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29772,0.00949768,0.00949768,0.0144977
4,93.3577,1.20274,0.72271,0.96716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5328,0.49354,0.49571,0.30186,1.31938,0.85084,0.98506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30186,0.0099945,0.0099945,0.0099945
5,114.06,1.20304,0.72312,0.96922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4789,0.4808,0.4484,0.2717,1.32283,0.88436,0.98875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2717,0.00999023,0.00999023,0.00999023
6,137.821,1.22155,0.74624,0.97445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4685,0.48137,0.45064,0.26981,1.33972,0.88579,0.99312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26981,0.00998474,0.00998474,0.00998474
7,157.662,1.23536,0.75733,0.97738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50039,0.51102,0.48879,0.29377,1.32291,0.83051,0.98723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29377,0.00997803,0.00997803,0.00997803
8,184.769,1.21768,0.74633,0.97651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47134,0.43326,0.41746,0.23368,1.56218,0.99149,1.05922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23368,0.00997011,0.00997011,0.00997011
9,208.549,1.23063,0.76079,0.98081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49181,0.45007,0.4458,0.26396,1.35348,0.86386,1.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26396,0.00996097,0.00996097,0.00996097
10,237.55,1.23595,0.75468,0.98178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50641,0.49838,0.48485,0.29552,1.30798,0.8682,0.98779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29552,0.00995062,0.00995062,0.00995062
