epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4958,1.83593,3.12528,1.2937,0.01319,0.23651,0.08265,0.04322,1.80481,3.20069,1.14056,0.0031,0.0031,0.0721
2,26.0662,1.70463,1.59576,1.1918,0.01542,0.33328,0.16204,0.08565,1.71701,2.75582,1.18072,0.00629962,0.00629962,0.0432996
3,36.6089,1.70143,1.47395,1.1786,0.2256,0.15545,0.1607,0.07809,2.06259,1.76302,1.3891,0.00949768,0.00949768,0.0144977
4,51.2717,1.70874,1.42885,1.17032,0.44296,0.08885,0.1034,0.04935,2.05843,3.18236,1.42599,0.0099945,0.0099945,0.0099945
5,63.4076,1.61816,1.32578,1.13639,0.24449,0.20478,0.17774,0.09373,1.71793,2.2357,1.18345,0.00999023,0.00999023,0.00999023
6,79.7606,1.58046,1.29907,1.11253,0.24444,0.32339,0.24324,0.13019,1.59159,1.97457,1.14869,0.00998474,0.00998474,0.00998474
7,90.4651,1.5623,1.26627,1.10648,0.50765,0.2549,0.24511,0.128,1.61501,1.99005,1.12895,0.00997803,0.00997803,0.00997803
8,101.175,1.53088,1.21952,1.09722,0.24575,0.30445,0.24773,0.13807,1.508,1.91777,1.07893,0.00997011,0.00997011,0.00997011
9,111.691,1.54306,1.20628,1.09905,0.21051,0.32162,0.23974,0.13235,1.52822,1.50661,1.07197,0.00996097,0.00996097,0.00996097
10,121.539,1.5253,1.17007,1.09424,0.28871,0.34136,0.28731,0.15909,1.49946,1.37202,1.05968,0.00995062,0.00995062,0.00995062
11,131.511,1.49608,1.13775,1.0774,0.28619,0.33956,0.27932,0.15439,1.54062,1.49612,1.08704,0.00993906,0.00993906,0.00993906
12,140.569,1.48267,1.12856,1.07606,0.32362,0.3974,0.31975,0.18392,1.45155,1.11663,1.05468,0.00992629,0.00992629,0.00992629
13,149.429,1.47774,1.10263,1.07448,0.27567,0.36955,0.29591,0.168,1.48413,1.16226,1.05115,0.00991232,0.00991232,0.00991232
14,159.016,1.46935,1.09158,1.06748,0.34709,0.39948,0.337,0.19524,1.41255,1.0668,1.0296,0.00989715,0.00989715,0.00989715
15,171.296,1.47627,1.08621,1.06752,0.27161,0.35104,0.29714,0.16546,1.47341,1.56046,1.05342,0.00988079,0.00988079,0.00988079
16,180.814,1.44741,1.05589,1.06229,0.65276,0.23943,0.29928,0.16824,1.49969,1.32168,1.06224,0.00986323,0.00986323,0.00986323
17,190.039,1.43265,1.04169,1.05002,0.30295,0.3508,0.30489,0.18097,1.46537,1.17413,1.07233,0.00984449,0.00984449,0.00984449
18,199.387,1.44756,1.04406,1.06203,0.38211,0.38108,0.35125,0.20521,1.39763,1.04046,1.038,0.00982456,0.00982456,0.00982456
19,209.184,1.41946,1.01857,1.05058,0.35975,0.42433,0.33774,0.19596,1.38698,1.05586,1.0218,0.00980345,0.00980345,0.00980345
20,218.246,1.41629,1.00448,1.0459,0.4805,0.35816,0.37766,0.21905,1.38618,1.02349,1.01492,0.00978118,0.00978118,0.00978118
21,227.867,1.39948,0.99099,1.0387,0.32439,0.34029,0.31501,0.18361,1.43986,1.07987,1.04078,0.00975773,0.00975773,0.00975773
22,237.109,1.41353,0.98917,1.04538,0.37728,0.3882,0.33366,0.19032,1.50793,1.06546,1.06393,0.00973312,0.00973312,0.00973312
23,246.878,1.41958,1.00322,1.05304,0.41025,0.41265,0.36314,0.21136,1.37985,1.0362,1.02006,0.00970736,0.00970736,0.00970736
