epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,18.4253,1.89095,3.6649,1.20623,0,0,0,0,0,0,0.01783,0,0,0,0,0,0,0,0.00871,0.16411,0.02267,0.00642,2.07969,3.82358,1.18359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00642,0.00034441,0.00034441,0.00034441
2,38.168,1.73275,1.85244,1.09116,0,0,0,0,0,0,0.0095,0,0,0,0,0,0,0,0.67687,0.08072,0.18538,0.08469,1.74918,2.47725,1.12804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08469,0.000699887,0.000699887,0.000699887
3,54.3588,1.62139,1.40387,1.08631,0,0,0,0,0,0,0.00744,0,0,0,0,0,0,0,0.26933,0.20205,0.20328,0.10943,1.61801,2.01425,1.09199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10943,0.00105519,0.00105519,0.00105519
4,72.3046,1.58652,1.32414,1.07639,0,0,0,0,0,0,0.00602,0,0,0,0,0,0,0,0.29585,0.25982,0.20811,0.101,1.87008,1.75932,1.18821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0.00111039,0.00111039,0.00111039
5,105.158,1.53233,1.21769,1.06069,0,0,0,0,0,0,0.00487,0,0,0,0,0,0,0,0.33153,0.26187,0.23832,0.12723,1.63075,1.55473,1.11348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12723,0.00110991,0.00110991,0.00110991
6,131.599,1.52049,1.21401,1.05757,0,0,0,0,0,0,0.00429,0,0,0,0,0,0,0,0.28289,0.31151,0.27286,0.1487,1.56771,1.14794,1.06952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1487,0.0011093,0.0011093,0.0011093
7,171.742,1.49305,1.16508,1.05508,0,0,0,0,0,0,0.00384,0,0,0,0,0,0,0,0.27104,0.36341,0.26912,0.15205,1.46048,1.18499,1.04771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15205,0.00110856,0.00110856,0.00110856
8,222.235,1.47528,1.12496,1.05358,0,0,0,0,0,0,0.00336,0,0,0,0,0,0,0,0.27775,0.36368,0.29286,0.16919,1.44676,1.13188,1.02574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16919,0.00110768,0.00110768,0.00110768
9,289.55,1.48089,1.11312,1.05397,0,0,0,0,0,0,0.00314,0,0,0,0,0,0,0,0.71038,0.23209,0.27432,0.15785,1.43454,1.27679,1.02494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15785,0.00110666,0.00110666,0.00110666
10,337.222,1.4595,1.0841,1.048,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0.29143,0.3751,0.31903,0.17878,1.44087,1.19036,1.01146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17878,0.00110551,0.00110551,0.00110551
11,373.436,1.45266,1.06023,1.04146,0,0,0,0,0,0,0.00261,0,0,0,0,0,0,0,0.35224,0.39049,0.32422,0.18807,1.4371,1.07833,1.02616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18807,0.00110423,0.00110423,0.00110423
12,424.533,1.4388,1.05494,1.0427,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0.31261,0.39789,0.3228,0.1869,1.43535,1.08789,1.02468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1869,0.00110281,0.00110281,0.00110281
13,465.433,1.43852,1.02521,1.04052,0,0,0,0,0,0,0.00239,0,0,0,0,0,0,0,0.35172,0.43451,0.35115,0.20532,1.39983,1.01227,1.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20532,0.00110126,0.00110126,0.00110126
14,494.901,1.41928,1.00786,1.03147,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0.36493,0.41425,0.33625,0.19477,1.42685,1.03488,1.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19477,0.00109957,0.00109957,0.00109957
15,530.433,1.42755,1.01284,1.02834,0,0,0,0,0,0,0.00219,0,0,0,0,0,0,0,0.32124,0.41058,0.36272,0.21007,1.41048,1.01661,1.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21007,0.00109776,0.00109776,0.00109776
16,561.447,1.42841,1.00419,1.03598,0,0,0,0,0,0,0.00219,0,0,0,0,0,0,0,0.36359,0.40981,0.36621,0.21633,1.39132,1.02943,1.00847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21633,0.0010958,0.0010958,0.0010958
17,590.371,1.41529,0.99627,1.02495,0,0,0,0,0,0,0.00205,0,0,0,0,0,0,0,0.36447,0.45275,0.38749,0.22789,1.37851,0.94535,0.9961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22789,0.00109372,0.00109372,0.00109372
18,627.923,1.40494,0.98416,1.02875,0,0,0,0,0,0,0.00199,0,0,0,0,0,0,0,0.40456,0.40178,0.34319,0.19971,1.38197,1.03246,1.02819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19971,0.00109151,0.00109151,0.00109151
