epoch,sar_baseline,autodl_probe_ap5095,autodl_probe_delta_vs_sar,zw1_probe_ap5095,zw1_probe_delta_vs_sar,autodl_dynamic_ap5095,autodl_dynamic_delta_vs_sar,zw1_dynamic_ap5095,zw1_dynamic_delta_vs_sar
20,0.15972,0.16634,0.006619999999999987,0.17458,0.014860000000000012,0.16878,0.009060000000000012,0.17761,0.01788999999999999
30,0.20703,0.22507,0.01804,0.22232,0.015289999999999998,0.21709,0.010060000000000013,0.2232,0.016170000000000018
50,0.28994,0.299,0.009060000000000012,0.29384,0.0039000000000000146,0.28793,-0.0020099999999999563,0.29402,0.004080000000000028
72,0.32592,0.34179,0.015869999999999995,0.33384,0.007920000000000038,0.32923,0.003310000000000035,0.33411,0.00819000000000003
80,0.33247,0.34962,0.01715,0.34174,0.00927,0.3372,0.004730000000000012,0.34024,0.007769999999999999
100,0.34629,0.36057,0.014280000000000015,0.35205,0.005759999999999987,0.34983,0.0035399999999999876,,
123,0.35834,0.37304,0.01469999999999999,0.36608,0.007740000000000025,0.36528,0.006940000000000002,,
130,0.36189,0.37659,0.01469999999999999,0.36926,0.007369999999999988,0.36906,0.00717000000000001,,
150,0.37398,0.3883,0.01432,,,0.37947,0.005489999999999995,,
200,0.40498,0.41868,0.01369999999999999,,,0.41252,0.007539999999999991,,
300,0.45051,0.46397,0.013459999999999972,,,0.46098,0.01046999999999998,,
500,0.51664,0.53176,0.015120000000000022,,,0.52516,0.008519999999999972,,
