epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,16.345,2.66179,3.85788,1.26713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909,0.16688,0.03939,0.01264,2.85351,3.31116,1.10117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01264,0.0031,0.0031,0.0721
2,28.7035,2.41397,2.02844,1.08307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01184,0.20779,0.09396,0.03401,2.33132,2.9658,1.02119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03401,0.00629962,0.00629962,0.0432996
3,42.1351,2.45634,1.79191,1.08762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23909,0.10769,0.09927,0.03637,2.72334,2.09238,1.17247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03637,0.00949768,0.00949768,0.0144977
4,59.0387,2.4629,1.70938,1.08163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35492,0.0765,0.05507,0.01943,3.62062,4.9072,1.51091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01943,0.0099945,0.0099945,0.0099945
5,75.8685,2.33925,1.59536,1.05355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15841,0.12892,0.1048,0.04055,2.57901,3.73094,1.17189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04055,0.00999023,0.00999023,0.00999023
6,89.5829,2.25399,1.56391,1.02709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57506,0.17458,0.15539,0.06702,2.32636,2.08449,1.02968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06702,0.00998474,0.00998474,0.00998474
7,104.254,2.19597,1.5187,1.01816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23526,0.16106,0.14979,0.05991,2.57804,2.9272,1.06979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05991,0.00997803,0.00997803,0.00997803
8,118.018,2.15358,1.47589,1.01418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42126,0.15599,0.1485,0.06724,2.24481,2.30783,1.01081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06724,0.00997011,0.00997011,0.00997011
9,130.688,2.1369,1.44907,1.00792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21928,0.20483,0.18458,0.08188,2.10292,1.75454,0.96693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08188,0.00996097,0.00996097,0.00996097
10,142.47,2.11425,1.4192,1.00269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20371,0.19431,0.15982,0.06781,2.35936,2.05816,1.01777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06781,0.00995062,0.00995062,0.00995062
11,154.785,2.07948,1.38871,0.99214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19438,0.26343,0.18545,0.07922,2.24423,1.97812,1.02083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07922,0.00993906,0.00993906,0.00993906
12,166.752,2.03243,1.36824,0.99334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33851,0.17984,0.18261,0.07986,2.2261,1.74778,0.98939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07986,0.00992629,0.00992629,0.00992629
13,176.307,2.03988,1.35223,0.98482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22716,0.23736,0.18796,0.08289,2.23092,1.57684,1.02597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08289,0.00991232,0.00991232,0.00991232
14,187.474,2.00255,1.34839,0.98457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24646,0.24981,0.21561,0.0995,2.07943,1.66949,0.9689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995,0.00989715,0.00989715,0.00989715
15,198.384,2.01665,1.33531,0.98261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24587,0.25782,0.19972,0.09221,2.08126,1.43328,0.98511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09221,0.00988079,0.00988079,0.00988079
16,215.794,1.97152,1.30479,0.97802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47959,0.21624,0.20566,0.09349,2.07366,1.66772,0.98449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09349,0.00986323,0.00986323,0.00986323
17,227.854,1.96077,1.30979,0.97016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46216,0.27959,0.25263,0.11979,2.00614,1.48806,0.94856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11979,0.00984449,0.00984449,0.00984449
18,240.273,1.95233,1.29557,0.9731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45479,0.23694,0.20301,0.0965,2.0594,1.75753,0.96487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965,0.00982456,0.00982456,0.00982456
19,252.583,1.93972,1.27795,0.9658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32235,0.27369,0.24676,0.12214,1.93614,1.6478,0.94825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12214,0.00980345,0.00980345,0.00980345
20,264.338,1.91686,1.2595,0.95985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36284,0.24943,0.26485,0.13149,1.92915,1.57384,0.94117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13149,0.00978118,0.00978118,0.00978118
21,274.041,1.8794,1.23948,0.9544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29302,0.27873,0.26628,0.12719,1.94885,1.30757,0.93496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12719,0.00975773,0.00975773,0.00975773
22,283.313,1.91068,1.24735,0.95801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35406,0.27666,0.27524,0.12325,2.06247,1.30185,0.95277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12325,0.00973312,0.00973312,0.00973312
23,294.817,1.89633,1.23962,0.96448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26153,0.31783,0.24692,0.11829,1.91861,1.32319,0.96372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11829,0.00970736,0.00970736,0.00970736
24,307.231,1.85792,1.20955,0.95613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64987,0.21548,0.222,0.10373,2.07046,1.79103,0.9876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10373,0.00968045,0.00968045,0.00968045
25,318.927,1.88435,1.22262,0.95048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31629,0.28878,0.26156,0.12927,1.90974,1.3688,0.94447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12927,0.00965239,0.00965239,0.00965239
26,331.382,1.86323,1.20271,0.95044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28363,0.24126,0.2395,0.12016,1.93305,1.52308,0.95425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12016,0.0096232,0.0096232,0.0096232
27,342.268,1.86141,1.20737,0.95313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26892,0.3312,0.2793,0.13556,1.91848,1.34071,0.93726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13556,0.00959289,0.00959289,0.00959289
28,351.514,1.84989,1.19704,0.94859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32634,0.28057,0.26226,0.1334,1.8829,1.32367,0.92415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1334,0.00956145,0.00956145,0.00956145
29,360.523,1.85509,1.19492,0.94727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29292,0.32321,0.27049,0.13709,1.89562,1.27999,0.93178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13709,0.00952889,0.00952889,0.00952889
30,370.276,1.83468,1.18605,0.94767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32173,0.33982,0.29724,0.14893,1.85807,1.20372,0.92493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14893,0.00949524,0.00949524,0.00949524
31,380.295,1.83651,1.19505,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31408,0.31606,0.28055,0.13178,1.95627,1.24137,0.94169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13178,0.00946048,0.00946048,0.00946048
32,389.645,1.85252,1.18893,0.95271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33851,0.32795,0.3081,0.15341,1.85339,1.247,0.92671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15341,0.00942464,0.00942464,0.00942464
33,399.089,1.84015,1.16663,0.94216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31004,0.34794,0.30431,0.15455,1.84105,1.19541,0.91992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15455,0.00938772,0.00938772,0.00938772
34,408.228,1.8396,1.16857,0.94345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31386,0.36988,0.29325,0.14804,1.84434,1.26785,0.93374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14804,0.00934973,0.00934973,0.00934973
35,417.323,1.82213,1.1673,0.94157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29137,0.36689,0.29624,0.15153,1.81529,1.20709,0.92171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15153,0.00931067,0.00931067,0.00931067
36,426.402,1.82037,1.17742,0.94681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31412,0.30064,0.2741,0.13812,1.88635,1.25403,0.9271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13812,0.00927057,0.00927057,0.00927057
37,437.199,1.78746,1.15825,0.93861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34256,0.36356,0.31659,0.16428,1.8029,1.22318,0.92371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16428,0.00922942,0.00922942,0.00922942
38,447.403,1.77117,1.13813,0.93696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35254,0.34214,0.30688,0.15458,1.84185,1.1865,0.93175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15458,0.00918725,0.00918725,0.00918725
39,458.254,1.78582,1.1381,0.93533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54024,0.26701,0.29255,0.14604,1.82411,1.28012,0.92044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14604,0.00914405,0.00914405,0.00914405
40,469.457,1.78924,1.14207,0.93494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35322,0.37047,0.31787,0.16001,1.79546,1.25972,0.91323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16001,0.00909984,0.00909984,0.00909984
41,480.375,1.8151,1.14827,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30712,0.32308,0.29268,0.15052,1.79478,1.32899,0.91874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15052,0.00905463,0.00905463,0.00905463
42,489.744,1.76946,1.12882,0.93606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28671,0.34172,0.29966,0.15674,1.79944,1.30449,0.91834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15674,0.00900844,0.00900844,0.00900844
43,500.821,1.76807,1.11564,0.93331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39746,0.30859,0.31959,0.1659,1.76684,1.2144,0.91583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1659,0.00896127,0.00896127,0.00896127
44,510.952,1.76575,1.12478,0.93719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33824,0.37947,0.33072,0.17162,1.76065,1.16492,0.91386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17162,0.00891313,0.00891313,0.00891313
45,521.488,1.72821,1.094,0.92802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36392,0.3723,0.31187,0.16259,1.75803,1.18887,0.92388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16259,0.00886404,0.00886404,0.00886404
46,531.899,1.7682,1.12674,0.93603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35169,0.34364,0.3046,0.14813,1.85175,1.27366,0.92868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14813,0.00881401,0.00881401,0.00881401
47,541.505,1.77449,1.13077,0.93366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33157,0.35203,0.31246,0.15801,1.78963,1.15312,0.9163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15801,0.00876305,0.00876305,0.00876305
48,553.163,1.7568,1.09417,0.92806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38187,0.33609,0.31195,0.15944,1.75282,1.35876,0.91097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15944,0.00871117,0.00871117,0.00871117
49,563.654,1.7536,1.10041,0.92608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34902,0.33266,0.30372,0.1568,1.82632,1.25191,0.9181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1568,0.00865839,0.00865839,0.00865839
50,573.181,1.74932,1.1136,0.92417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37215,0.38692,0.33849,0.17325,1.81217,1.15265,0.91103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17325,0.00860473,0.00860473,0.00860473
51,582.912,1.75598,1.10311,0.92669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36995,0.37902,0.33641,0.17075,1.8264,1.15221,0.9187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17075,0.00855018,0.00855018,0.00855018
52,592.346,1.70473,1.09747,0.92719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3452,0.36304,0.3275,0.17006,1.82192,1.1815,0.91635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17006,0.00849477,0.00849477,0.00849477
53,601.853,1.7428,1.09822,0.92676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38744,0.38066,0.3477,0.18354,1.7129,1.12161,0.90666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18354,0.00843851,0.00843851,0.00843851
54,611.547,1.74738,1.09938,0.92338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33153,0.34878,0.31612,0.16572,1.71494,1.20298,0.90318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16572,0.00838141,0.00838141,0.00838141
55,620.85,1.72352,1.07849,0.92469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34654,0.34059,0.34886,0.18368,1.72234,1.14121,0.90984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18368,0.00832349,0.00832349,0.00832349
56,630.047,1.71831,1.08846,0.92687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36503,0.37827,0.33754,0.17799,1.74207,1.1722,0.90841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17799,0.00826477,0.00826477,0.00826477
57,639.324,1.71756,1.09307,0.9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36294,0.35336,0.33155,0.17644,1.7933,1.14832,0.92608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17644,0.00820525,0.00820525,0.00820525
58,648.859,1.68889,1.06224,0.91482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37297,0.41248,0.36075,0.19053,1.70756,1.10994,0.90187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19053,0.00814495,0.00814495,0.00814495
59,658.615,1.68719,1.06158,0.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34959,0.37976,0.34385,0.18428,1.71522,1.18519,0.90702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18428,0.00808389,0.00808389,0.00808389
60,667.893,1.70965,1.07627,0.92423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39007,0.40796,0.36972,0.19502,1.74535,1.10287,0.9073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19502,0.00802208,0.00802208,0.00802208
61,677.174,1.68576,1.05299,0.91656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4043,0.40129,0.36593,0.19094,1.68488,1.0746,0.89777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19094,0.00795954,0.00795954,0.00795954
62,686.206,1.69303,1.05083,0.91621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41018,0.40028,0.37079,0.20112,1.68998,1.0834,0.90398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20112,0.00789628,0.00789628,0.00789628
63,695.699,1.70678,1.05995,0.91815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40778,0.35022,0.34845,0.18351,1.76182,1.12123,0.91047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18351,0.00783231,0.00783231,0.00783231
64,705.603,1.69593,1.05642,0.91566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38799,0.32255,0.3509,0.18595,1.72437,1.1442,0.90532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18595,0.00776766,0.00776766,0.00776766
65,714.634,1.6764,1.05138,0.92427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41548,0.41647,0.3682,0.19346,1.68554,1.10188,0.90184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19346,0.00770234,0.00770234,0.00770234
66,725.373,1.67968,1.04116,0.9146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46414,0.3586,0.35599,0.19429,1.65725,1.15638,0.89548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19429,0.00763637,0.00763637,0.00763637
67,735.928,1.68084,1.0378,0.91719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34081,0.37212,0.3408,0.18072,1.70039,1.15087,0.89792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18072,0.00756976,0.00756976,0.00756976
68,745.515,1.6771,1.04565,0.9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37641,0.4103,0.364,0.19425,1.69062,1.07263,0.90038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19425,0.00750252,0.00750252,0.00750252
69,755.157,1.69578,1.05108,0.91796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36638,0.37834,0.35084,0.18853,1.68443,1.09777,0.90007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18853,0.00743468,0.00743468,0.00743468
70,764.771,1.65951,1.03482,0.91016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40484,0.41405,0.37164,0.19936,1.68285,1.07228,0.89697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19936,0.00736625,0.00736625,0.00736625
71,775.086,1.67769,1.04311,0.91649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37219,0.36361,0.3444,0.18173,1.68352,1.15249,0.89736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18173,0.00729725,0.00729725,0.00729725
72,784.621,1.68178,1.04197,0.91404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38974,0.40238,0.38413,0.20688,1.67281,1.0729,0.89807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20688,0.0072277,0.0072277,0.0072277
