epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3413,2.46139,3.75474,1.22012,0.00932,0.16771,0.07796,0.02759,2.30994,3.25508,1.00682,0.0031,0.0031,0.0721
2,32.8226,2.1613,1.77598,1.04056,0.01293,0.26034,0.10347,0.03976,2.1547,2.77717,0.97505,0.00629962,0.00629962,0.0432996
3,47.5557,2.19326,1.54401,1.03003,0.23108,0.16316,0.14781,0.06096,2.14335,1.72672,1.0172,0.00949768,0.00949768,0.0144977
4,63.0902,2.14973,1.50243,1.01615,0.55729,0.12839,0.09462,0.03291,2.86266,3.34213,1.17738,0.0099945,0.0099945,0.0099945
5,80.4081,2.03953,1.40264,0.99448,0.37159,0.20252,0.16229,0.06763,2.07881,3.52725,0.99121,0.00999023,0.00999023,0.00999023
6,96.3032,1.9597,1.35749,0.96971,0.6422,0.20928,0.18173,0.07518,2.09426,2.83049,0.96648,0.00998474,0.00998474,0.00998474
7,111.272,1.90467,1.32655,0.96177,0.47397,0.21354,0.21827,0.10287,1.92423,3.06863,0.94074,0.00997803,0.00997803,0.00997803
8,127.536,1.87203,1.28731,0.95637,0.602,0.1598,0.16796,0.0761,1.97453,3.18172,0.94383,0.00997011,0.00997011,0.00997011
9,140.823,1.85245,1.27221,0.95675,0.24507,0.23366,0.21985,0.10215,1.91896,1.45852,0.9273,0.00996097,0.00996097,0.00996097
10,153.97,1.84766,1.26245,0.95358,0.20142,0.33639,0.24383,0.11871,1.82003,2.29203,0.92774,0.00995062,0.00995062,0.00995062
11,167.188,1.80907,1.22293,0.94451,0.23763,0.35301,0.25587,0.12006,1.89171,1.6419,0.93221,0.00993906,0.00993906,0.00993906
12,180.491,1.75491,1.20179,0.93916,0.21516,0.39645,0.27044,0.13532,1.86293,1.36962,0.93975,0.00992629,0.00992629,0.00992629
13,194.794,1.76675,1.17632,0.93512,0.50554,0.24548,0.28021,0.13175,1.84308,1.83751,0.91506,0.00991232,0.00991232,0.00991232
14,209.085,1.73551,1.18181,0.93478,0.44036,0.28917,0.26177,0.13576,1.74606,1.51644,0.90999,0.00989715,0.00989715,0.00989715
15,224.131,1.73283,1.15582,0.92911,0.37039,0.24655,0.27617,0.14149,1.74695,1.26178,0.91098,0.00988079,0.00988079,0.00988079
16,238.881,1.71488,1.14237,0.92993,0.26406,0.39238,0.31749,0.1659,1.69451,1.39702,0.89914,0.00986323,0.00986323,0.00986323
17,251.795,1.7038,1.1439,0.92342,0.72672,0.25302,0.29949,0.15605,1.70295,1.20239,0.90232,0.00984449,0.00984449,0.00984449
18,264.118,1.70476,1.15414,0.92607,0.35867,0.2673,0.27223,0.13866,1.71152,1.41194,0.90347,0.00982456,0.00982456,0.00982456
19,277.746,1.67768,1.11172,0.92095,0.73149,0.25462,0.3003,0.16163,1.66555,1.25957,0.8968,0.00980345,0.00980345,0.00980345
20,293.601,1.67216,1.11233,0.91998,0.23477,0.41138,0.30246,0.15721,1.65965,1.1818,0.89287,0.00978118,0.00978118,0.00978118
21,307.393,1.64801,1.09379,0.91583,0.33719,0.39912,0.34456,0.18704,1.65614,1.11941,0.90001,0.00975773,0.00975773,0.00975773
22,320.895,1.67128,1.08976,0.91601,0.3531,0.37543,0.34518,0.18479,1.72206,1.17962,0.90288,0.00973312,0.00973312,0.00973312
23,333.968,1.63488,1.071,0.91394,0.35533,0.37763,0.32833,0.17279,1.68382,1.10896,0.90115,0.00970736,0.00970736,0.00970736
24,345.685,1.62055,1.06091,0.91148,0.28159,0.32252,0.28814,0.15528,1.63783,1.18696,0.89333,0.00968045,0.00968045,0.00968045
