epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,20.4047,1.86594,3.65573,1.26209,0,0.02078,0.00816,0.15424,101.071,0.14156,0.00137,0.00816,3.98704,3.97887,0.47914,0.0407,0.51332,0.4783,0.01404,0.16196,0.02298,0.00685,2.21932,3.96714,1.21837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685,0.00034441,0.00034441,0.00034441
2,44.6402,1.72632,1.70795,1.13643,0,0.01892,0.01478,0.15509,34.953,0.03312,0.00144,0.01478,3.88097,3.86619,0.48066,0.03948,0.50748,0.47991,0.06077,0.52374,0.19511,0.10353,1.59269,2.8456,1.07764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10353,0.000699887,0.000699887,0.000699887
3,67.5007,1.63735,1.39955,1.11752,0,0.01659,0.01076,0.15453,13.1215,0.00864,0.00158,0.01076,3.52617,3.51541,0.48552,0.04088,0.50627,0.48508,0.23927,0.12145,0.12974,0.07098,1.74225,2.07716,1.17484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07098,0.00105519,0.00105519,0.00105519
4,98.9249,1.63981,1.35689,1.13022,0,0.01473,0.01078,0.15471,4.3172,0.0098,0.00171,0.01078,3.18427,3.1735,0.48641,0.04018,0.50427,0.4861,0.20291,0.24148,0.1706,0.08347,1.778,1.64618,1.21423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08347,0.00111039,0.00111039,0.00111039
5,118.044,1.58507,1.26555,1.11022,0,0.0132,0.0108,0.15455,1.72203,0.01092,0.00173,0.0108,2.99428,2.98348,0.49062,0.04305,0.50751,0.49037,0.40265,0.14214,0.13611,0.07449,1.7421,1.59719,1.19235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07449,0.00110991,0.00110991,0.00110991
6,139.201,1.54666,1.22221,1.09405,0,0.012,0.0079,0.15411,1.18013,0.01532,0.0018,0.0079,2.81614,2.80824,0.49346,0.04606,0.5104,0.49317,0.29453,0.19111,0.16834,0.09401,1.58335,1.45323,1.13083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09401,0.0011093,0.0011093,0.0011093
7,158.564,1.51379,1.16451,1.07972,0,0.0113,0.00941,0.15433,1.00235,0.01769,0.00188,0.00941,2.96279,2.95337,0.49015,0.04789,0.51483,0.48967,0.31643,0.30054,0.23907,0.13492,1.49041,1.16064,1.09331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13492,0.00110856,0.00110856,0.00110856
8,180.973,1.48368,1.1241,1.06969,0,0.01066,0.00795,0.15412,0.89151,0.01974,0.00198,0.00795,2.94666,2.93871,0.49102,0.04928,0.51812,0.49041,0.25824,0.37993,0.29048,0.16145,1.46033,1.2146,1.0382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16145,0.00110768,0.00110768,0.00110768
9,201.324,1.48474,1.11596,1.06692,0,0.01027,0.00719,0.15401,0.84935,0.02266,0.00212,0.00719,2.89708,2.88989,0.48998,0.04897,0.51989,0.48931,0.29574,0.30061,0.27856,0.16129,1.42935,1.22084,1.03354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16129,0.00110666,0.00110666,0.00110666
10,220.28,1.46159,1.07738,1.05972,0,0.01,0.00644,0.1539,0.81701,0.02263,0.00234,0.00644,2.85532,2.84888,0.48969,0.04824,0.51956,0.48902,0.31966,0.4238,0.32212,0.18354,1.40109,1.01968,1.01252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18354,0.00110551,0.00110551,0.00110551
