epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,111.783,2.82626,3.44277,1.58736,0,0.0122,0.00918,0.15429,1.47165,0.49995,0,0.00918,2.66726,2.65808,0.48218,0.05576,0.48286,0.48186,0.59758,0.17359,0.14766,0.0526,2.72661,2.68033,1.33607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,223.108,2.77957,2.40671,1.39877,0,0.01178,0.00501,0.15369,0.91028,0.61801,0,0.00501,2.68451,2.6795,0.48027,0.05665,0.48774,0.48012,0.54702,0.16591,0.1188,0.03878,2.89797,2.72006,1.45195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03878,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,332.687,2.91508,2.39008,1.48066,0,0.01114,0.00625,0.15387,0.90895,0.45163,0,0.00625,2.68986,2.68361,0.48053,0.05983,0.49774,0.48008,0.19885,0.09645,0.06306,0.02029,3.40542,12.4061,1.7235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02029,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,441.278,2.96143,2.39244,1.54296,0,0.01053,0.00819,0.15415,0.89975,0.49774,0,0.00819,2.68783,2.67964,0.4787,0.06263,0.50879,0.47745,0.20193,0.20277,0.14227,0.047,2.83989,2.55596,1.47353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,550.011,2.83638,2.23346,1.4946,0,0.00985,0.00636,0.15389,0.86584,0.37166,0,0.00636,2.71477,2.7084,0.47858,0.06328,0.50727,0.47663,0.20516,0.20114,0.14147,0.04867,2.77118,3.06084,1.44655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04867,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,659.204,2.74786,2.10909,1.46188,0,0.00924,0.00586,0.15382,0.84085,0.13898,0,0.00586,2.7712,2.76534,0.48192,0.06302,0.50383,0.48143,0.6264,0.20745,0.19267,0.06522,2.71974,2.03249,1.44645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06522,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,797.451,2.68629,2.02937,1.43071,0,0.00875,0.00517,0.15372,0.82359,0.14394,0,0.00517,2.77014,2.76497,0.47683,0.0647,0.49643,0.47588,0.29989,0.17232,0.1542,0.05774,2.81341,2.50181,1.52753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05774,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,920.644,2.63026,1.96829,1.39836,0,0.00839,0.00484,0.15367,0.80386,0.15166,0,0.00484,2.77376,2.76892,0.4781,0.06557,0.49703,0.47783,0.31964,0.27162,0.20414,0.076,2.63788,3.36231,1.33735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1054.43,2.61571,1.93893,1.38784,0,0.00808,0.00419,0.15358,0.79607,0.18757,0,0.00419,2.76031,2.75612,0.47775,0.0651,0.49832,0.47749,0.50421,0.24392,0.25816,0.10496,2.5666,1.84602,1.32418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10496,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1182.75,2.57066,1.88745,1.35914,0,0.00785,0.00405,0.15356,0.78807,0.20926,0,0.00405,2.75621,2.75217,0.47434,0.06583,0.49664,0.47394,0.38362,0.27482,0.26195,0.1112,2.51268,1.80458,1.29303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1112,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1306.26,2.54873,1.86303,1.34319,0,0.00765,0.004,0.15355,0.78286,0.24014,0,0.004,2.74623,2.74223,0.47649,0.068,0.49844,0.47587,0.40752,0.31014,0.28974,0.12071,2.47049,1.69734,1.27473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12071,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,1430.24,2.53031,1.83391,1.33704,0,0.00747,0.00377,0.15352,0.7757,0.26115,0,0.00377,2.73411,2.73034,0.47264,0.06633,0.49485,0.47235,0.37744,0.31045,0.28163,0.11703,2.44164,1.70777,1.25871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11703,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,1554.61,2.50005,1.79834,1.32763,0,0.00732,0.00339,0.15346,0.76507,0.29063,0,0.00339,2.72036,2.71697,0.47285,0.06669,0.49264,0.47259,0.45801,0.32348,0.31576,0.1345,2.43711,1.68941,1.26002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1345,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,1678.49,2.48856,1.76415,1.30699,0,0.0072,0.00355,0.15348,0.75679,0.30817,0,0.00355,2.71329,2.70973,0.46949,0.06569,0.49126,0.46919,0.40482,0.3184,0.29262,0.12595,2.44561,1.66475,1.26246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12595,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,1803.83,2.46617,1.74898,1.30459,0,0.00707,0.00339,0.15346,0.75688,0.34036,0,0.00339,2.69393,2.69054,0.47325,0.06616,0.49283,0.47297,0.38559,0.3063,0.29055,0.12782,2.49051,2.06537,1.25537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12782,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,1928.39,2.44363,1.71591,1.29036,0,0.00698,0.00315,0.15343,0.75101,0.37475,0,0.00315,2.68949,2.68634,0.47103,0.06791,0.48783,0.47076,0.45937,0.32979,0.3304,0.14336,2.41823,1.63259,1.22966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14336,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,2051.8,2.41345,1.69422,1.27811,0,0.00686,0.00306,0.15341,0.74264,0.40244,0,0.00306,2.6838,2.68074,0.47026,0.06564,0.4861,0.46991,0.45294,0.34102,0.3379,0.15524,2.36079,1.56747,1.20821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15524,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,2173.24,2.41217,1.67492,1.27763,0,0.00677,0.00306,0.15341,0.73541,0.43037,0,0.00306,2.67512,2.67206,0.47099,0.06914,0.4929,0.47056,0.55641,0.2889,0.31061,0.14545,2.39971,1.67191,1.2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14545,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,2293.38,2.39851,1.64312,1.26207,0,0.00669,0.00293,0.15339,0.73352,0.46174,0,0.00293,2.66282,2.6599,0.46943,0.06789,0.49256,0.46901,0.41311,0.37578,0.35642,0.15797,2.35454,1.54218,1.21192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15797,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,2412.21,2.38374,1.63876,1.25274,0,0.00662,0.00289,0.15339,0.73176,0.46133,0,0.00289,2.65349,2.65061,0.46796,0.06732,0.48515,0.46768,0.48746,0.37692,0.37359,0.16685,2.35533,1.50581,1.2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16685,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,2531.96,2.3793,1.62534,1.26131,0,0.00656,0.00289,0.15339,0.72798,0.46078,0,0.00289,2.64208,2.63919,0.46829,0.06729,0.48634,0.46801,0.45599,0.3825,0.37411,0.17368,2.29582,1.50752,1.19203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17368,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,2652.51,2.36322,1.61147,1.25083,0,0.0065,0.00303,0.15341,0.72716,0.49691,0,0.00303,2.63441,2.63138,0.46675,0.06768,0.48404,0.46645,0.46368,0.38196,0.38165,0.18091,2.26437,1.4668,1.18148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18091,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
23,2772.93,2.34225,1.59292,1.24634,0,0.00644,0.00286,0.15339,0.72232,0.51284,0,0.00286,2.61769,2.61483,0.46423,0.06583,0.47888,0.46396,0.46045,0.39496,0.38116,0.17924,2.29351,1.48723,1.18304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17924,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
24,2892.99,2.33286,1.56609,1.23508,0,0.00639,0.00264,0.15335,0.7123,0.56227,0,0.00264,2.61069,2.60805,0.46173,0.06684,0.47812,0.46143,0.55597,0.3457,0.3738,0.1844,2.26308,1.50567,1.17338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1844,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982
25,3014.14,2.32185,1.54951,1.22538,0,0.00631,0.00251,0.15334,0.7099,0.59104,0,0.00251,2.59811,2.5956,0.45908,0.06745,0.4725,0.45881,0.49703,0.39662,0.39593,0.18496,2.26711,1.46859,1.17803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18496,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
26,3135.04,2.31088,1.54906,1.22704,0,0.00628,0.00263,0.15335,0.70982,0.60869,0,0.00263,2.58487,2.58224,0.46055,0.06706,0.47465,0.46018,0.47593,0.40298,0.40158,0.19439,2.23799,1.42251,1.16452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19439,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616
27,3254.88,2.29403,1.52943,1.21873,0,0.00622,0.00255,0.15334,0.70683,0.63399,0,0.00255,2.57765,2.5751,0.4592,0.06588,0.47621,0.45891,0.49651,0.42438,0.42778,0.20203,2.22009,1.39522,1.1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20203,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
28,3375.83,2.28616,1.51257,1.22055,0,0.00618,0.00248,0.15333,0.70179,0.64931,0,0.00248,2.56654,2.56406,0.46101,0.06625,0.48094,0.46069,0.49376,0.4221,0.41867,0.20306,2.22828,1.40383,1.1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20306,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722
