epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,115.933,2.8408,3.47094,1.59871,0,0.00893,0.00977,0.15441,1.40032,0.33478,0.00138,0.00977,2.39993,2.39015,0.49381,0.06619,0.45509,0.49406,0.46797,0.1334,0.06804,0.02193,2.95929,2.77087,1.36304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02193,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,243.038,2.7803,2.39057,1.39068,0,0.00838,0.00639,0.15389,0.9666,0.34062,0.00193,0.00639,2.40681,2.40042,0.492,0.06435,0.4496,0.4923,0.09218,0.09837,0.04987,0.01606,2.84479,5.31775,1.44683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01606,0.0199564,0.00665214,0.0199564,0.00665214,0.0199564,0.00665214,0.0199564,0.00665214
3,373.146,2.89993,2.37793,1.47238,0,0.00782,0.00733,0.15403,0.95235,0.14462,0.0018,0.00733,2.4214,2.41407,0.49391,0.06493,0.45096,0.49336,0.06924,0.07778,0.03238,0.01044,3.26016,10.9225,1.8411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01044,0.0299559,0.00998531,0.0299559,0.00998531,0.0299559,0.00998531,0.0299559,0.00998531
4,494.115,2.91169,2.3267,1.49923,0,0.00738,0.00861,0.15421,0.92652,0.10258,0.00144,0.00861,2.42554,2.41692,0.49517,0.06944,0.45361,0.4942,0.48899,0.18813,0.16064,0.0526,2.78475,2.65292,1.43837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526,0.0299987,0.00999955,0.0299987,0.00999955,0.0299987,0.00999955,0.0299987,0.00999955
5,616.355,2.79809,2.17832,1.45366,0,0.00702,0.0082,0.15415,0.88714,0.13303,0.00125,0.0082,2.4263,2.41811,0.49598,0.07348,0.45428,0.4955,0.18543,0.1937,0.10559,0.03666,2.83528,2.3679,1.42649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03666,0.0299976,0.0099992,0.0299976,0.0099992,0.0299976,0.0099992,0.0299976,0.0099992
6,735.539,2.72638,2.08391,1.42063,0,0.00667,0.00743,0.15404,0.85799,0.15022,0.00125,0.00743,2.44405,2.43662,0.49671,0.07453,0.44952,0.4966,0.33315,0.24293,0.21053,0.07965,2.65849,1.97547,1.35579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07965,0.0299963,0.00999875,0.0299963,0.00999875,0.0299963,0.00999875,0.0299963,0.00999875
7,856.797,2.67685,2.00773,1.39335,0,0.00643,0.00744,0.15404,0.84275,0.16731,0.00133,0.00744,2.4425,2.43505,0.4959,0.07459,0.44755,0.49542,0.26238,0.23423,0.19987,0.07564,2.65472,2.0477,1.33277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07564,0.0299946,0.00999821,0.0299946,0.00999821,0.0299946,0.00999821,0.0299946,0.00999821
8,978.843,2.61529,1.9491,1.36864,0,0.00621,0.00686,0.15396,0.82709,0.2149,0.00143,0.00686,2.44868,2.44183,0.49387,0.07415,0.44119,0.49364,0.31444,0.24214,0.20787,0.07996,2.68823,2.26302,1.33366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07996,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
9,1100.38,2.58876,1.91572,1.35283,0,0.00604,0.00676,0.15396,0.81252,0.25914,0.00154,0.00676,2.44074,2.43398,0.49509,0.0725,0.44863,0.49513,0.6491,0.24145,0.25369,0.1024,2.55238,1.93351,1.29868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1024,0.0299904,0.00999681,0.0299904,0.00999681,0.0299904,0.00999681,0.0299904,0.00999681
10,1222.58,2.56218,1.87193,1.32981,0,0.00582,0.0065,0.15391,0.80382,0.28916,0.00168,0.0065,2.43517,2.42867,0.49354,0.07067,0.4433,0.49328,0.35608,0.27822,0.25116,0.10316,2.62944,1.78722,1.27923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10316,0.0299879,0.00999596,0.0299879,0.00999596,0.0299879,0.00999596,0.0299879,0.00999596
