dataset,server_or_source,method_or_run,rows,latest_epoch,latest_map5095,latest_map50,best_map5095,best_epoch,late5_map5095,late10_map5095,late20_map5095,late50_map5095,relative_path
DroneVehicle/sub2k_or_curves,AutoDL/local_copy,ProbeA,623,623.0,0.5375,0.80879,0.5375,623.0,0.5371859999999999,0.536893,0.5362335,0.5343484000000001,evidence/local/dronevehicle_method_search_20260623/autodl_probeA_evidence_20260624/reload_detonly_results.csv
DroneVehicle/sub2k_or_curves,AutoDL/local_copy,dynamic,531,531.0,0.53535,0.81435,0.53535,531.0,0.535034,0.534262,0.532917,0.527677,evidence/local/dronevehicle_method_search_20260623/autodl_probeA_evidence_20260624/yolo_dynamic_results.csv
DroneVehicle/sub2k_or_curves,AutoDL/local_copy,ProbeA,560,560.0,0.54622,0.81762,0.54622,560.0,0.545658,0.545143,0.543902,0.5404848,evidence/local/dronevehicle_method_search_20260623/autodl_probeA_evidence_20260624/yolo_probeA_results.csv
DroneVehicle/sub2k_or_curves,local,CMDistill,200,200.0,0.35431,0.56009,0.35835,154.0,0.35372,0.354136,0.354,0.3540912,evidence/local/dronevehicle_method_search_20260623/curves_20260624/cmdistill_highlr.csv
DroneVehicle/sub2k_or_curves,local,CMDistill,90,90.0,0.34844,0.54955,0.36286,16.0,0.352224,0.352974,0.3532135,0.35403460000000003,evidence/local/dronevehicle_method_search_20260623/curves_20260624/cmdistill_lowlr.csv
DroneVehicle/sub2k_or_curves,local,detonly/control,200,200.0,0.34881,0.54101,0.35876,1.0,0.348366,0.34885900000000003,0.348842,0.34943379999999996,evidence/local/dronevehicle_method_search_20260623/curves_20260624/detonly_reload_highlr.csv
DroneVehicle/sub2k_or_curves,local,detonly/control,139,139.0,0.343,0.53598,0.36279,2.0,0.34489400000000003,0.345341,0.346116,0.34638460000000004,evidence/local/dronevehicle_method_search_20260623/curves_20260624/detonly_reload_lowlr.csv
DroneVehicle/sub2k_or_curves,local,detonly/control,179,179.0,0.34646,0.54067,0.36279,2.0,0.345132,0.344721,0.34458700000000003,0.3451126,evidence/local/dronevehicle_method_search_20260623/curves_20260624/detonly_reload_lowlr_latest.csv
DroneVehicle/sub2k_or_curves,local,DSN,93,93.0,0.34937,0.54562,0.36435,2.0,0.348522,0.34915,0.350681,0.3512254,evidence/local/dronevehicle_method_search_20260623/curves_20260624/dsn_s2_lowlr.csv
DroneVehicle/sub2k_or_curves,local,DSN,200,200.0,0.34521,0.53861,0.36435,2.0,0.345042,0.345662,0.3453575,0.3454286,evidence/local/dronevehicle_method_search_20260623/curves_20260624/dsn_s2_lowlr_latest.csv
DroneVehicle/sub2k_or_curves,local,baseline,200,200.0,0.4248,0.62123,0.43299,142.0,0.42425199999999996,0.424005,0.42436100000000004,0.4257682,evidence/local/dronevehicle_method_search_20260623/curves_20260624/ir_teacher_baseline_from_scratch.csv
DroneVehicle/sub2k_or_curves,local,baseline,200,200.0,0.4248,0.62123,0.43299,142.0,0.42425199999999996,0.424005,0.42436100000000004,0.4257682,evidence/local/dronevehicle_method_search_20260623/curves_20260624/ir_teacher_baseline_from_scratch_latest.csv
DroneVehicle/sub2k_or_curves,local,baseline,200,200.0,0.35385,0.55255,0.36087,141.0,0.3537,0.35421199999999997,0.35409999999999997,0.354891,evidence/local/dronevehicle_method_search_20260623/curves_20260624/rgb_student_baseline_from_scratch.csv
