server_group,run_key,remote_run_dir,status
remote_3090,detonly,runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/detonly_control_yoloinit/yolo11n/seed0/ogsod_yoloinit_detonly_control_yoloinit_yolo11n_e800_b64_img256_s0_20260624_161654_gpu0,copied
remote_3090,plain,runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/dynamic_plain_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_plain_yoloinit_yolo11n_e800_b64_img256_s0_20260624_201305_gpu1,copied
remote_3090,singleproj,runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/dynamic_singleproj_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_singleproj_yoloinit_yolo11n_e800_b64_img256_s0_20260624_1605_gpu0,copied
remote_3090,wo_s_rec,runs_public/ogsod/hbb/yoloinit_mainline_search_20260624/dynamic_wo_s_rec_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_wo_s_rec_yoloinit_yolo11n_e800_b64_img256_s0_20260624_1608_gpu1,copied
remote_3090,reach_rawinput,runs_public/ogsod/hbb/yoloinit_dynamic_sweep_20260624/dynamic_reach_rawinput_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_reach_rawinput_yoloinit_yolo11n_e800_b64_img256_s0_20260624_210845_gpu1,copied
remote_3090,capR2,runs_public/ogsod/hbb/capr_gatedkd_early_20260625/dynamic_capR2_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_capR2_yoloinit_yolo11n_e800_b64_img256_s0_20260625_034019_gpu0,copied
remote_3090,capR4,runs_public/ogsod/hbb/capr_gatedkd_early_20260625/dynamic_capR4_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_capR4_yoloinit_yolo11n_e800_b64_img256_s0_20260625_034447_gpu0,copied
remote_3090,detach_probe,runs_public/ogsod/hbb/yoloinit_probe_plain_anchor_3090_20260625/dynamic_plain_detach_reach_probe_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_plain_detach_reach_probe_yoloinit_yolo11n_e800_b64_img256_s0_20260625_103950_gpu1,copied
remote_3090,combo_singleproj_raw_STOPPED,runs_public/ogsod/hbb/yoloinit_dynamic_combo_20260625/dynamic_singleproj_rawinput_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_singleproj_rawinput_yoloinit_yolo11n_e800_b64_img256_s0_20260625_085428_gpu0,copied
remote_3090,combo_raw_wo_srec_STOPPED,runs_public/ogsod/hbb/yoloinit_dynamic_combo_20260625/dynamic_rawinput_wo_srec_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_rawinput_wo_srec_yoloinit_yolo11n_e800_b64_img256_s0_20260625_085428_gpu1,copied
remote_4090,detonly_zw1,runs_public/ogsod/hbb/capr_gatedkd_early_4090_20260625/detonly_control_zw1cache/yolo11n/seed0/ogsod_yoloinit_4090zw1cache_detonly_control_caprgroup_yolo11n_e800_b64_img256_s0_20260625_045721_gpu1,copied
remote_4090,plain_anchor,runs_public/ogsod/hbb/yoloinit_probe_plain_anchor_4090_20260625/dynamic_plain_anchor_4090_yoloinit/yolo11n/seed0/ogsod_yoloinit_dynamic_plain_anchor_4090_yoloinit_yolo11n_e800_b64_img256_s0_20260625_103949_gpu0,copied
remote_4090,resume_dynamic,runs_public/ogsod/hbb/yoloinit_resume_fixed_20260625/dynamic/yolo11n/seed0/ogsod_yoloinit_dynamic_resume_fixed_bestep326_e800_b64_img256_s0_20260625_021121_gpu1,copied
