epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,rank_d_neg_cap,normalize_reach,capR_effectively_enabled,reach_delta,reach_input_mode,use_fg_mask_for_reach,kd_weight_mode,kd_target_branch,kd_reach_margin,kd_reach_tau,kd_reach_use_capped_gap,kd_reach_detach_weight,kd_reach_min_weight,kd_reach_conf_power,kd_reach_active_threshold,shuffle_teacher_pairs,d_pos_mean,d_pos_median,d_pos_q10,d_pos_q25,d_pos_q75,d_neg_mean,d_neg_median,d_neg_q10,d_neg_q25,d_neg_q75,d_neg_eff_mean,d_neg_eff_median,d_neg_eff_q10,d_neg_eff_q25,d_neg_eff_q75,gap_raw_mean,gap_raw_median,gap_raw_q25,gap_raw_q75,gap_capped_mean,gap_capped_median,gap_capped_q25,gap_capped_q75,reachable_margin_mean,reachable_margin_median,reachable_margin_q25,reachable_margin_q75,cap_saturation_ratio,rank_active_ratio,cap_blocked_active_ratio,zero_loss_feasible_ratio,fg_gap_capped_mean,fg_gap_capped_median,fg_cap_saturation_ratio,fg_rank_active_ratio,fg_zero_loss_feasible_ratio,bg_gap_capped_mean,bg_gap_capped_median,bg_cap_saturation_ratio,bg_rank_active_ratio,bg_zero_loss_feasible_ratio,P3_gap_capped_mean,P4_gap_capped_mean,P5_gap_capped_mean,P3_cap_saturation_ratio,P4_cap_saturation_ratio,P5_cap_saturation_ratio,P3_rank_active_ratio,P4_rank_active_ratio,P5_rank_active_ratio,kd_reach_weight_mean,kd_reach_weight_std,kd_reach_weight_min,kd_reach_weight_max,kd_reach_weight_q25,kd_reach_weight_q50,kd_reach_weight_q75,kd_reach_active_ratio,kd_reach_conf_mean,kd_reach_reachable_margin_mean,kd_reach_reachable_margin_q25,kd_reach_reachable_margin_q75,P3_kd_active_ratio,P4_kd_active_ratio,P5_kd_active_ratio,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_detach_reach_probe,ladd_b_keep_reach_probe_grad,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.009956521739130433,0.0033188405797101453,0.009956521739130433,2.84312,3.50063,1.59446,0.49569,0.00949,0.07428,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.05267010780618243,0.029522177569932587,0.011375734971648932,0.018155404893036905,0.05760546723124234,2.781268266318501,2.791137522890948,2.5972661844198255,2.694273049243982,2.8786420324574347,2.781268266318501,2.791137522890948,2.5972661844198255,2.694273049243982,2.8786420324574347,2.7285981620567434,2.7523298398308134,2.6396291971206667,2.8463498765143793,2.7285981620567434,2.7523298398308134,2.6396291971206667,2.8463498765143793,2.52859811005385,2.5523297866185506,2.439629149436951,2.646349831249403,0.0,2.565245697463768e-06,0.0,0.999998584692029,2.8505556656177653,2.8562462419964545,0.0,0.0,0.9999999928959581,2.7276926845744036,2.7517442955487015,0.0,2.5873629214323087e-06,0.9999985592088838,2.7185193839280504,2.226797387910926,3.2404777143312535,0.0,0.0,0.0,0.0,2.653702445652174e-07,7.430366847826087e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5726957321167,0.0752984955906868,0.1657840758562088,7.398080348968506,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.03333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.03333333333333333,1,1,0,0,0,0,0,0.0033333333333333335,1.0,1.0,1.0
2,b,0.01995644556995291,0.006652148523317638,0.01995644556995291,2.7822,2.39944,1.4016,0.64426,0.00533,0.03305,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.05169183952409936,0.030399880352753983,0.011467953819732613,0.01899441149359083,0.056035981121459515,3.524907816320226,3.543288671106532,3.384161966088889,3.469830543061961,3.6007699264996296,3.524907816320226,3.543288671106532,3.384161966088889,3.469830543061961,3.6007699264996296,3.4732159801151443,3.5056179682413737,3.410995974748031,3.573580279212067,3.4732159801151443,3.5056179682413737,3.410995974748031,3.573580279212067,3.2732159351957018,3.3056179115737696,3.21099593328393,3.373580237056898,0.0,1.769134963768116e-06,0.0,0.9999989385190218,3.634687012174855,3.645926901223003,0.0,0.0,0.9999999942123026,3.471798205030137,3.5046135999154355,0.0,1.795592117190793e-06,0.9999989114809728,3.545474984334863,3.1600064091060474,3.7141665469045226,0.0,0.0,0.0,0.0,0.0,5.307404891304348e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.750044822692871,0.10098794102668762,0.23484404385089874,7.503602027893066,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.06666666666666667,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.06666666666666667,1,1,0,0,0,0,0,0.006666666666666667,1.0,1.0,1.0
3,b,0.029956064393936686,0.009985354797978897,0.029956064393936686,2.9109,2.40809,1.49519,0.49858,0.00728,0.02305,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.0740604474492695,0.05066678646928293,0.020624579571734143,0.03303491950947859,0.08706380648916398,3.865187945573226,3.8813925874406014,3.7717294174691904,3.83368090926737,3.9157001467718593,3.865187945573226,3.8813925874406014,3.7717294174691904,3.83368090926737,3.9157001467718593,3.791127500672271,3.825998236476511,3.7465501225512963,3.877074630364128,3.791127500672271,3.825998236476511,3.7465501225512963,3.877074630364128,3.5911274550617605,3.6259981746258942,3.5465500734854434,3.6770745799161384,0.0,2.211418704710145e-06,0.0,0.9999996461730073,3.9592361134845158,3.963976910641027,0.0,0.0,0.9999999945420165,3.7897636690001555,3.8251298641812976,0.0,2.2306884457593434e-06,0.9999996313150378,3.734178788765617,3.7250682851542596,3.914135428096937,0.0,0.0,0.0,0.0,5.572775135869565e-06,1.0614809782608696e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.117308616638184,0.2110276222229004,0.6000105738639832,8.447529792785645,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.1,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.1,1,1,0,0,0,0,0,0.010000000000000002,1.0,1.0,1.0
4,b,0.029998969486428155,0.009999656495476053,0.029998969486428155,2.95944,2.40583,1.54775,0.4667,0.00853,0.02257,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.0831582983388849,0.05850716535874265,0.024379251813155388,0.03831771804699742,0.1001539600253834,3.908981498773547,3.9294214079345484,3.823066034524337,3.886792698804883,3.955435666830643,3.908981498773547,3.9294214079345484,3.823066034524337,3.886792698804883,3.955435666830643,3.825823197848555,3.86580228805542,3.7849843391473743,3.9122372575428175,3.825823197848555,3.86580228805542,3.7849843391473743,3.9122372575428175,3.625823145327361,3.6658022524654,3.584984290081522,3.712237209168033,0.0,1.0614809782608696e-06,0.0,0.9999996461730073,3.9799007212006767,3.9832251203614613,0.0,0.0,0.9999999935024007,3.824604558599168,3.864948422321375,0.0,1.0654747830298932e-06,0.9999996315741885,3.730154199185579,3.7834461460942808,3.9638692482658056,0.0,0.0,0.0,0.0,0.0,3.1844429347826085e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.780029296875,0.5595926642417908,1.8216315507888794,14.490235328674316,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.13333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.13333333333333333,1,1,0,0,0,0,0,0.013333333333333334,1.0,1.0,1.0
5,b,0.029998167992352658,0.00999938933078422,0.029998167992352658,2.85637,2.25543,1.49911,0.48793,0.00675,0.02247,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.07925177774783494,0.056786366724881576,0.022787120971190525,0.03659046930050059,0.09734302349793522,3.915114808773649,3.9375985580941903,3.830135031022887,3.8962246570034305,3.961873387599337,3.915114808773649,3.9375985580941903,3.830135031022887,3.8962246570034305,3.961873387599337,3.835863022182299,3.874971948844799,3.795747659517371,3.9199575199597123,3.835863022182299,3.874971948844799,3.795747659517371,3.9199575199597123,3.6358629821003348,3.67497190254322,3.595747614597929,3.719957472967065,0.0,1.0614809782608696e-06,0.0,1.0,3.9846737056062254,3.987319151791156,0.0,0.0,0.9999999941173936,3.8346358147220334,3.874101289804431,0.0,1.064599896578685e-06,0.9999999895475913,3.752594452318938,3.779434633255005,3.9755599809729536,0.0,0.0,0.0,0.0,0.0,3.1844429347826085e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.06961441040039,0.9121729135513306,3.3014962673187256,18.225915908813477,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.16666666666666666,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.16666666666666666,1,1,0,0,0,0,0,0.016666666666666666,1.0,1.0,1.0
6,b,0.02999713752115866,0.00999904584038622,0.02999713752115866,2.76594,2.15256,1.46735,0.29769,0.00677,0.02246,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.08178483863374678,0.05527448737943221,0.021224894579632825,0.03466657704042703,0.10066290366011199,3.9062874310258504,3.932110414988753,3.813611686402473,3.8872422277063565,3.958962280853935,3.9062874310258504,3.932110414988753,3.813611686402473,3.8872422277063565,3.958962280853935,3.8245025980299796,3.8695664868838544,3.783610855669215,3.9176214076470637,3.8245025980299796,3.8695664868838544,3.783610855669215,3.9176214076470637,3.6245025396347046,3.6695664488750954,3.583610801765884,3.7176213672195657,0.0,3.538269927536232e-05,0.0,1.0,3.985016077278304,3.987757563416975,0.0,0.0,0.9999999938220003,3.8231532452762993,3.868603089235831,0.0,3.544580211619968e-05,0.9999999893748241,3.738102346917857,3.756993222236633,3.9784122249354485,0.0,0.0,0.0,0.0,0.0,0.00010614809782608695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.694339752197266,1.225937843322754,4.327277183532715,15.605132102966309,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.2,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.2,1,1,0,0,0,0,0,0.020000000000000004,1.0,1.0,1.0
7,b,0.02999587808873731,0.009998626029579103,0.02999587808873731,2.69981,2.05955,1.4334,0.24461,0.00574,0.02242,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.07867324486023922,0.05057905535953899,0.019625903910017096,0.03171790625288006,0.09681562393460004,3.8857057899668597,3.917708944928819,3.7699736287628394,3.8607272590416066,3.952347682178884,3.8857057899668597,3.917708944928819,3.7699736287628394,3.8607272590416066,3.952347682178884,3.8070325381513954,3.857412842736728,3.7620476822922195,3.9115789707156194,3.8070325381513954,3.857412842736728,3.7620476822922195,3.9115789707156194,3.6070324918498162,3.6574127995449563,3.5620476259701492,3.7115789219953013,0.0,4.927040874094203e-05,0.0,1.0,3.9866411123733854,3.989181131948724,0.0,0.0,0.9999999954016795,3.8054965219635895,3.856326791514521,0.0,4.935851504632265e-05,0.9999999900658926,3.722699189186096,3.7228207235750945,3.9755777016929956,0.0,0.0,0.0,2.653702445652174e-07,0.0,0.00014754585597826086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.04357147216797,1.5301896333694458,5.34426736831665,15.347417831420898,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.23333333333333334,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.23333333333333334,1,1,0,0,0,0,0,0.023333333333333334,1.0,1.0,1.0
8,b,0.0299943897145106,0.009998129904836867,0.0299943897145106,2.63657,1.98705,1.40075,0.15594,0.0052,0.0224,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.07262561765020255,0.047485631178879766,0.018412179823307256,0.029846626537893325,0.09062363400311291,3.8702729453211244,3.9042876841365426,3.735534637561743,3.8372378076332203,3.946304742495219,3.8702729453211244,3.9042876841365426,3.735534637561743,3.8372378076332203,3.946304742495219,3.7976473383281544,3.845478366423344,3.7460086487341617,3.905555989085764,3.7976473383281544,3.845478366423344,3.7460086487341617,3.905555989085764,3.5976472768230714,3.645478317011958,3.5460086000138435,3.7055559441663215,0.0,0.0,0.0,1.0,3.9874262424535627,3.989957534937185,0.0,0.0,0.9999999941870288,3.7959588873213614,3.8442486172137054,0.0,0.0,0.99999998902929,3.7095672721448154,3.707212547633959,3.9761621952056885,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.47777557373047,1.8423547744750977,6.251727104187012,18.66142463684082,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.26666666666666666,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.26666666666666666,1,1,0,0,0,0,0,0.02666666666666667,1.0,1.0,1.0
9,b,0.029992672421431114,0.009997557473810372,0.029992672421431114,2.6184,1.95702,1.39187,0.18391,0.00479,0.02239,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.07134602633304894,0.045340615660108226,0.017557781559572914,0.028509336175246036,0.08954850751290813,3.8511134970015375,3.8893063230790954,3.6927843242451766,3.8091184612633526,3.940000124945157,3.8511134970015375,3.8893063230790954,3.6927843242451766,3.8091184612633526,3.940000124945157,3.7797674714655116,3.8294533193975253,3.719075594086578,3.898482189662215,3.7797674714655116,3.8294533193975253,3.719075594086578,3.898482189662215,3.5797674268916033,3.6294532585835113,3.5190755450207254,3.6984821354133497,0.0,4.42283740942029e-07,0.0,1.0,3.9881381857222404,3.9904550545457482,0.0,0.0,0.999999994903371,3.7779353594434433,3.8280812069989634,0.0,4.4667071104387117e-07,0.9999999884246052,3.709439628020577,3.658053716369297,3.971809070006661,0.0,0.0,0.0,2.653702445652174e-07,1.0614809782608696e-06,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.97191619873047,2.1261837482452393,7.251011848449707,20.83771514892578,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.3,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.3,1,1,0,0,0,0,0,0.03,1.0,1.0,1.0
10,b,0.02999072623598163,0.00999690874532721,0.02999072623598163,2.57796,1.90608,1.36666,0.19248,0.00461,0.02238,4.0,1,0,0.2,adapter,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.0724645369021438,0.046121190139683015,0.017653324034430283,0.029105778906998003,0.0905407474610779,3.8279271281283833,3.8720552441002667,3.640239309573519,3.775995867839758,3.933165260328763,3.8279271281283833,3.8720552441002667,3.640239309573519,3.775995867839758,3.933165260328763,3.7554625974185223,3.8089486982511436,3.685211636018062,3.8889996780865435,3.7554625974185223,3.8089486982511436,3.685211636018062,3.8889996780865435,3.555462550425875,3.6089486640432606,3.4852115824602654,3.6889996266019516,0.0,4.42283740942029e-07,0.0,1.0,3.9884851020496486,3.9908068141909494,0.0,0.0,0.9999999948811149,3.753395139998284,3.8073498000269352,0.0,4.460299206202499e-07,0.9999999893748241,3.681625683411308,3.6198715655700022,3.9648905432742576,0.0,0.0,0.0,1.0614809782608696e-06,2.653702445652174e-07,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.73540496826172,2.3733723163604736,7.928614616394043,20.281795501708984,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.3333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.3333333333333333,1,1,0,0,0,0,0,0.03333333333333333,1.0,1.0,1.0
