epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,rank_d_neg_cap,normalize_reach,capR_effectively_enabled,reach_delta,reach_input_mode,use_fg_mask_for_reach,kd_weight_mode,kd_target_branch,kd_reach_margin,kd_reach_tau,kd_reach_use_capped_gap,kd_reach_detach_weight,kd_reach_min_weight,kd_reach_conf_power,kd_reach_active_threshold,shuffle_teacher_pairs,d_pos_mean,d_pos_median,d_pos_q10,d_pos_q25,d_pos_q75,d_neg_mean,d_neg_median,d_neg_q10,d_neg_q25,d_neg_q75,d_neg_eff_mean,d_neg_eff_median,d_neg_eff_q10,d_neg_eff_q25,d_neg_eff_q75,gap_raw_mean,gap_raw_median,gap_raw_q25,gap_raw_q75,gap_capped_mean,gap_capped_median,gap_capped_q25,gap_capped_q75,reachable_margin_mean,reachable_margin_median,reachable_margin_q25,reachable_margin_q75,cap_saturation_ratio,rank_active_ratio,cap_blocked_active_ratio,zero_loss_feasible_ratio,fg_gap_capped_mean,fg_gap_capped_median,fg_cap_saturation_ratio,fg_rank_active_ratio,fg_zero_loss_feasible_ratio,bg_gap_capped_mean,bg_gap_capped_median,bg_cap_saturation_ratio,bg_rank_active_ratio,bg_zero_loss_feasible_ratio,P3_gap_capped_mean,P4_gap_capped_mean,P5_gap_capped_mean,P3_cap_saturation_ratio,P4_cap_saturation_ratio,P5_cap_saturation_ratio,P3_rank_active_ratio,P4_rank_active_ratio,P5_rank_active_ratio,kd_reach_weight_mean,kd_reach_weight_std,kd_reach_weight_min,kd_reach_weight_max,kd_reach_weight_q25,kd_reach_weight_q50,kd_reach_weight_q75,kd_reach_active_ratio,kd_reach_conf_mean,kd_reach_reachable_margin_mean,kd_reach_reachable_margin_q25,kd_reach_reachable_margin_q75,P3_kd_active_ratio,P4_kd_active_ratio,P5_kd_active_ratio,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_frozen_reach_probe,ladd_b_detach_reach_probe,ladd_b_keep_reach_probe_grad,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.009956521739130433,0.0033188405797101453,0.009956521739130433,2.85045,3.52713,1.62468,0.5063,1.54008,0.61878,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,1.9392832301665044,1.9962906241416931,1.5772844438967497,1.7867819983026256,2.1142668777617857,2.1046036191608595,2.092459211487701,1.8700472133747046,1.9743751757386803,2.2328608450682266,1.95817209896834,1.9985804495604143,1.8633135975271031,1.9397536913553874,2.0,0.1653203914488625,0.09694045099659243,-0.10258152735406074,0.40988380589346957,0.018888871738538687,-0.023058128616084222,-0.17301789111849192,0.20110824047655299,-0.181111118867251,-0.2230581260461738,-0.3730178806444873,0.0011082423553950545,0.6690124732860621,0.8036111804022306,0.4824798141700634,0.20658410113790762,0.4360503908355895,0.4697089331267878,0.810833812647954,0.44788181268559973,0.5623104694429013,0.016249237155484413,-0.02475578016129093,0.6682287895161173,0.8060980700928232,0.20409858448665413,-0.06967729229338306,0.08713706013260653,0.03920684737639259,0.7996346515157948,0.6782438858695652,0.529158882472826,0.8776856132175611,0.7526080587635869,0.7805398692255435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.769906044006348,0.07583928108215332,0.17015650868415833,7.0738372802734375,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.03333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.03333333333333333,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
2,b,0.01995644556995291,0.006652148523317638,0.01995644556995291,2.81682,2.4215,1.46063,0.64877,0.42681,0.23518,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,1.3703842761723892,1.4641932339771935,0.4862359085376712,0.8210263795610787,1.919531304680783,2.2611047236815742,2.2443641386170317,1.9113227932349495,2.0371387816857602,2.484791948138804,1.965710521262625,2.0,1.897205722677535,1.9474236643832663,2.0,0.8907204348971878,0.7931453113106713,0.14697019989075868,1.641016186579414,0.5953262423691542,0.5327109944993171,0.020244239162707674,1.1785630691742552,0.39532623350539287,0.3327109951255978,-0.179755755222362,0.9785630490036978,0.8135641125665195,0.32472222369650133,0.16136974390002265,0.6792334736257359,1.5731177318787228,1.634536794475887,0.9987294347389885,0.0035776210832409562,0.996516585090886,0.5891321201255356,0.5252322261748107,0.8126547424689583,0.3268109917568137,0.6771756134603335,0.8848287342683129,0.5124507927376291,0.3886992001015207,0.9230364592179008,0.9062884786854619,0.6113673997961957,0.09307589323624321,0.39705332880434785,0.48403744904891305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36135482788086,0.10249263048171997,0.2515946924686432,7.660211563110352,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.06666666666666667,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.06666666666666667,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
3,b,0.029956064393936686,0.009985354797978897,0.029956064393936686,2.93113,2.40033,1.5387,0.36668,0.13379,0.17544,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.839645388851995,0.6534132014150205,0.14133780378632355,0.28525251290504483,1.4189804138480753,2.3240579200827556,2.37664847339409,1.9361578020496646,2.0996585023575935,2.536551544631737,1.9729769124500993,2.0,1.9071379518163376,1.9773896790932919,2.0,1.4844125308852265,1.7438869707826254,0.7126665837522866,2.2188915551572608,1.1333315205746803,1.3462567750094594,0.5514883258204529,1.7146731355915898,0.9333314940549325,1.146256747280342,0.3514883194928584,1.514673087907874,0.862553958616395,0.15223762401636096,0.05111245417940444,0.8504890110181725,1.8661190617413237,1.9016458164624794,0.9994740038028822,0.0021085815905648756,0.9978914138886683,1.1293033802854842,1.3406769354274308,0.8618893754655036,0.1528932410709667,0.8498559248620186,1.513259472536004,1.173464138093202,0.7132709510948347,0.9177450428838315,0.9375926142153532,0.73232421875,0.0004063481869904891,0.10029535708220108,0.3560111667798913,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.239801406860352,0.21630068123340607,0.6238365769386292,11.183101654052734,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.1,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.1,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
4,b,0.029998969486428155,0.009999656495476053,0.029998969486428155,2.94504,2.3842,1.56921,0.26682,0.07106,0.16432,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.5236654684811398,0.2732188435136408,0.07212933160540094,0.11292330990073042,0.8306262850329496,2.3875412636908933,2.432885001707768,2.050487204047217,2.232886820945187,2.5689199523649355,1.9882444881010746,2.0,1.980714590134828,2.0,2.0,1.8638757890549258,2.163668821514517,1.4377920088992602,2.424280183902685,1.464579019943873,1.7267289061477218,1.168781693128572,1.887062552873639,1.2645789831444838,1.5267288589823074,0.9687816618793252,1.6870625051899233,0.9282256195510643,0.08849427596382473,0.042634162349977356,0.9136638033217278,1.928932128938412,1.9429979048166806,0.9991852097497308,0.00012218964196020557,0.9998778045352253,1.4624524753162826,1.7245599107465883,0.9278801328894021,0.08876108352422413,0.9134125019329181,1.692930325217869,1.601505494636038,1.0993012399777122,0.9462769881538723,0.9578037427819294,0.8805961277173913,8.551556131114131e-05,0.027877144191576088,0.23752016813858695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.540245056152344,0.5285630822181702,1.7581470012664795,15.42183780670166,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.13333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.13333333333333333,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
5,b,0.029998167992352658,0.00999938933078422,0.029998167992352658,2.82811,2.23597,1.52212,0.24239,0.04186,0.15926,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.4092191843882851,0.14105148562162684,0.049158026152492866,0.07384437861568902,0.6395286046292471,2.421969771385193,2.4824101921440898,2.104049759844075,2.2761902173360187,2.587103332298389,1.9917598777923031,2.0,1.9958920969479326,2.0,2.0,2.0127505912297012,2.3362761044847793,1.6624426830937897,2.483467405429785,1.582540692453799,1.8589168330897456,1.360064349744631,1.9261507690816686,1.3825406515079997,1.6589167854060298,1.1600643201798633,1.7261507213979528,0.9481288080630095,0.07342469588569973,0.039062146173007246,0.9287035292473392,1.9584096315744761,1.9675792201503262,0.9999261167314317,6.825007028407879e-05,0.9999317446270505,1.5809016929156539,1.8577576018761897,0.9478968438031017,0.07360320955680093,0.9285414595534836,1.7661356874134229,1.701283011229142,1.2802033787188323,0.9632064819335937,0.973974609375,0.9072053328804348,2.4215034816576086e-05,0.013683551290760869,0.20656632133152175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.566162109375,0.8210526704788208,2.897059679031372,19.839094161987305,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.16666666666666666,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.16666666666666666,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
6,b,0.02999713752115866,0.00999904584038622,0.02999713752115866,2.74182,2.11333,1.47487,0.20707,0.03141,0.15757,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.34894684507795004,0.10670310508567786,0.03971273187139625,0.05954968330072428,0.5311970509264781,2.438963402526966,2.501547908782959,2.144039235253265,2.2968612380649733,2.5885105623715168,1.9952881028686744,2.0,2.0,2.0,2.0,2.090016562696816,2.386833840176679,1.7831425444803377,2.502314009182695,1.6463412526724994,1.8932650726774465,1.468597291474757,1.940444036670353,1.446341211553933,1.6932650249937307,1.2685972624714823,1.7404439889866372,0.9635893006255661,0.06070523469344429,0.0383155712182971,0.9411067354506341,1.9688158713446724,1.9749162967116745,0.999975871598279,0.0,0.9999999937304744,1.645002723776776,1.892430928133536,0.9634267199730527,0.060820312005892885,0.9410055202850397,1.8025524896124134,1.7505244851112365,1.3859467832938484,0.9719876496688179,0.9814469047214673,0.9373333474864131,3.3171280570652173e-07,0.00782019573709239,0.17429517663043478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.18507766723633,1.0905147790908813,3.9747846126556396,18.756437301635742,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.2,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.2,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
7,b,0.02999587808873731,0.009998626029579103,0.02999587808873731,2.6966,2.03742,1.45793,0.19452,0.02847,0.15716,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.3152550283981406,0.09007237411873496,0.03572636442562646,0.05231313313917675,0.4911878088678139,2.446097107555555,2.5098343095917635,2.1620051985201627,2.3008262827776482,2.5865698724553203,1.9955781337143719,2.0,2.0,2.0,2.0,2.130842077904853,2.408989243576492,1.8178612251212631,2.508065130399621,1.6803231059641077,1.9099114984705827,1.5086694595606431,1.9476837856182154,1.4803230639817058,1.709911450786867,1.3086694295855537,1.7476837379344996,0.9690395852793818,0.0658767479053442,0.04456433282382247,0.9356517847033514,1.971747918065483,1.977270962042216,0.9999919305362645,0.0,0.9999999949741646,1.6792433161666427,1.9092002934303836,0.9689290906208149,0.0659668787327868,0.9355720059595246,1.8235410830248957,1.7946726570958678,1.42275557777156,0.9850723266601562,0.9839785368546196,0.9380678923233695,2.653702445652174e-07,0.005788521144701087,0.19184145720108695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.45690155029297,1.3758078813552856,5.129944324493408,19.675071716308594,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.23333333333333334,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.23333333333333334,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
8,b,0.0299943897145106,0.009998129904836867,0.0299943897145106,2.64043,1.97378,1.43866,0.13052,0.02607,0.15689,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.27687552616648053,0.07733345692909822,0.031637505910011764,0.04594818417647638,0.3351327630488769,2.451983033401379,2.5119876481484678,2.1791952026063117,2.3356706311737283,2.5821072281270787,1.9964026003644086,2.0,2.0,2.0,2.0,2.1751075126122736,2.424740900164065,2.020337538961051,2.5120652962422025,1.7195270745650582,1.922654732759448,1.6648346344629923,1.9540493648985158,1.519527032237122,1.7226546850757323,1.4648345936035765,1.7540493172148,0.9756888348123302,0.05576545604761096,0.038826431053272194,0.9453524603359941,1.9740040686878846,1.978803849220276,0.9999781584217601,0.00011229646684479539,0.9998876977140886,1.718584342452063,1.9219967050828795,0.9755982311739437,0.055834402433127095,0.9452926040559575,1.8337450193322222,1.8240928857222847,1.5007433186406676,0.9915129951808763,0.9829072371773098,0.9526462720788044,6.634256114130435e-08,0.005260168987771739,0.1620361328125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.33988189697266,1.664586067199707,6.121605396270752,24.816526412963867,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.26666666666666666,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.26666666666666666,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
9,b,0.029992672421431114,0.009997557473810372,0.029992672421431114,2.61861,1.93859,1.41948,0.15321,0.02284,0.1563,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.23050241757562195,0.07203432738956442,0.030602222984927485,0.04431115842738148,0.17092747946364292,2.4412978552389837,2.49176117060841,2.173578277187071,2.3786816676457723,2.5583108791406604,1.9974584658940633,2.0,2.0,2.0,2.0,2.2107954443364903,2.410171442100967,2.234745592656343,2.4897699843282286,1.7669560494630232,1.927950576422871,1.829049973902495,1.9556862330091171,1.5669560043708137,1.7279505287391552,1.6290499262187792,1.7556861853254013,0.97639819159024,0.037701416015625,0.022368677111639493,0.9634019934612772,1.9771801008041514,1.9809573982344117,0.9999798039884068,0.0,0.9999999941954779,1.7661128035490063,1.9273571885150411,0.9763090443783912,0.03774859663042635,0.9633632444817087,1.8408736736878104,1.8379671625469043,1.6220273121543554,0.9907453454059103,0.9831768533457881,0.9552723760190217,1.8575917119565218e-06,0.003891920006793478,0.10921047044836957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.48075866699219,1.9111307859420776,7.072968482971191,24.267921447753906,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.3,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.3,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
10,b,0.02999072623598163,0.00999690874532721,0.02999072623598163,2.58146,1.88887,1.39271,0.17169,0.02253,0.15625,2.0,1,1,0.2,raw,1,none,z,0.0,0.2,1,1,0.0,1.0,0.5,0,0.21841669931359914,0.07276441073989955,0.03042183160303967,0.04424098705656934,0.15801175277194252,2.43382272063822,2.4798125616018325,2.173489500474239,2.3792461996493133,2.544321778891743,1.9978195247442827,2.0,2.0,2.0,2.0,2.215406018409176,2.3968500887138258,2.2503086314685103,2.4736698717310808,1.7794028237246085,1.9272265093913976,1.841968019457831,1.955757445183353,1.5794027798417685,1.7272264617076818,1.6419679717741151,1.7557573974996372,0.9776424242102582,0.03271276501641757,0.018127551977185234,0.9680317754330843,1.9776206602959205,1.9816473813484068,0.9999408830455047,0.0,0.9999999949235397,1.7785650628200476,1.9265888993290887,0.9775663257509039,0.0327478047934573,0.9680017351240352,1.8381088308666063,1.844582598624022,1.655517041683197,0.9934080704398777,0.9853879182235055,0.9541312839673913,1.326851222826087e-07,0.002010444972826087,0.09612771739130435,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.01097106933594,2.1345889568328857,7.862699508666992,28.217693328857422,81,normal,0,0,0,0,nan,nan,nan,nan,1.0,0.3333333333333333,1.0,0,none,-1,-1,1.0,-1,linear,0,30,1.0,core,0.3333333333333333,1,1,0,0,0,0,0,0.0,1.0,1.0,1.0
