epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,158.243,2.84289,3.48054,1.59478,0,0.03108,1.53841,0.49065,1.98735,0.33068,0,1.53841,2.43865,0.90024,0.48858,0.0631,0.46845,0.48822,0.54089,0.15081,0.10149,0.03342,2.95397,2.99591,1.41457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03342,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,308.321,2.81557,2.4269,1.44309,0,0.02563,0.45125,0.07052,0.97755,0.34175,0,0.45125,3.46784,3.01659,0.49622,0.06392,0.48337,0.49595,0.52637,0.13543,0.09327,0.03022,2.91447,2.44486,1.47705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03022,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,602.758,2.92024,2.38662,1.52222,0,0.01807,0.13801,0.03265,0.93848,0.08455,0,0.13801,3.83377,3.69576,0.4937,0.06122,0.48198,0.4926,0.06595,0.08604,0.02998,0.0092,3.01914,7.971,1.70763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,758.967,2.93636,2.34267,1.52958,0,0.01299,0.06721,0.02644,0.91324,0.04706,0,0.06721,3.92455,3.85735,0.48883,0.06343,0.48477,0.48631,0.54767,0.15506,0.11863,0.03839,2.8948,2.80397,1.50994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03839,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,911.138,2.80405,2.18727,1.50564,0,0.00997,0.04446,0.02499,0.86616,0.05946,0,0.04446,3.94917,3.90471,0.48741,0.06604,0.48225,0.48314,0.25053,0.21239,0.14503,0.04992,2.87712,2.17847,1.51043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04992,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1061.6,2.73915,2.0805,1.45563,0,0.00859,0.03778,0.02437,0.83674,0.08663,0,0.03778,3.95718,3.9194,0.48659,0.07414,0.47219,0.47911,0.60929,0.19577,0.1734,0.05965,2.82698,1.98279,1.48604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05965,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1216.58,2.68473,2.01027,1.44009,0,0.00798,0.03021,0.02386,0.82335,0.10637,0,0.03021,3.9635,3.93329,0.4892,0.07506,0.48053,0.48767,0.33604,0.25484,0.22266,0.08241,2.74078,1.90875,1.43524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08241,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1369.39,2.63039,1.96057,1.41121,0,0.00762,0.02666,0.02355,0.80619,0.12985,0,0.02666,3.96536,3.93871,0.49003,0.07584,0.48262,0.48963,0.36779,0.24248,0.21216,0.08373,2.68265,2.03712,1.44603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08373,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1518.34,2.60054,1.90372,1.40635,0,0.00728,0.02597,0.02349,0.78549,0.17612,0,0.02597,3.96681,3.94084,0.49043,0.0781,0.4859,0.4877,0.32856,0.2244,0.23722,0.09515,2.66614,1.8421,1.36182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09515,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1667.58,2.57182,1.88018,1.38077,0,0.00697,0.02512,0.02338,0.7832,0.20513,0,0.02512,3.97039,3.94527,0.49304,0.07795,0.48552,0.48561,0.38685,0.27144,0.26262,0.10979,2.55863,1.80976,1.31766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10979,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
