epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
328,134.026,1.44189,0.74231,0.90844,0,0.00332,0.0016,0.1532,0.45864,0.32247,0.00299,0.0016,2.27684,2.27525,0.5169,0.06063,0.46974,0.51034,0.78543,0.69781,0.73989,0.47071,1.3537,0.68337,0.88774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47071,0.019349,0.00644966,0.019349,0.00644966,0.019349,0.00644966,0.019349,0.00644966
329,259.992,1.49052,0.77402,0.91903,0,0.00327,0.00157,0.1532,0.47387,0.33121,0.00296,0.00157,2.27569,2.27412,0.51781,0.06345,0.46873,0.51313,0.78757,0.69731,0.73987,0.47104,1.35254,0.68258,0.88762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47104,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
330,384.96,1.50839,0.78238,0.92137,0,0.00327,0.00157,0.1532,0.47881,0.34206,0.00296,0.00157,2.27604,2.27446,0.51968,0.06141,0.46926,0.51413,0.78973,0.6985,0.74081,0.47131,1.35131,0.6819,0.88728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47131,0.019237,0.00641233,0.019237,0.00641233,0.019237,0.00641233,0.019237,0.00641233
331,510.204,1.52408,0.79149,0.92599,0,0.00326,0.00157,0.1532,0.48022,0.33504,0.00296,0.00157,2.27172,2.27015,0.52048,0.06259,0.46987,0.51453,0.78973,0.699,0.74105,0.47174,1.35017,0.6815,0.88699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47174,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363
332,634.28,1.51719,0.78789,0.92349,0,0.00326,0.00158,0.1532,0.48144,0.33276,0.00298,0.00158,2.27403,2.27245,0.51896,0.06477,0.46678,0.51246,0.7897,0.69956,0.74187,0.47244,1.34872,0.6805,0.88679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47244,0.0191247,0.00637491,0.0191247,0.00637491,0.0191247,0.00637491,0.0191247,0.00637491
333,758.605,1.52138,0.79132,0.92448,0,0.00325,0.00154,0.1532,0.48132,0.32723,0.003,0.00154,2.2711,2.26956,0.51814,0.06604,0.46704,0.51073,0.79053,0.69909,0.74256,0.47264,1.34772,0.67996,0.88659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47264,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
334,882.362,1.52212,0.78976,0.92344,0,0.00326,0.00161,0.15321,0.48169,0.32968,0.003,0.00161,2.26858,2.26697,0.51859,0.06473,0.46635,0.51061,0.78885,0.6997,0.74233,0.47322,1.34641,0.67908,0.88633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47322,0.0190122,0.00633741,0.0190122,0.00633741,0.0190122,0.00633741,0.0190122,0.00633741
335,1006.82,1.51734,0.7893,0.92571,0,0.00326,0.00159,0.1532,0.48025,0.33797,0.003,0.00159,2.26925,2.26766,0.51715,0.06143,0.46414,0.51061,0.7896,0.70043,0.74302,0.47343,1.34532,0.67847,0.88608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47343,0.0189559,0.00631863,0.0189559,0.00631863,0.0189559,0.00631863,0.0189559,0.00631863
336,1130.51,1.51835,0.78643,0.92712,0,0.00325,0.0016,0.1532,0.47825,0.34856,0.00301,0.0016,2.26994,2.26834,0.51705,0.06157,0.46335,0.50718,0.79003,0.7016,0.74352,0.47383,1.34394,0.67835,0.88576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47383,0.0188995,0.00629983,0.0188995,0.00629983,0.0188995,0.00629983,0.0188995,0.00629983
337,1254.69,1.52225,0.79018,0.92465,0,0.00324,0.00155,0.1532,0.47886,0.34097,0.00302,0.00155,2.262,2.26045,0.51859,0.0616,0.46537,0.51004,0.79181,0.70111,0.74365,0.47404,1.34294,0.67742,0.88558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47404,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
