epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.832,2.82812,3.46497,1.59934,0,0.02849,0.01695,0.15554,1.9887,0.33339,0,0.01695,2.6819,2.66495,0.48719,0.06293,0.46653,0.48699,0.43477,0.08795,0.04354,0.01213,2.95371,3.13062,1.32927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01213,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,289.485,2.76896,2.38363,1.39234,0,0.02045,0.0083,0.15417,1.01576,0.35204,0,0.0083,2.68127,2.67297,0.48806,0.06329,0.47091,0.48812,0.15559,0.17635,0.09789,0.03276,2.7919,4.17499,1.4995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03276,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,449.263,2.90168,2.37226,1.48217,0,0.01504,0.0093,0.15431,0.95996,0.12336,0,0.0093,2.69028,2.68098,0.48941,0.06455,0.4719,0.48931,0.43565,0.09666,0.04603,0.01347,3.18116,9.03715,1.73915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01347,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,596.296,2.92583,2.35668,1.50295,0,0.01082,0.01101,0.15467,0.93462,0.07332,0,0.01101,2.60739,2.59638,0.48715,0.0641,0.48044,0.48686,0.23113,0.18811,0.13666,0.04556,2.83374,2.55662,1.45724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04556,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,744.578,2.78954,2.18596,1.45321,0,0.0084,0.0092,0.1543,0.88841,0.08675,0,0.0092,2.57443,2.56523,0.48406,0.06689,0.47803,0.48315,0.16149,0.1544,0.11332,0.03757,2.76746,2.26563,1.42405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03757,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,893.659,2.72238,2.09326,1.4058,0,0.00755,0.00853,0.1542,0.86141,0.10912,0,0.00853,2.55345,2.54492,0.48288,0.06634,0.4787,0.48241,0.63422,0.20726,0.19897,0.07242,2.75512,2.1995,1.37163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07242,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1040.66,2.68329,2.00911,1.39462,0,0.00708,0.00738,0.15403,0.84898,0.14462,0,0.00738,2.54159,2.53421,0.48513,0.06724,0.4837,0.48451,0.62022,0.22981,0.21644,0.08259,2.64973,1.91343,1.34305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08259,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1190.23,2.6241,1.96245,1.36592,0,0.00676,0.00726,0.15402,0.82795,0.16178,0,0.00726,2.52499,2.51772,0.48515,0.06798,0.48421,0.4849,0.31168,0.26012,0.22916,0.09036,2.6156,2.04052,1.32469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09036,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1345.32,2.59058,1.92299,1.3521,0,0.00646,0.00662,0.15392,0.81407,0.18183,0,0.00662,2.51826,2.51163,0.48662,0.06789,0.4883,0.48637,0.41563,0.2452,0.26455,0.10452,2.55877,1.84704,1.29838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10452,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1513.62,2.56756,1.88031,1.33365,0,0.00623,0.00655,0.15392,0.80328,0.21225,0,0.00655,2.51639,2.50983,0.48687,0.06766,0.48608,0.48622,0.37457,0.28486,0.25799,0.10722,2.51356,1.77775,1.2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10722,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
