epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,160.552,2.86212,3.48885,1.60844,0,0.02849,0.01682,0.15552,2.00368,0.33256,0.00137,0.01682,2.68288,2.66607,0.48719,0.06294,0.46658,0.48714,0.1177,0.12266,0.06294,0.02033,2.79476,2.71095,1.34451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02033,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,319.163,2.78389,2.40166,1.399,0,0.02046,0.00858,0.15421,1.00723,0.35756,0.00192,0.00858,2.68354,2.67496,0.48788,0.06384,0.47095,0.48777,0.11834,0.1793,0.07179,0.023,2.93531,5.26904,1.64889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,486.307,2.89683,2.37406,1.47193,0,0.01504,0.00973,0.15437,0.95184,0.12283,0.00173,0.00973,2.68769,2.67796,0.4887,0.06536,0.46825,0.48751,0.21784,0.13727,0.08052,0.0246,3.13397,7.58981,1.64783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,642.835,2.91099,2.32103,1.49457,0,0.01073,0.01111,0.1548,0.92345,0.07286,0.00132,0.01111,2.60702,2.59591,0.48992,0.06635,0.48204,0.4887,0.22521,0.21712,0.13291,0.04555,2.80553,2.97262,1.38917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04555,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,796.514,2.79262,2.19931,1.45526,0,0.00849,0.00933,0.15432,0.88705,0.08896,0.00116,0.00933,2.58187,2.57254,0.48324,0.06705,0.4788,0.48218,0.49273,0.16552,0.10369,0.03341,2.7942,2.45615,1.48346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03341,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,946.73,2.72078,2.07502,1.40911,0,0.00755,0.00844,0.15419,0.851,0.1093,0.00112,0.00844,2.55911,2.55067,0.48246,0.06718,0.48587,0.48221,0.62828,0.21994,0.214,0.08147,2.6784,2.03509,1.34985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08147,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1098.54,2.6859,2.01526,1.39429,0,0.00708,0.00774,0.15409,0.84009,0.13497,0.00121,0.00774,2.55091,2.54317,0.47929,0.06914,0.48044,0.4792,0.64733,0.21243,0.18813,0.07082,2.69883,2.07691,1.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07082,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1250.88,2.61318,1.95365,1.36587,0,0.0068,0.00761,0.15407,0.81955,0.15199,0.0013,0.00761,2.53591,2.52829,0.48523,0.07043,0.48793,0.48468,0.32548,0.21509,0.20046,0.08108,2.657,2.11471,1.37494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08108,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1407.99,2.58486,1.90899,1.34774,0,0.00651,0.00692,0.15397,0.80903,0.19605,0.00142,0.00692,2.53946,2.53253,0.48524,0.07194,0.48692,0.48497,0.66311,0.23924,0.25528,0.10297,2.56369,1.83824,1.28666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10297,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1565.02,2.56701,1.87375,1.33269,0,0.00628,0.00663,0.15392,0.80452,0.22296,0.00154,0.00663,2.5267,2.52007,0.48379,0.07351,0.48082,0.4831,0.3922,0.27472,0.26795,0.10867,2.55736,1.79949,1.29128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10867,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1718.79,2.53811,1.83304,1.31622,0,0.0061,0.00645,0.1539,0.79343,0.24242,0.00167,0.00645,2.49139,2.48494,0.48332,0.07318,0.48802,0.48272,0.42443,0.28989,0.28047,0.12086,2.47712,1.73258,1.23159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12086,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,1866.09,2.51399,1.8097,1.30693,0,0.00592,0.0058,0.15381,0.78609,0.28762,0.0018,0.0058,2.47645,2.47065,0.48593,0.07278,0.49124,0.485,0.40293,0.26741,0.26033,0.11436,2.49923,1.79437,1.25257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11436,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2019.58,2.48024,1.77153,1.29254,0,0.00578,0.00586,0.15381,0.77147,0.28902,0.00191,0.00586,2.46827,2.46241,0.48425,0.07235,0.49402,0.48404,0.3891,0.32315,0.30316,0.13597,2.43953,1.71224,1.23169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13597,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,2169.36,2.47149,1.74666,1.27672,0,0.00564,0.00565,0.15379,0.76728,0.32742,0.00205,0.00565,2.47731,2.47166,0.48707,0.07264,0.49768,0.48673,0.46753,0.32497,0.31578,0.13605,2.43065,1.64654,1.22177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13605,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,2321.92,2.45076,1.72278,1.27656,0,0.00553,0.00567,0.15379,0.76558,0.35536,0.00224,0.00567,2.46071,2.45503,0.4857,0.07239,0.49411,0.48552,0.46981,0.32002,0.30401,0.13119,2.4325,1.64063,1.22797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13119,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,2484.76,2.44398,1.69019,1.26838,0,0.00545,0.00563,0.15378,0.76172,0.3598,0.00237,0.00563,2.44859,2.44296,0.48888,0.07416,0.49812,0.48838,0.48356,0.33656,0.33235,0.14449,2.39693,1.60082,1.21476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14449,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,2639.77,2.4068,1.67158,1.25205,0,0.00534,0.00552,0.15377,0.74919,0.3923,0.00247,0.00552,2.44163,2.43611,0.48955,0.07477,0.49803,0.48907,0.44446,0.36393,0.34583,0.15489,2.36554,1.57802,1.19804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15489,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,2799.85,2.39713,1.64632,1.25681,0,0.00538,0.00697,0.15447,0.74556,0.41863,0.00269,0.00697,2.454,2.44703,0.49103,0.0779,0.49661,0.49029,0.42263,0.35283,0.34095,0.15619,2.35886,1.55118,1.19718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15619,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,2965.57,2.39719,1.63651,1.24569,0,0.00518,0.0054,0.15375,0.74246,0.43954,0.00279,0.0054,2.45656,2.45115,0.48894,0.07493,0.49671,0.48787,0.53357,0.33314,0.35116,0.15927,2.33889,1.55352,1.18569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15927,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,3135.28,2.37268,1.61739,1.23652,0,0.00512,0.00528,0.15373,0.73776,0.45625,0.0029,0.00528,2.45394,2.44866,0.49078,0.07692,0.50195,0.4901,0.49232,0.35807,0.36422,0.16654,2.31864,1.5453,1.18448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16654,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,3300.4,2.36979,1.60763,1.23817,0,0.00504,0.00543,0.15375,0.73381,0.50062,0.00308,0.00543,2.44003,2.4346,0.49386,0.07656,0.50819,0.49344,0.47346,0.38938,0.38263,0.17923,2.27864,1.48869,1.16594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17923,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
