epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.297,2.84783,3.48961,1.61108,0,0.02848,0.01564,0.15534,1.98438,0.32934,0,0.01564,2.67748,2.66184,0.4871,0.06292,0.46433,0.4866,0.22261,0.19334,0.129,0.04771,2.78342,2.61668,1.36191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04771,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,293.262,2.77623,2.40929,1.40099,0,0.02045,0.00619,0.15387,1.00851,0.35585,0,0.00619,2.6824,2.6762,0.48841,0.0627,0.4696,0.48847,0.15888,0.13778,0.08197,0.02644,2.86918,3.0958,1.47198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02644,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,454.806,2.90974,2.38097,1.46776,0,0.01505,0.0073,0.15402,0.96263,0.11994,0,0.0073,2.69601,2.68871,0.48999,0.06035,0.47348,0.49003,0.0904,0.09463,0.03095,0.00892,3.11811,6.55921,1.68775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,604.496,2.9265,2.34509,1.47665,0,0.01075,0.00791,0.15418,0.93903,0.07085,0,0.00791,2.61316,2.60525,0.48874,0.06389,0.48131,0.48808,0.17793,0.15406,0.08729,0.02795,2.86846,2.85788,1.49679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02795,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,756.473,2.79808,2.19634,1.45,0,0.00838,0.00696,0.15409,0.90149,0.08683,0,0.00696,2.58995,2.58299,0.48805,0.06326,0.48834,0.48769,0.25163,0.20758,0.1534,0.0538,2.81251,3.14909,1.42696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,914.519,2.73123,2.09126,1.41482,0,0.00751,0.00574,0.1538,0.86288,0.10746,0,0.00574,2.58644,2.5807,0.48498,0.0645,0.48894,0.48468,0.6361,0.23036,0.2117,0.0794,2.64905,1.93755,1.33638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1076.99,2.68115,2.01283,1.38312,0,0.00704,0.00495,0.15368,0.85279,0.12976,0,0.00495,2.57292,2.56797,0.48659,0.06691,0.48982,0.48583,0.37126,0.23086,0.21632,0.08622,2.68832,1.95071,1.35617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08622,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1239.73,2.62475,1.96092,1.36754,0,0.00673,0.00484,0.15367,0.83173,0.1567,0,0.00484,2.54732,2.54248,0.48906,0.06862,0.48719,0.48895,0.32836,0.26217,0.22262,0.08351,2.61175,2.27751,1.31798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08351,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1411.9,2.58991,1.92571,1.35389,0,0.00647,0.00457,0.1537,0.81613,0.17787,0,0.00457,2.54168,2.53711,0.49245,0.07035,0.49389,0.49199,0.39634,0.27019,0.26099,0.10753,2.56326,1.80438,1.27884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10753,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1568.68,2.56242,1.87043,1.33198,0,0.00625,0.00429,0.15359,0.80645,0.20999,0,0.00429,2.51804,2.51375,0.48913,0.07073,0.49053,0.48884,0.3953,0.29223,0.27869,0.11942,2.49145,1.72848,1.24354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11942,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
