epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.736,2.84296,3.47739,1.59123,0,0.00893,0.00836,0.15417,1.42693,0.33645,0.00069,0.00836,2.40169,2.39332,0.49369,0.06622,0.4541,0.49384,0.51875,0.16196,0.10894,0.03773,2.74654,2.58701,1.36146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03773,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,284.919,2.77784,2.3954,1.39898,0,0.00839,0.00431,0.15359,0.96434,0.33697,0.00097,0.00431,2.40558,2.40127,0.49198,0.0649,0.44817,0.49188,0.18241,0.15222,0.10213,0.03394,2.91437,5.75631,1.5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03394,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,472.236,2.90699,2.37842,1.46408,0,0.00781,0.00498,0.15369,0.95666,0.14206,0.0009,0.00498,2.42022,2.41524,0.49366,0.06629,0.45079,0.49262,0.0998,0.13582,0.03237,0.01011,3.32166,14.7983,1.71622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01011,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,609.372,2.92497,2.35058,1.50006,0,0.00737,0.00659,0.15392,0.93955,0.09996,0.00076,0.00659,2.42108,2.41449,0.49472,0.07015,0.44591,0.49393,0.24881,0.18882,0.137,0.04491,2.85573,2.66124,1.43961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04491,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,740.46,2.79399,2.18134,1.45116,0,0.00698,0.00554,0.15377,0.89399,0.13671,0.0007,0.00554,2.42309,2.41755,0.49363,0.07412,0.4405,0.49253,0.23559,0.2026,0.13308,0.04783,2.86682,2.38837,1.42422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04783,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,873.43,2.72202,2.0919,1.40954,0,0.00667,0.00525,0.15373,0.86781,0.15683,0.0007,0.00525,2.42698,2.42173,0.49628,0.0734,0.4463,0.49493,0.6542,0.21933,0.22137,0.08514,2.64737,1.99193,1.31063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08514,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1006.07,2.68584,2.01303,1.38604,0,0.00639,0.00461,0.15364,0.84994,0.1825,0.00072,0.00461,2.4365,2.43189,0.49339,0.07205,0.44587,0.49243,0.61528,0.23596,0.22759,0.08551,2.68791,1.9001,1.36285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08551,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1139.49,2.62012,1.95821,1.36212,0,0.0062,0.00541,0.15403,0.83191,0.20931,0.00078,0.00541,2.44237,2.43696,0.49625,0.07213,0.44768,0.49581,0.31959,0.25959,0.2209,0.08605,2.57943,3.36737,1.30934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08605,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1273.53,2.59268,1.93047,1.34316,0,0.00603,0.00763,0.15483,0.82109,0.242,0.00086,0.00763,2.44347,2.43584,0.49793,0.07116,0.44532,0.49756,0.67015,0.24546,0.24555,0.09767,2.58501,1.83652,1.29083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09767,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1404.4,2.55837,1.87401,1.32266,0,0.00582,0.00398,0.15355,0.81121,0.25731,0.00093,0.00398,2.43358,2.4296,0.4967,0.07161,0.44097,0.49545,0.4906,0.26292,0.26654,0.10863,2.4991,1.78697,1.27016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10863,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1537.15,2.53979,1.84425,1.31362,0,0.0057,0.00379,0.15352,0.80354,0.30894,0.00101,0.00379,2.4401,2.43631,0.49614,0.07212,0.43977,0.49537,0.66714,0.25533,0.25851,0.11437,2.51355,1.83119,1.24991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11437,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,1669.02,2.50842,1.80936,1.30087,0,0.00557,0.00389,0.15355,0.79645,0.34564,0.00108,0.00389,2.43876,2.43487,0.49454,0.07696,0.43729,0.49404,0.43841,0.28042,0.26984,0.11233,2.49114,1.7859,1.26671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11233,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,1801.7,2.48839,1.77594,1.28835,0,0.00543,0.00358,0.15349,0.78768,0.35855,0.00115,0.00358,2.43383,2.43025,0.49452,0.07692,0.43764,0.49379,0.39817,0.33903,0.31523,0.13619,2.42537,1.66883,1.22177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13619,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,1934,2.47016,1.74645,1.2767,0,0.00533,0.00364,0.1535,0.77931,0.40888,0.00125,0.00364,2.43347,2.42983,0.49795,0.07652,0.44292,0.49734,0.38471,0.33012,0.29455,0.12808,2.46284,1.67588,1.23109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12808,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,2067.24,2.45567,1.72853,1.27398,0,0.00524,0.00353,0.15348,0.77769,0.42908,0.00135,0.00353,2.44122,2.4377,0.49919,0.07618,0.44575,0.49928,0.37522,0.30868,0.28784,0.13067,2.52701,1.77155,1.24303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13067,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,2199.74,2.44473,1.70026,1.26098,0,0.00518,0.00384,0.15371,0.77261,0.46817,0.00141,0.00384,2.43983,2.43599,0.4984,0.0762,0.4451,0.4976,0.53964,0.3187,0.34048,0.14817,2.38089,1.59149,1.19695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14817,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,2333.69,2.40841,1.6838,1.25406,0,0.00509,0.00322,0.15344,0.75878,0.52244,0.00152,0.00322,2.43403,2.43081,0.49694,0.07543,0.44731,0.49525,0.46237,0.33446,0.33957,0.15514,2.38517,1.60719,1.20256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15514,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
