epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.482,2.8408,3.47094,1.59871,0,0.00893,0.00977,0.15441,1.40032,0.33478,0.00138,0.00977,2.39993,2.39015,0.49381,0.06619,0.45509,0.49406,0.46797,0.1334,0.06804,0.02193,2.95929,2.77087,1.36304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02193,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,219.057,2.77392,2.40343,1.393,0,0.00839,0.00629,0.15387,0.97447,0.33609,0.00192,0.00629,2.40419,2.39791,0.49238,0.06462,0.45038,0.49268,0.51988,0.17093,0.10241,0.03453,2.91552,5.82731,1.5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03453,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,326.536,2.89294,2.37017,1.45155,0,0.00782,0.00757,0.15406,0.96676,0.14597,0.00177,0.00757,2.41423,2.40666,0.49305,0.06598,0.45058,0.49307,0.06661,0.15289,0.03873,0.01027,3.12373,3.48708,1.74546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01027,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,435.129,2.91878,2.3419,1.49602,0,0.00736,0.00844,0.15419,0.9298,0.10257,0.00146,0.00844,2.42231,2.41386,0.49199,0.07092,0.45073,0.4913,0.27515,0.1922,0.1337,0.04593,2.86291,3.49224,1.47388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04593,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,542.353,2.79143,2.18656,1.44935,0,0.007,0.00793,0.15411,0.90035,0.12989,0.0013,0.00793,2.42383,2.4159,0.49014,0.07566,0.44314,0.48865,0.18779,0.20514,0.09269,0.02961,2.79297,2.29646,1.40805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02961,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,649.785,2.72282,2.08409,1.40926,0,0.00666,0.00774,0.15409,0.86836,0.1619,0.0013,0.00774,2.4359,2.42816,0.48963,0.07647,0.43919,0.4897,0.38402,0.21974,0.20563,0.07988,2.70205,1.98472,1.35532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07988,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,757.426,2.67981,1.99695,1.39475,0,0.00641,0.00782,0.1541,0.85187,0.19133,0.00134,0.00782,2.43427,2.42645,0.49122,0.07756,0.43631,0.49091,0.28293,0.23495,0.21074,0.08162,2.66552,1.88507,1.37131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08162,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,865.085,2.61727,1.94416,1.36766,0,0.00617,0.0065,0.15391,0.83329,0.2207,0.00145,0.0065,2.4352,2.42869,0.4909,0.07678,0.43386,0.49043,0.33601,0.26428,0.23424,0.09141,2.62043,2.14982,1.31459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09141,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,970.019,2.59921,1.90923,1.35425,0,0.006,0.00672,0.15396,0.82298,0.26149,0.00156,0.00672,2.43748,2.43075,0.49357,0.07344,0.44063,0.4938,0.67753,0.22953,0.24094,0.09473,2.59447,1.86647,1.30568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09473,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1074.73,2.55427,1.86615,1.3302,0,0.0058,0.00623,0.15387,0.80841,0.28773,0.00167,0.00623,2.43255,2.42632,0.49282,0.07206,0.43885,0.49292,0.39817,0.30349,0.28357,0.11765,2.52666,1.77388,1.25629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11765,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
