experiment,model,phase,status,epochs_recorded,target_epochs,best_map50_95,best_epoch,last_map50_95,last_epoch,best_final_drop,last_minus_baseline_best,last_minus_baseline_final,excess_drop_vs_sar_baseline,failure_or_caveat
s alphaKD0.5,s,A2,complete,50,50,0.624,50,0.624,50,0.0,-0.00497000000000003,0.0016699999999999493,-0.00664,
s alphaKD0.5,s,B,complete,402,400,0.63074,218,0.61802,400,0.012719999999999954,-0.010950000000000015,-0.004310000000000036,0.0060799999999999535,
s alphaKD0.25,s,A2,complete,50,50,0.62771,29,0.62532,50,0.0023900000000000032,-0.003650000000000042,0.002989999999999937,-0.004249999999999997,
s alphaKD0.25,s,B,complete,402,400,0.63027,199,0.61719,400,0.01307999999999998,-0.011780000000000013,-0.005140000000000033,0.0064399999999999805,
s B det-only r2,s,A2,complete,50,50,0.624,50,0.624,50,0.0,-0.00497000000000003,0.0016699999999999493,-0.00664,
s B det-only r2,s,B,complete,400,400,0.63025,226,0.61923,400,0.01102000000000003,-0.009740000000000082,-0.0031000000000001027,0.00438000000000003,
s A2 det-only,s,A2,complete,50,50,0.62795,13,0.62222,50,0.005730000000000013,-0.006750000000000034,-0.0001100000000000545,-0.0009099999999999872,
m A2 det-only,m,A2,complete,50,50,0.64521,4,0.63892,50,0.006289999999999907,-0.016880000000000006,-0.010109999999999952,-0.0004800000000000932,
s A2 lr3e-4,s,A2,complete,50,50,0.63309,13,0.62443,50,0.008660000000000001,-0.0045399999999999885,0.0020999999999999908,0.002020000000000001,
m A2 lr3e-4 retry2,m,A2,incomplete,40,50,0.64707,4,0.64123,40,0.005840000000000067,-0.014570000000000083,-0.007800000000000029,-0.0009299999999999326,interrupted at A2 epoch 40 by Disk quota exceeded while saving last.pt; metrics before interruption are usable as partial A2 curve
s A2 short15,s,A2,complete,15,15,0.63025,13,0.6215,15,0.008749999999999925,-0.007469999999999977,-0.0008299999999999974,0.0021099999999999244,
s A2 lr3e-4 short15,s,A2,complete,15,15,0.63159,13,0.62383,15,0.007759999999999989,-0.005140000000000033,0.0014999999999999458,0.001119999999999989,
