label,model,category,phase,source,exists,copied
s_alphaKD0p5_A1,s,alpha_kd_0.5,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_alphaKD0p5_b400_a1_e10_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
s_alphaKD0p5_A2,s,alpha_kd_0.5,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_alphaKD0p5_b400_a2_e50_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
s_alphaKD0p5_B400,s,alpha_kd_0.5,b,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_alphaKD0p5_b400_b_e400_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
s_alphaKD0p25_A1,s,alpha_kd_0.25,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_alphaKD0p25_b400_a1_e10_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_alphaKD0p25_A2,s,alpha_kd_0.25,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_alphaKD0p25_b400_a2_e50_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_alphaKD0p25_B400,s,alpha_kd_0.25,b,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_alphaKD0p25_b400_b_e400_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_B_detonly_r2_A1,s,b_detonly_r2,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_bdetonly_b400_r2_a1_e10_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
s_B_detonly_r2_A2,s,b_detonly_r2,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_bdetonly_b400_r2_a2_e50_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
s_B_detonly_r2_B400,s,b_detonly_r2,b,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_capkd_s_s0_bdetonly_b400_r2_b_e400_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_detonly_A1,s,a2_detonly,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a1_e10_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_detonly_A2,s,a2_detonly,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_a2_e50_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_detonly_B1,s,a2_detonly,b,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2detonly_b1_retry1_b_e1_b64_s0_gpu0,True,results.csv;args.yaml;ladd_diagnostics.csv
m_A2_detonly_A1,m,a2_detonly,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_a1_e10_b32_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
m_A2_detonly_A2,m,a2_detonly,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_a2_e50_b32_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
m_A2_detonly_B1,m,a2_detonly,b,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2detonly_b1_retry1_b_e1_b32_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_lr3e4_A1,s,a2_lr3e4,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a1_e10_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_lr3e4_A2,s,a2_lr3e4,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_a2_e50_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_lr3e4_B1,s,a2_lr3e4,b,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_b1_b_e1_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
m_A2_lr3e4_retry2_A1,m,a2_lr3e4_retry2,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2lr3e4_b1_retry2_a1_e10_b32_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
m_A2_lr3e4_retry2_A2_incomplete,m,a2_lr3e4_retry2,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_diag_a2damage_m_s0_a2lr3e4_b1_retry2_a2_e50_b32_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_short15_A1,s,a2_short15,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2short15_b1_a1_e10_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_short15_A2,s,a2_short15,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2short15_b1_a2_e15_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_short15_B1,s,a2_short15,b,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2short15_b1_b_e1_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_lr3e4_short15_A1,s,a2_lr3e4_short15,a1,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_short15_b1_a1_e10_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
s_A2_lr3e4_short15_A2,s,a2_lr3e4_short15,a2,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2damage_s_s0_a2lr3e4_short15_b1_a2_e15_b64_s0_gpu1,True,results.csv;args.yaml;ladd_diagnostics.csv
