epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,96.6747,1.02814,0.51305,0.83604,0,0,0,0,0,0,4.10515,0.04725,0.00895,0.00092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57302,0.23197,0,0,0.48537,0.05634,0.48196,0.47612,0.83129,0.76858,0.80973,0.51911,1.22725,0.57132,0.86478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51911,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,194.293,1.07659,0.52924,0.84163,0,0,0,0,0,0,1.47481,0.04268,0.00832,0.00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5421,0.23468,0,0,0.4854,0.05637,0.48269,0.47617,0.86339,0.76328,0.81433,0.5234,1.2559,0.57987,0.86688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5234,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996
3,291.658,1.07769,0.5302,0.83946,0,0,0,0,0,0,1.49604,0.03834,0.00634,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53014,0.24197,0,0,0.48546,0.05641,0.48084,0.47422,0.82245,0.75896,0.7996,0.50696,1.29363,0.59747,0.87151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50696,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985
4,388.13,1.09857,0.54067,0.84473,0,0,0,0,0,0,1.19195,0.03398,0.00527,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54311,0.25125,0,0,0.48544,0.05638,0.48054,0.47529,0.81017,0.76457,0.80293,0.51323,1.2649,0.58019,0.86886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51323,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966
5,483.871,1.09754,0.5404,0.84566,0,0,0,0,0,0,1.32806,0.03178,0.00448,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55673,0.261,0,0,0.48532,0.05623,0.48185,0.47514,0.831,0.76543,0.80654,0.50944,1.29166,0.5857,0.87374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50944,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939
6,579.691,1.09787,0.54327,0.84672,0,0,0,0,0,0,1.15922,0.02852,0.00346,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56455,0.26859,0,0,0.48534,0.05632,0.47832,0.47372,0.8332,0.7664,0.81022,0.51568,1.26498,0.57842,0.86574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51568,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905
7,674.066,1.0929,0.5398,0.84269,0,0,0,0,0,0,1.08274,0.02568,0.00302,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58245,0.27388,0,0,0.48535,0.05632,0.47842,0.4733,0.81832,0.76243,0.80386,0.50212,1.31762,0.59717,0.87621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50212,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863
8,773.7,1.08807,0.53487,0.84507,0,0,0,0,0,0,1.12073,0.02378,0.00287,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59423,0.27778,0,0,0.48535,0.05634,0.48136,0.47476,0.81725,0.7548,0.79397,0.4993,1.31474,0.59598,0.87988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4993,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813
9,873.821,1.09285,0.5355,0.84166,0,0,0,0,0,0,1.06845,0.02115,0.00246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61333,0.28394,0,0,0.48535,0.05634,0.47899,0.4728,0.83067,0.76463,0.80278,0.51349,1.2862,0.58209,0.87222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51349,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
10,980.489,1.09056,0.53918,0.84325,0,0,0,0,0,0,1.01784,0.01914,0.00209,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62271,0.28624,0,0,0.48543,0.05637,0.48012,0.47343,0.84565,0.7717,0.81453,0.52097,1.26673,0.57683,0.86932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52097,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691
11,1088.51,1.0843,0.53163,0.84194,0,0,0,0,0,0,0.94854,0.0171,0.00177,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64276,0.28777,0,0,0.48527,0.05626,0.47914,0.47326,0.84441,0.76786,0.81478,0.51411,1.29341,0.59063,0.87473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51411,0.00299886,0.000999618,0.00299886,0.000999618,0.00299886,0.000999618,0.00299886,0.000999618
12,1196.75,1.09441,0.5412,0.84442,0,0,0,0,0,0,1.06851,0.01616,0.00189,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63607,0.28951,0,0,0.48539,0.05628,0.47975,0.47392,0.83501,0.76951,0.80895,0.5128,1.26583,0.58134,0.86857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128,0.00299861,0.000999538,0.00299861,0.000999538,0.00299861,0.000999538,0.00299861,0.000999538
13,1305.02,1.08503,0.53613,0.84309,0,0,0,0,0,0,0.82197,0.01475,0.00115,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64808,0.29215,0,0,0.48538,0.05633,0.47376,0.47061,0.84394,0.77,0.81477,0.52244,1.26676,0.57563,0.86734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52244,0.00299835,0.00099945,0.00299835,0.00099945,0.00299835,0.00099945,0.00299835,0.00099945
14,1412.61,1.08358,0.53355,0.84126,0,0,0,0,0,0,0.8277,0.01344,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65278,0.29099,0,0,0.48539,0.05635,0.47471,0.4713,0.82776,0.76377,0.80172,0.51797,1.25654,0.57794,0.86509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51797,0.00299807,0.000999355,0.00299807,0.000999355,0.00299807,0.000999355,0.00299807,0.000999355
15,1520.91,1.08809,0.53603,0.84393,0,0,0,0,0,0,0.88386,0.01277,0.00131,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66478,0.29185,0,0,0.48538,0.05626,0.48135,0.47408,0.82898,0.76655,0.80376,0.51744,1.25209,0.58141,0.86632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51744,0.00299776,0.000999252,0.00299776,0.000999252,0.00299776,0.000999252,0.00299776,0.000999252
16,1629.61,1.09921,0.54072,0.84515,0,0,0,0,0,0,0.9578,0.01205,0.00117,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66747,0.28839,0,0,0.48542,0.05637,0.4783,0.47378,0.83306,0.76957,0.81048,0.52228,1.25058,0.57047,0.86506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52228,0.00299742,0.000999141,0.00299742,0.000999141,0.00299742,0.000999141,0.00299742,0.000999141
17,1738.28,1.09113,0.53853,0.84271,0,0,0,0,0,0,0.90792,0.01135,0.00116,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67585,0.28465,0,0,0.48534,0.05628,0.47623,0.47128,0.81776,0.7644,0.79678,0.518,1.24645,0.57471,0.86509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023
18,1848.25,1.08488,0.53503,0.84271,0,0,0,0,0,0,0.88731,0.01102,0.00106,9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66565,0.27985,0,0,0.48537,0.05631,0.47726,0.47245,0.84321,0.76197,0.80671,0.51876,1.25009,0.57935,0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51876,0.00299669,0.000998897,0.00299669,0.000998897,0.00299669,0.000998897,0.00299669,0.000998897
19,1958.24,1.08362,0.53478,0.84278,0,0,0,0,0,0,0.85835,0.01028,0.001,9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66726,0.28039,0,0,0.48529,0.05626,0.48003,0.47419,0.83841,0.76286,0.80722,0.52001,1.25103,0.56948,0.86473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52001,0.00299629,0.000998764,0.00299629,0.000998764,0.00299629,0.000998764,0.00299629,0.000998764
20,2068.59,1.08331,0.53436,0.84401,0,0,0,0,0,0,0.87815,0.00989,0.00102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66738,0.27886,0,0,0.48536,0.05631,0.47757,0.47259,0.84255,0.76364,0.80586,0.52256,1.22965,0.5678,0.86182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52256,0.00299587,0.000998623,0.00299587,0.000998623,0.00299587,0.000998623,0.00299587,0.000998623
21,2178.53,1.09747,0.5421,0.8462,0,0,0,0,0,0,0.85266,0.00937,0.00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65455,0.27371,0,0,0.48536,0.05635,0.47663,0.47172,0.85477,0.76484,0.81546,0.52825,1.23456,0.56122,0.86159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52825,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474
22,2290.09,1.09969,0.54132,0.84509,0,0,0,0,0,0,0.83352,0.00917,0.00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66801,0.27138,0,0,0.48537,0.05633,0.4788,0.47318,0.83122,0.76764,0.80683,0.52474,1.22885,0.56246,0.86116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52474,0.00299495,0.000998318,0.00299495,0.000998318,0.00299495,0.000998318,0.00299495,0.000998318
23,2400.14,1.0812,0.5341,0.84398,0,0,0,0,0,0,0.81462,0.00857,0.0009,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66547,0.27225,0,0,0.48535,0.05627,0.47608,0.47148,0.83856,0.77055,0.81282,0.52683,1.23483,0.56648,0.86264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52683,0.00299446,0.000998154,0.00299446,0.000998154,0.00299446,0.000998154,0.00299446,0.000998154
24,2510.11,1.08618,0.53558,0.8447,0,0,0,0,0,0,0.77344,0.00849,0.00089,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66311,0.26662,0,0,0.48532,0.05634,0.47884,0.47347,0.82069,0.77689,0.8068,0.52254,1.22891,0.56152,0.86276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52254,0.00299395,0.000997982,0.00299395,0.000997982,0.00299395,0.000997982,0.00299395,0.000997982
25,2619.54,1.09764,0.54206,0.84544,0,0,0,0,0,0,0.7947,0.00825,0.00084,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65936,0.26518,0,0,0.48539,0.05629,0.48017,0.47394,0.83592,0.76868,0.80588,0.51404,1.25733,0.57105,0.86502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51404,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803
26,2730.15,1.09258,0.53736,0.84431,0,0,0,0,0,0,0.83876,0.00805,0.00098,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67059,0.26491,0,0,0.48539,0.0563,0.476,0.47192,0.83922,0.76942,0.81057,0.52076,1.23856,0.5629,0.8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52076,0.00299285,0.000997616,0.00299285,0.000997616,0.00299285,0.000997616,0.00299285,0.000997616
27,2840.9,1.0811,0.53504,0.84375,0,0,0,0,0,0,0.71713,0.00787,0.00095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6664,0.26034,0,0,0.48541,0.0564,0.47638,0.47229,0.82602,0.77114,0.80483,0.51756,1.25474,0.56764,0.86556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51756,0.00299227,0.000997422,0.00299227,0.000997422,0.00299227,0.000997422,0.00299227,0.000997422
28,2951.67,1.09958,0.53925,0.84452,0,0,0,0,0,0,0.77869,0.00751,0.00067,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6678,0.25883,0,0,0.48531,0.05634,0.4753,0.4716,0.84023,0.77773,0.81427,0.53036,1.21273,0.55639,0.8573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53036,0.00299166,0.00099722,0.00299166,0.00099722,0.00299166,0.00099722,0.00299166,0.00099722
