epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,190.711,0.77064,0.37291,0.80265,0,0,0,0,0,0,0,0.03189,0.00188,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63069,0.25433,0,0,0.46667,0.05706,0.38061,0.43073,0.91369,0.85472,0.89392,0.60578,1.09338,0.47341,0.84456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60578,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,361.921,0.79535,0.38355,0.80224,0,0,0,0,0,0,0,0.01884,0.00119,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67598,0.26782,0,0,0.46668,0.05709,0.37371,0.42596,0.91779,0.86154,0.90286,0.6097,1.08337,0.47265,0.84442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6097,0.00299949,0.00099983,0.00299949,0.00099983,0.00299949,0.00099983,0.00299949,0.00099983
3,535.376,0.8026,0.38702,0.80344,0,0,0,0,0,0,0,0.01274,0.00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65856,0.28374,0,0,0.46663,0.05713,0.37205,0.42504,0.9189,0.85338,0.89822,0.61224,1.07395,0.47469,0.84246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61224,0.00299796,0.000999322,0.00299796,0.000999322,0.00299796,0.000999322,0.00299796,0.000999322
4,705.847,0.80019,0.38443,0.80405,0,0,0,0,0,0,0,0.00977,0.00066,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62481,0.29803,0,0,0.46666,0.05713,0.37244,0.42498,0.92121,0.86731,0.90556,0.61987,1.08434,0.46914,0.84548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61987,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474
5,868.198,0.80992,0.38828,0.80534,0,0,0,0,0,0,0,0.00804,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61337,0.3013,0,0,0.46678,0.057,0.37259,0.42495,0.90738,0.85289,0.89442,0.60782,1.06854,0.47289,0.84182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60782,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288
6,1036.09,0.80135,0.38775,0.80527,0,0,0,0,0,0,0,0.0068,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60417,0.29465,0,0,0.46673,0.05703,0.37378,0.42501,0.91622,0.85586,0.89636,0.60936,1.08508,0.4759,0.84379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60936,0.0029873,0.000995765,0.0029873,0.000995765,0.0029873,0.000995765,0.0029873,0.000995765
7,1209.31,0.80319,0.3891,0.80408,0,0,0,0,0,0,0,0.00596,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59247,0.28509,0,0,0.46668,0.05705,0.37287,0.42496,0.91007,0.85222,0.89215,0.59834,1.11975,0.48641,0.84948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59834,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
8,1374.8,0.80763,0.38809,0.80268,0,0,0,0,0,0,0,0.00519,0.00032,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58808,0.27524,0,0,0.46663,0.05712,0.37249,0.42495,0.91431,0.86144,0.90303,0.61265,1.1038,0.47617,0.84634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61265,0.00297513,0.000991711,0.00297513,0.000991711,0.00297513,0.000991711,0.00297513,0.000991711
9,1544.37,0.80659,0.3877,0.80454,0,0,0,0,0,0,0,0.00472,0.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59843,0.26382,0,0,0.4666,0.05698,0.37301,0.4248,0.90877,0.84533,0.89013,0.60365,1.09656,0.47858,0.8455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60365,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183
10,1716.02,0.80751,0.38906,0.80464,0,0,0,0,0,0,0,0.0043,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59905,0.25357,0,0,0.46657,0.05723,0.37375,0.42507,0.91894,0.85656,0.90034,0.61868,1.06139,0.46441,0.84353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61868,0.00295897,0.000986323,0.00295897,0.000986323,0.00295897,0.000986323,0.00295897,0.000986323
