epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,effective_alpha_kd,kd_multiplier,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.009956521739130433,0.0033188405797101453,0.009956521739130433,2.72901,2.80935,1.58425,0.30426,0.0,0.0,8.327353477478027,0.04328269138932228,0.10313289612531662,3.4413671493530273,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
2,b,0.01995644556995291,0.006652148523317638,0.01995644556995291,2.69367,2.12825,1.38061,0.19252,0.0,0.0,11.102743148803711,0.06505914032459259,0.15611940622329712,3.886245012283325,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
3,b,0.029956064393936686,0.009985354797978897,0.029956064393936686,2.87761,2.29966,1.49591,0.17355,0.0,0.0,29.65999984741211,0.16349735856056213,0.478875070810318,5.820258617401123,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
4,b,0.029998969486428155,0.009999656495476053,0.029998969486428155,2.90596,2.29922,1.51793,0.14833,0.0,0.0,61.29716110229492,0.4143505096435547,1.2270402908325195,10.536580085754395,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
5,b,0.029998167992352658,0.00999938933078422,0.029998167992352658,2.77162,2.13316,1.45664,0.13588,0.0,0.0,83.47998046875,0.6695256233215332,1.9520834684371948,13.035557746887207,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
6,b,0.02999713752115866,0.00999904584038622,0.02999713752115866,2.69015,2.02324,1.4164,0.13077,0.0,0.0,120.01981353759766,0.9152560234069824,2.7625601291656494,12.663217544555664,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
7,b,0.02999587808873731,0.009998626029579103,0.02999587808873731,2.62094,1.92812,1.38372,0.12655,0.0,0.0,127.6011734008789,1.1707624197006226,3.4860730171203613,15.165081024169922,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
8,b,0.0299943897145106,0.009998129904836867,0.0299943897145106,2.58682,1.87974,1.36794,0.12383,0.0,0.0,160.71299743652344,1.3499387502670288,4.084566593170166,17.810091018676758,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
9,b,0.029992672421431114,0.009997557473810372,0.029992672421431114,2.54348,1.83312,1.34017,0.12188,0.0,0.0,199.51866149902344,1.5858423709869385,4.5825114250183105,18.66385841369629,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
10,b,0.02999072623598163,0.00999690874532721,0.02999072623598163,2.51824,1.79933,1.32381,0.1224,0.0,0.0,207.05551147460938,1.7798023223876953,5.368990421295166,17.708005905151367,81,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,0.0,1.0,1.0
