key,label,protocol,server,model,seed,method,bn_stats,status,epochs_recorded,best_epoch,best_map,last_epoch,last_map,sar_baseline_best,sar_baseline_final,best_minus_sar_best,last_minus_sar_final,best_final_drop,source_path,notes
mosaic_legacy_s0,mosaic100 legacy s0,mosaic100,90,n,0,legacy,normal,complete,755,746,0.56678,755,0.56638,0.54091,0.53836,0.02586999999999995,0.028020000000000045,0.00039999999999995595,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_legacy_s0_b_e800_b64_s0_gpu2/results.csv,old close@100 protocol; mosaic open for first 100 epochs; no collapse
mosaic_legacy_s42,mosaic100 legacy s42,mosaic100,90,n,42,legacy,normal,complete,800,763,0.56688,800,0.5592,0.54091,0.53836,0.02597000000000005,0.02084000000000008,0.00768000000000002,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_legacy_s42_b_e800_b64_s42_gpu5/results.csv,old close@100 protocol; no collapse
mosaic_legacy_s123,mosaic100 legacy s123,mosaic100,90,n,123,legacy,normal,complete,800,770,0.56526,800,0.5622,0.54091,0.53836,0.024349999999999983,0.023840000000000083,0.0030599999999999516,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_legacy_s123_b_e800_b64_s123_gpu3/results.csv,old close@100 protocol; no collapse
mosaic_cap2_s0,mosaic100 cap2 s0,mosaic100,90,n,0,cap2,normal,complete,800,798,0.56841,800,0.56792,0.54091,0.53836,0.02749999999999997,0.02956000000000003,0.0004899999999999904,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s0_b_e800_b64_s0_gpu4/results.csv,largest historical LADD gain under old close@100 protocol
mosaic_cap2_s42,mosaic100 cap2 s42,mosaic100,90,n,42,cap2,normal,complete,800,750,0.56799,800,0.56044,0.54091,0.53836,0.027079999999999993,0.0220800000000001,0.007549999999999946,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s42_b_e800_b64_s42_gpu3/results.csv,old close@100 protocol; no collapse
mosaic_cap2_s123,mosaic100 cap2 s123,mosaic100,90,n,123,cap2,normal,complete,800,800,0.56163,800,0.56163,0.54091,0.53836,0.02071999999999996,0.023270000000000013,0.0,ladd/results/converged_mainline_ladd_20260613/source/mosaic90/ladd_b_runs/ladd_hbb_ogsod11n_ladd800r2_cap2_s123_b_e800_b64_s123_gpu5/results.csv,old close@100 protocol; no collapse
nomosaic_original_s0,no-mosaic original/no-cap2 s0,formal_nomosaic,90,n,0,original,normal,complete,800,730,0.57821,800,0.57517,0.55654,0.55127,0.021669999999999967,0.02389999999999992,0.0030400000000000427,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_original/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_original_s0_a2mu1e3_b_e800_b64_s0_gpu4/results.csv,"highest n no-mosaic LADD best AP; kept as ablation/diagnostic, not final mainline"
nomosaic_cap2_s0_a2mu,no-mosaic cap2 s0 no-BN-freeze,formal_nomosaic,90,n,0,cap2_a2mu1e3,normal,complete,800,725,0.57662,800,0.57504,0.55654,0.55127,0.020079999999999987,0.023769999999999958,0.0015800000000000258,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_b_e800_b64_s0_gpu6/results.csv,healthy no-BN-freeze seed0; strong best/final
nomosaic_cap2_s42_a2mu,no-mosaic cap2 s42 no-BN-freeze,formal_nomosaic,90,n,42,cap2_a2mu1e3,normal,complete,800,735,0.5742,800,0.57293,0.55794,0.55444,0.016260000000000052,0.018490000000000006,0.0012699999999999934,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_a2mu1e3_b_e800_b64_s42_gpu4/results.csv,healthy no-BN-freeze seed42; positive but below seed0
nomosaic_cap2_s123_old_crash,no-mosaic cap2 s123 old-B crash,formal_nomosaic,90,n,123,cap2_old_b,normal,nan_crash,483,1,0.52182,483,0.0,0.56128,0.56076,-0.03946000000000005,-0.56076,0.52182,ladd/results/converged_mainline_ladd_20260613/source/no_mosaic_90/n_cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_b_e800_b64_s123_gpu5/results.csv,old B default/high-LR path; detection loss NaN around epoch 429 and final AP collapses to 0
