epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,196.018,0,0,0,0,0.0345,0.00361,0.63956,0.3317,37.1541,0,0,0,0,0.00793,0,0,0,0,0,0,0,0,0,0.63956,2.29876,1.6592,0,0,0.69228,0.4197,0.49957,0.0511,0.50828,0.49944,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.1714,0.000474262,0.000474262,0.000474262
2,379.988,0,0,0,0,0.01797,0.00152,0.01851,0.15568,1.21636,0,0,0,0,0.00124,0,0,0,0,0,0,0,0,0,0.01851,2.33277,2.31426,0,0,1.19176,0.75327,0.49883,0.04629,0.48853,0.49872,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41128,0.000856487,0.000856487,0.000856487
3,562.065,0,0,0,0,0.01512,0.00104,0.00999,0.15441,0.50163,0,0,0,0,0.00089,0,0,0,0,0,0,0,0,0,0.00999,2.31324,2.30326,0,0,1.40035,0.93111,0.49199,0.05225,0.48034,0.49182,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68308,0.0011444,0.0011444,0.0011444
4,745.604,0,0,0,0,0.01269,0.00098,0.00657,0.15392,0.45506,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0.00657,2.30641,2.29983,0,0,1.60195,1.04687,0.48866,0.05358,0.48468,0.48836,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.62939,0.00100459,0.00100459,0.00100459
5,928.636,0,0,0,0,0.01203,0.0009,0.0054,0.15375,0.43925,0,0,0,0,0.00041,0,0,0,0,0,0,0,0,0,0.0054,2.33163,2.32623,0,0,1.78434,1.18555,0.4838,0.0608,0.48098,0.48347,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.61174,0.000863116,0.000863116,0.000863116
6,1113.04,0,0,0,0,0.0105,0.00055,0.00422,0.15358,0.43328,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0.00422,2.33154,2.32732,0,0,1.58779,1.10489,0.48143,0.06149,0.47972,0.48109,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.60231,0.000721645,0.000721645,0.000721645
7,1295.93,0,0,0,0,0.01,0.00054,0.00355,0.15348,0.42652,0,0,0,0,6e-05,0,0,0,0,0,0,0,0,0,0.00355,2.33811,2.33456,0,0,1.58912,1.08176,0.48276,0.0609,0.48162,0.48241,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59415,0.000580174,0.000580174,0.000580174
8,1425.25,0,0,0,0,0.00962,0.00063,0.0031,0.15342,0.42048,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0.0031,2.32649,2.32339,0,0,1.66179,1.14366,0.48206,0.06062,0.48401,0.48167,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.58728,0.000438703,0.000438703,0.000438703
9,1599.69,0,0,0,0,0.00929,0.0005,0.00279,0.15347,0.41516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279,2.31699,2.3142,0,0,1.70877,1.19776,0.48245,0.06035,0.48447,0.48207,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.58121,0.000297232,0.000297232,0.000297232
10,1776.75,0,0,0,0,0.0091,0.00046,0.00227,0.1533,0.41118,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00227,2.3168,2.31453,0,0,1.65072,1.16542,0.48271,0.06043,0.48524,0.48233,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57632,0.000155761,0.000155761,0.000155761
