epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,215.798,0,0,0,0,0.03564,0.00406,0.65469,0.17893,40.1781,0,0,0,0,0.00809,0,0,0,0,0,0,0,0,0,0.65469,3.38986,2.73517,0,0,0.72123,0.43157,0.47331,0.06685,0.42982,0.47378,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.0595,0.000474262,0.000474262,0.000474262
2,399.357,0,0,0,0,0.02103,0.00162,0.02001,0.02339,1.30722,0,0,0,0,0.00133,0,0,0,0,0,0,0,0,0,0.02001,3.96933,3.94932,0,0,1.42605,0.90918,0.47522,0.05483,0.41403,0.47583,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3746,0.000856487,0.000856487,0.000856487
3,582.532,0,0,0,0,0.01673,0.00109,0.00966,0.02302,0.49417,0,0,0,0,0.00067,0,0,0,0,0,0,0,0,0,0.00966,3.97613,3.96647,0,0,1.91889,1.1159,0.4746,0.05021,0.41764,0.47522,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54534,0.0011444,0.0011444,0.0011444
4,765.049,0,0,0,0,0.01443,0.00096,0.00788,0.0231,0.45421,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0.00788,3.98048,3.9726,0,0,2.34527,1.37932,0.47626,0.05457,0.42048,0.47681,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50073,0.00100459,0.00100459,0.00100459
5,947.555,0,0,0,0,0.01244,0.00059,0.00517,0.02259,0.4391,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00517,3.98448,3.97931,0,0,2.77854,1.56727,0.47823,0.05223,0.42264,0.47885,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4799,0.000863116,0.000863116,0.000863116
6,1130.27,0,0,0,0,0.01161,0.00049,0.00441,0.02253,0.42844,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0.00441,3.98617,3.98176,0,0,2.79552,1.55121,0.47716,0.05248,0.42207,0.47771,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46756,0.000721645,0.000721645,0.000721645
7,1313.82,0,0,0,0,0.01107,0.00052,0.00347,0.02247,0.42452,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00347,3.98824,3.98477,0,0,2.82788,1.57577,0.47869,0.05113,0.42477,0.4793,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46206,0.000580174,0.000580174,0.000580174
8,1497.71,0,0,0,0,0.01065,0.00045,0.00305,0.02242,0.42081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,3.98966,3.98661,0,0,2.89656,1.64177,0.47871,0.05179,0.42527,0.47932,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45738,0.000438703,0.000438703,0.000438703
9,1663.24,0,0,0,0,0.01029,0.00043,0.00266,0.02239,0.41557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266,3.99056,3.9879,0,0,2.90373,1.66352,0.4803,0.05212,0.42774,0.48091,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45134,0.000297232,0.000297232,0.000297232
10,1845.94,0,0,0,0,0.01011,0.00036,0.00238,0.02236,0.41023,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0.00238,3.99188,3.9895,0,0,2.93716,1.7137,0.48017,0.05254,0.42776,0.48077,0.85421,0.7684,0.81816,0.54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44549,0.000155761,0.000155761,0.000155761
