epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.544,1.01218,0.50432,0.82712,0,0.01092,0.00045,0.00157,0.1532,0.38699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,2.36358,2.36201,0,0,1.45174,0.42603,0.46763,0.06134,0.41798,0.46827,0.83092,0.77285,0.81572,0.52976,1.25678,0.57988,0.86386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52976,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,210.149,1.03082,0.5129,0.8286,0,0.01082,0.00038,0.00155,0.1532,0.39072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155,2.3633,2.36175,0,0,1.45702,0.42259,0.468,0.06152,0.41692,0.46866,0.83258,0.76531,0.80943,0.51716,1.32182,0.59259,0.8734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51716,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
3,314.129,1.0341,0.5139,0.83085,0,0.01069,0.00043,0.00149,0.15319,0.38895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149,2.36277,2.36128,0,0,1.46602,0.41538,0.46813,0.06154,0.41707,0.46884,0.84917,0.78082,0.82521,0.54451,1.21057,0.5626,0.85747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54451,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
4,418.131,1.03528,0.51351,0.8298,0,0.01059,0.00034,0.00143,0.15318,0.38926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,2.36493,2.3635,0,0,1.42273,0.40917,0.46815,0.06177,0.41611,0.46886,0.83268,0.76814,0.80825,0.53233,1.22556,0.56896,0.85948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53233,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,520.711,1.03073,0.51529,0.83093,0,0.01048,0.00033,0.00142,0.15318,0.38857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142,2.36442,2.36299,0,0,1.42783,0.40546,0.46757,0.06175,0.41552,0.46829,0.82674,0.7719,0.80987,0.52876,1.23897,0.57259,0.86097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52876,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,622.36,1.03783,0.51424,0.82993,0,0.01038,0.00037,0.00141,0.15318,0.38999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141,2.36581,2.3644,0,0,1.42211,0.4035,0.46829,0.06178,0.41674,0.46901,0.83517,0.76768,0.8117,0.53581,1.20593,0.56196,0.85621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53581,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,725.479,1.0331,0.5136,0.82982,0,0.01031,0.00036,0.00139,0.15317,0.38842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,2.36693,2.36554,0,0,1.41331,0.39878,0.46821,0.06191,0.41555,0.46892,0.84119,0.78555,0.82564,0.53932,1.24973,0.5736,0.86162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53932,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,828.905,1.02315,0.51031,0.83122,0,0.01021,0.00032,0.00136,0.15317,0.38713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,2.36778,2.36642,0,0,1.42214,0.39494,0.4682,0.06189,0.41643,0.46891,0.83121,0.7683,0.80729,0.53002,1.23504,0.56685,0.85752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53002,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,932.313,1.02744,0.51097,0.8294,0,0.01013,0.00033,0.00133,0.15317,0.38484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133,2.36807,2.36674,0,0,1.37128,0.39093,0.4679,0.06181,0.41544,0.46861,0.84,0.77461,0.81249,0.54098,1.20285,0.55484,0.85505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54098,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,1036.11,1.03227,0.51002,0.82967,0,0.01005,0.00035,0.0013,0.15316,0.38574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,2.36951,2.36821,0,0,1.37744,0.38733,0.46839,0.06171,0.41621,0.46911,0.84325,0.77388,0.81841,0.54055,1.21938,0.56385,0.85656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54055,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
