epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,278.885,0.67421,0.3294,0.7952,0,0,0,0,0,0,8.81567,0.03182,0.0033,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7042,0.23928,0,0,0.50566,0.0447,0.51509,0.5186,0.91391,0.8713,0.904,0.59796,1.13166,0.48269,0.86082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59796,0.00997821,0.00332607,0.00997821,0.00332607,0.00997821,0.00332607,0.00997821,0.00332607
2,523.296,0.8223,0.39204,0.81389,0,0,0,0,0,0,2.21284,0.01696,0.00115,7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68037,0.32669,0,0,0.50566,0.04462,0.51584,0.51856,0.9071,0.87069,0.90668,0.577,1.16324,0.51231,0.86599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938
3,739.795,1.16719,0.59689,0.89154,0,0,0,0,0,0,3.21175,0.01117,0.0007,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70705,0.38385,0,0,0.50568,0.0447,0.51359,0.51863,0.72168,0.63488,0.68058,0.32724,1.68254,0.89436,1.01077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32724,0.0299778,0.00999259,0.0299778,0.00999259,0.0299778,0.00999259,0.0299778,0.00999259
4,942.192,1.79578,1.06686,1.06695,0,0,0,0,0,0,4.76033,0.00834,0.00073,7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68522,0.37515,0,0,0.50564,0.04471,0.51468,0.51857,0.62202,0.50903,0.52774,0.22903,1.98411,1.20044,1.08984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22903,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,1162.21,1.97867,1.22945,1.12489,0,0,0,0,0,0,4.78862,0.00683,0.00065,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72187,0.37211,0,0,0.50565,0.04468,0.5138,0.51861,0.61581,0.49886,0.50982,0.22093,1.97552,1.25818,1.09082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22093,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1381.43,2.04033,1.29054,1.13916,0,0,0,0,0,0,4.78945,0.00614,0.00053,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72416,0.36081,0,0,0.50563,0.04473,0.51425,0.51855,0.55832,0.52122,0.52437,0.23105,2.06252,1.20844,1.10914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23105,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1609.18,2.07095,1.29418,1.14817,0,0,0,0,0,0,4.68379,0.00572,0.00043,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75483,0.36126,0,0,0.5057,0.04476,0.51391,0.51867,0.5561,0.50446,0.50301,0.21971,2.04615,1.23074,1.11486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21971,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1834.44,2.08167,1.31513,1.15592,0,0,0,0,0,0,4.80768,0.00543,0.00037,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74498,0.35153,0,0,0.50569,0.04472,0.51575,0.51865,0.53007,0.46069,0.4463,0.20378,2.13819,1.3757,1.12908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20378,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,2036.35,2.04053,1.25673,1.13838,0,0,0,0,0,0,4.36495,0.00525,0.00033,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782,0.3439,0,0,0.50566,0.04471,0.51447,0.5186,0.6005,0.52907,0.54171,0.24731,1.99334,1.18651,1.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24731,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,2240.36,2.01707,1.23301,1.12877,0,0,0,0,0,0,4.34473,0.00509,0.0003,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77096,0.33795,0,0,0.50565,0.04467,0.5156,0.51857,0.61307,0.49275,0.51188,0.23973,2.04814,1.21732,1.11393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23973,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,2443.49,1.99351,1.21183,1.12042,0,0,0,0,0,0,4.16469,0.00496,0.0003,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86354,0.35723,0,0,0.50564,0.04465,0.51554,0.51856,0.62112,0.53868,0.55654,0.25514,1.98107,1.18935,1.07859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25514,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,2640.64,1.99205,1.19258,1.11796,0,0,0,0,0,0,4.06522,0.00479,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8439,0.34504,0,0,0.50567,0.0447,0.51501,0.51861,0.61098,0.55547,0.57785,0.27768,1.92232,1.12522,1.06859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27768,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2842.73,1.97705,1.18937,1.10921,0,0,0,0,0,0,3.99222,0.00466,0.00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87997,0.34197,0,0,0.50565,0.04469,0.51483,0.51859,0.61453,0.53556,0.54664,0.25729,1.98481,1.17028,1.0782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25729,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,3044.14,1.95333,1.16133,1.09673,0,0,0,0,0,0,3.77353,0.00464,0.00023,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86743,0.33954,0,0,0.50568,0.04476,0.51468,0.51862,0.65867,0.54583,0.58977,0.28595,1.93976,1.12494,1.06922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28595,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,3243.08,1.92845,1.14143,1.08918,0,0,0,0,0,0,3.79316,0.00459,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83867,0.33118,0,0,0.50565,0.04472,0.51629,0.51856,0.61913,0.56378,0.57268,0.27911,1.90736,1.08516,1.06096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27911,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,3442.85,1.91807,1.11582,1.08819,0,0,0,0,0,0,3.62554,0.00451,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89878,0.33898,0,0,0.50568,0.0447,0.51506,0.51863,0.66906,0.58018,0.61889,0.30644,1.88755,1.05573,1.05505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30644,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,3642.28,1.92573,1.12566,1.08252,0,0,0,0,0,0,3.60905,0.00449,0.00021,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91928,0.34073,0,0,0.50568,0.0447,0.51455,0.51862,0.67734,0.5845,0.61455,0.30165,1.90721,1.0911,1.04847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30165,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,3848.31,1.89715,1.10404,1.07624,0,0,0,0,0,0,3.52959,0.00441,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9018,0.33931,0,0,0.50562,0.0447,0.51718,0.51851,0.70456,0.61353,0.64622,0.32733,1.81976,1.00524,1.02983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32733,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,4048.25,1.88962,1.09049,1.07293,0,0,0,0,0,0,3.52884,0.00436,0.00019,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93779,0.34457,0,0,0.50568,0.04471,0.51525,0.51862,0.68278,0.60232,0.63105,0.32334,1.85221,1.0328,1.03733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32334,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,4247.05,1.8567,1.06115,1.06538,0,0,0,0,0,0,3.32853,0.00433,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03023,0.36072,0,0,0.50562,0.04466,0.51636,0.51853,0.70529,0.6287,0.66209,0.33895,1.80118,0.9878,1.02642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33895,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,4445.44,1.86641,1.07491,1.06644,0,0,0,0,0,0,3.40188,0.00426,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95133,0.34822,0,0,0.50563,0.04468,0.51625,0.51855,0.71615,0.62022,0.65653,0.34139,1.79368,0.99847,1.02307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34139,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,4650.11,1.82791,1.03446,1.05822,0,0,0,0,0,0,3.23351,0.00424,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04632,0.3727,0,0,0.50567,0.04468,0.51627,0.51861,0.69844,0.62628,0.65507,0.33713,1.83226,1.01548,1.01837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33713,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
23,4860.13,1.84022,1.03983,1.05072,0,0,0,0,0,0,3.27082,0.00421,0.00018,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07606,0.36499,0,0,0.50566,0.04469,0.51625,0.51858,0.71,0.62324,0.65757,0.34316,1.7822,0.96178,1.00604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34316,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
24,5062.9,1.8224,1.02814,1.04972,0,0,0,0,0,0,3.14745,0.00421,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04917,0.35968,0,0,0.50561,0.04468,0.51667,0.51849,0.70368,0.63681,0.66719,0.3509,1.76544,0.96099,1.00615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3509,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982
25,5267.62,1.80785,1.01357,1.04276,0,0,0,0,0,0,3.11491,0.00416,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11357,0.35779,0,0,0.50566,0.04464,0.51648,0.51858,0.70861,0.63227,0.66476,0.34616,1.76513,0.95079,1.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34616,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
26,5475.26,1.80562,1.01377,1.04234,0,0,0,0,0,0,3.15468,0.00416,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11151,0.35856,0,0,0.50561,0.04467,0.51594,0.51851,0.73098,0.65307,0.68873,0.3685,1.72364,0.92854,0.99608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3685,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616,0.0299285,0.00997616
27,5673.23,1.79606,1.00417,1.03906,0,0,0,0,0,0,2.92777,0.0041,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06841,0.3565,0,0,0.50562,0.04466,0.51561,0.51852,0.72834,0.65389,0.6839,0.36834,1.73232,0.92018,0.99988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36834,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
28,5884.09,1.77777,0.99692,1.03115,0,0,0,0,0,0,2.94339,0.00408,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04944,0.36279,0,0,0.50562,0.04469,0.51615,0.51853,0.73789,0.64836,0.6859,0.37355,1.71605,0.91355,0.99638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37355,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722,0.0299166,0.0099722
29,6096.12,1.75998,0.98508,1.02877,0,0,0,0,0,0,2.87404,0.00409,0.00016,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15646,0.37479,0,0,0.50565,0.04469,0.51614,0.51857,0.71507,0.66639,0.69099,0.37721,1.68611,0.89294,0.98448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37721,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
30,6323.16,1.76238,0.97192,1.02582,0,0,0,0,0,0,2.84202,0.00406,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15021,0.37746,0,0,0.50563,0.04469,0.51727,0.51853,0.73437,0.66227,0.69575,0.38124,1.69235,0.89077,0.97979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38124,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794,0.0299038,0.00996794
31,6543.46,1.75364,0.97616,1.02496,0,0,0,0,0,0,2.89197,0.00403,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12355,0.36763,0,0,0.50562,0.0447,0.51661,0.51851,0.74945,0.66927,0.71261,0.40097,1.64395,0.87081,0.97236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40097,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
