epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,148.842,1.0079,0.50203,0.82958,0,0.01387,0.0009,0.0022,0.15329,0.38235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,2.34916,2.34695,0,0,1.13854,0.40118,0.50249,0.06186,0.49909,0.49332,0.83449,0.77302,0.8145,0.53577,1.20303,0.55534,0.85672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53577,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,282.565,1.03077,0.50935,0.83175,0,0.01372,0.00091,0.00213,0.15328,0.38673,0,0,0,0,6e-05,0,0,0,0,0,0,0,0,0,0.00213,2.34183,2.3397,0,0,1.13325,0.39304,0.50152,0.06172,0.49616,0.48998,0.84707,0.77086,0.81855,0.54364,1.19182,0.55987,0.8566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54364,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
3,410.342,1.03121,0.51184,0.83119,0,0.01354,0.00114,0.00201,0.15326,0.38484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,2.33906,2.33705,0,0,1.09223,0.39126,0.50161,0.06209,0.49766,0.49087,0.84066,0.76122,0.79955,0.52644,1.23481,0.56392,0.86265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52644,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
4,542.375,1.03374,0.51563,0.83401,0,0.01334,0.00103,0.00192,0.15325,0.38498,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0,0.00192,2.33874,2.33682,0,0,1.17583,0.39197,0.5019,0.06238,0.50102,0.49311,0.83801,0.76513,0.80967,0.52862,1.24949,0.56989,0.86806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52862,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,671.355,1.02913,0.51019,0.83058,0,0.0132,0.00097,0.00183,0.15324,0.38315,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0.00183,2.33776,2.33594,0,0,1.10726,0.38574,0.50103,0.06242,0.49783,0.49087,0.84857,0.77351,0.81397,0.53812,1.22184,0.55938,0.86335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53812,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,805.156,1.02501,0.50846,0.83068,0,0.01299,0.00061,0.0018,0.15323,0.38126,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0.0018,2.33457,2.33277,0,0,1.06624,0.37864,0.50152,0.06213,0.49317,0.48914,0.8432,0.76926,0.81168,0.53793,1.21059,0.55508,0.8595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53793,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,938.483,1.02566,0.50735,0.82924,0,0.01287,0.0007,0.00176,0.15323,0.38279,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0.00176,2.33395,2.33218,0,0,1.09792,0.3748,0.50113,0.06211,0.49675,0.48896,0.85205,0.76907,0.81857,0.54194,1.21148,0.55226,0.85727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54194,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,1068.45,1.02695,0.50985,0.83102,0,0.01271,0.00061,0.0017,0.15322,0.38202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,2.33454,2.33285,0,0,1.06914,0.37241,0.50128,0.06213,0.49653,0.48996,0.81664,0.77925,0.80726,0.53492,1.21254,0.54825,0.85824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53492,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,1200.6,1.02229,0.50928,0.83049,0,0.01257,0.00074,0.00165,0.15321,0.38099,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0.00165,2.33558,2.33392,0,0,1.07555,0.37241,0.50135,0.06214,0.49756,0.49174,0.84444,0.77633,0.8166,0.53843,1.23132,0.55566,0.86379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53843,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,1326.37,1.02143,0.5077,0.82879,0,0.01245,0.00096,0.0016,0.15321,0.38119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,2.3351,2.33349,0,0,1.12364,0.36838,0.50109,0.06245,0.49931,0.49121,0.84033,0.77987,0.81443,0.54701,1.17973,0.54507,0.85418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54701,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
