epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,258.749,0.98594,0.49495,0.82486,0,0,0,0,0,0,1.59799,0.05071,0.00598,0.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55619,0.24643,0,0,0.49092,0.04772,0.4955,0.49115,0.82913,0.76769,0.80464,0.52182,1.22887,0.5683,0.85695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52182,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,527.343,1.16047,0.5792,0.84938,0,0,0,0,0,0,0.32794,0.03732,0.00418,0.00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55074,0.26627,0,0,0.4909,0.0476,0.49615,0.49133,0.77493,0.73341,0.76732,0.46089,1.41934,0.6899,0.89919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46089,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,800.019,1.54456,0.83074,0.93606,0,0,0,0,0,0,0.36443,0.02479,0.00287,0.00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59923,0.29412,0,0,0.49094,0.04767,0.49482,0.49122,0.39734,0.34738,0.31507,0.1299,2.33911,1.54675,1.1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1299,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,1039.89,2.04833,1.25093,1.09173,0,0,0,0,0,0,0.54628,0.01986,0.0051,0.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62616,0.29614,0,0,0.49092,0.04766,0.49181,0.49137,0.42942,0.35934,0.33167,0.13479,2.42521,1.59137,1.20657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13479,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,1311.17,2.10534,1.30607,1.11838,0,0,0,0,0,0,0.43719,0.02996,0.00477,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62888,0.31728,0,0,0.4909,0.04771,0.49319,0.49169,0.52686,0.34669,0.36849,0.16541,2.31519,1.52094,1.16207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16541,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1571.3,2.10451,1.29547,1.1075,0,0,0,0,0,0,0.4338,0.02963,0.0055,7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67149,0.33569,0,0,0.49091,0.0477,0.49166,0.49106,0.53691,0.42275,0.42973,0.18736,2.21597,1.36597,1.13012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18736,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1810.66,2.09341,1.27911,1.10587,0,0,0,0,0,0,0.36807,0.02973,0.00703,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78548,0.36627,0,0,0.49093,0.04769,0.4947,0.49097,0.54738,0.46341,0.4695,0.2318,2.12712,1.31282,1.10207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2318,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,2102.22,2.0346,1.223,1.08827,0,0,0,0,0,0,0.36687,0.0502,0.00758,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86506,0.41347,0,0,0.49093,0.04772,0.49187,0.49083,0.71171,0.28417,0.28721,0.1445,2.55596,1.90713,1.22939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1445,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,2380.99,2.01597,1.20867,1.07937,0,0,0,0,0,0,0.3426,0.05801,0.00961,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99109,0.49995,0,0,0.49085,0.04768,0.4933,0.49069,0.63716,0.14459,0.13666,0.05534,2.91359,3.51805,1.42002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05534,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,2638.07,1.9897,1.1896,1.06721,0,0,0,0,0,0,0.29764,0.0581,0.01091,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30804,0.6851,0,0,0.49088,0.04772,0.49287,0.49071,0.44429,0.25065,0.26494,0.12628,2.42673,5.01242,1.20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12628,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
