epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.087,1.00758,0.504,0.82789,0,0,0,0,0,0,0.94239,0.04995,0.00721,0.00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53221,0.24751,0,0,0.49092,0.04772,0.49552,0.49111,0.84637,0.77604,0.82009,0.53575,1.2013,0.55344,0.85737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53575,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,191.369,1.0372,0.51625,0.8297,0,0,0,0,0,0,0.30005,0.04224,0.00563,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51213,0.25303,0,0,0.4909,0.0476,0.49632,0.49125,0.83902,0.77937,0.81704,0.53137,1.22648,0.56014,0.8628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53137,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996
3,277.662,1.04582,0.51872,0.83247,0,0,0,0,0,0,0.24476,0.03773,0.0044,0.00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5216,0.2597,0,0,0.49094,0.04767,0.49523,0.49111,0.8594,0.77476,0.82387,0.53866,1.19249,0.55478,0.85663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53866,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985
4,364.814,1.04498,0.52107,0.8333,0,0,0,0,0,0,0.21903,0.03431,0.0038,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52801,0.26576,0,0,0.49092,0.04766,0.4948,0.49116,0.84891,0.77929,0.8251,0.54455,1.15755,0.54274,0.85222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54455,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966
5,451.208,1.04915,0.52047,0.83584,0,0,0,0,0,0,0.21631,0.03222,0.00408,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55415,0.27316,0,0,0.4909,0.04771,0.49618,0.49106,0.8475,0.75899,0.80537,0.52725,1.21262,0.55939,0.85835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52725,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939
6,537.824,1.05838,0.52656,0.8355,0,0,0,0,0,0,0.20548,0.03086,0.00367,7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56787,0.28133,0,0,0.49091,0.0477,0.49501,0.49107,0.84384,0.77301,0.82005,0.53531,1.21431,0.56361,0.86011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53531,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905
7,624.48,1.05894,0.5237,0.83547,0,0,0,0,0,0,0.19391,0.02966,0.00376,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57678,0.28927,0,0,0.49093,0.04769,0.49527,0.49105,0.84485,0.78001,0.82074,0.5387,1.22005,0.56206,0.86151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5387,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863
8,710.831,1.05468,0.52376,0.83429,0,0,0,0,0,0,0.19274,0.02857,0.00389,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59939,0.29728,0,0,0.49093,0.04772,0.49412,0.49115,0.84043,0.785,0.82019,0.53683,1.19988,0.55285,0.85992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53683,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813
9,798.061,1.05832,0.52566,0.83516,0,0,0,0,0,0,0.18224,0.02759,0.00397,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61688,0.30363,0,0,0.49085,0.04768,0.49563,0.49105,0.85596,0.7719,0.82148,0.53851,1.18684,0.5532,0.85608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53851,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
10,884.306,1.05872,0.52461,0.83672,0,0,0,0,0,0,0.18532,0.02664,0.00394,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62842,0.30924,0,0,0.49088,0.04772,0.4942,0.49102,0.8339,0.76326,0.8059,0.52713,1.23959,0.565,0.86292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52713,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691
