epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,83.0009,0,0,0,0,0.03603,0.00462,0.74268,0.18987,36.9211,0,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0.74268,3.35194,2.60925,0,0,0.71456,0.38292,0.49791,0.06438,0.51203,0.4924,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.8952,0.000474262,0.000474262,0.000474262
2,151.903,0,0,0,0,0.02324,0.00181,0.02346,0.0235,1.08911,0,0,0,0,0.00035,0,0,0,0,0,0,0,0,0,0.02346,3.96544,3.94198,0,0,1.15608,0.55049,0.49585,0.06266,0.51169,0.48865,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16147,0.000856487,0.000856487,0.000856487
3,213.544,0,0,0,0,0.02084,0.0018,0.0109,0.02303,0.45173,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0.0109,3.97152,3.96062,0,0,1.52593,0.57061,0.49253,0.06654,0.50291,0.48768,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50886,0.0011444,0.0011444,0.0011444
4,288.324,0,0,0,0,0.01944,0.00189,0.00846,0.02389,0.41615,0,0,0,0,0.00134,0,0,0,0,0,0,0,0,0,0.00846,3.96748,3.95901,0,0,1.7763,0.68745,0.48934,0.06757,0.49882,0.48571,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47117,0.00100459,0.00100459,0.00100459
5,359.478,0,0,0,0,0.01777,0.00165,0.00586,0.02261,0.39841,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0.00586,3.98393,3.97807,0,0,2.00361,0.75219,0.49098,0.06672,0.49834,0.487,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44635,0.000863116,0.000863116,0.000863116
6,424.363,0,0,0,0,0.01699,0.00142,0.00479,0.02253,0.3898,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0.00479,3.98665,3.98186,0,0,1.98241,0.64183,0.48955,0.06613,0.49319,0.4851,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43595,0.000721645,0.000721645,0.000721645
7,492.176,0,0,0,0,0.0162,0.00129,0.00432,0.02248,0.38457,0,0,0,0,0.00049,0,0,0,0,0,0,0,0,0,0.00432,3.98808,3.98376,0,0,1.97139,0.67327,0.48927,0.06552,0.49379,0.48374,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42935,0.000580174,0.000580174,0.000580174
8,561.686,0,0,0,0,0.01553,0.00094,0.00338,0.02241,0.38005,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0.00338,3.99049,3.98711,0,0,2.02925,0.67973,0.4894,0.06572,0.49634,0.48479,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42239,0.000438703,0.000438703,0.000438703
9,631.437,0,0,0,0,0.01513,0.00131,0.00296,0.02237,0.37667,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0.00296,3.99187,3.98891,0,0,2.08216,0.68116,0.48894,0.06555,0.49764,0.48379,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41846,0.000297232,0.000297232,0.000297232
10,706.773,0,0,0,0,0.01488,0.00126,0.00261,0.02234,0.37195,0,0,0,0,0.00012,0,0,0,0,0,0,0,0,0,0.00261,3.99283,3.99022,0,0,2.10919,0.72099,0.4885,0.06564,0.49839,0.48306,0.85162,0.78039,0.82461,0.55654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41316,0.000155761,0.000155761,0.000155761
