epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.973,2.34335,3.00671,1.34779,0.48963,0.28835,0.27939,0.10854,2.28645,1.94615,1.16178,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,299.99,2.26928,1.79086,1.16613,0.29762,0.29812,0.20151,0.07615,2.61206,4.6542,1.23869,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,416.837,2.42194,1.79571,1.25108,0.24047,0.27782,0.13913,0.0427,2.64974,8.95923,1.44499,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,536.325,2.4344,1.75648,1.28608,0.3731,0.33496,0.25653,0.09772,2.43595,2.10541,1.26291,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,656.428,2.30898,1.60167,1.25048,0.42847,0.41603,0.37479,0.1483,2.26754,4.1674,1.19222,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,755.135,2.24846,1.50701,1.22126,0.43002,0.39114,0.37381,0.15549,2.27576,2.82959,1.19597,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,849.834,2.1853,1.4301,1.18958,0.55574,0.43243,0.39408,0.16447,2.13168,1.49054,1.15871,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,946.826,2.12793,1.38033,1.17402,0.53989,0.43524,0.43707,0.18167,2.11117,1.51994,1.17006,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1040.73,2.09294,1.32549,1.16053,0.60866,0.50869,0.52961,0.23261,2.04194,1.36635,1.12475,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1146.69,2.0758,1.29685,1.15154,0.62959,0.52857,0.55027,0.24627,1.99161,1.25402,1.11084,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1247.99,2.04026,1.28313,1.13393,0.58263,0.5597,0.55172,0.25185,2.00044,1.27104,1.09235,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,1349.61,2.02474,1.24182,1.12172,0.6821,0.566,0.58524,0.27213,1.97076,1.25599,1.08972,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,1439.81,2.00634,1.23319,1.11204,0.66186,0.55424,0.57307,0.23408,2.02893,1.2823,1.10798,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,1542.31,1.9894,1.20597,1.10484,0.67393,0.58119,0.61656,0.28466,1.93815,1.17553,1.06455,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,1654.93,1.97755,1.19474,1.09766,0.64961,0.57842,0.59859,0.27788,1.93372,1.22872,1.07052,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,1762.12,1.96597,1.16894,1.09016,0.69088,0.60734,0.63121,0.29286,1.89164,1.10901,1.05167,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,1858.95,1.93608,1.1514,1.08121,0.67883,0.59955,0.61647,0.28884,1.90557,1.1002,1.05731,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,1970.18,1.93374,1.13765,1.0799,0.70795,0.61956,0.65314,0.31522,1.85739,1.08096,1.04288,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,2070.51,1.9252,1.13035,1.07749,0.74133,0.64066,0.69876,0.34121,1.81763,1.03759,1.02838,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,2159.79,1.90868,1.1177,1.06783,0.71928,0.6452,0.68017,0.33111,1.81777,1.04404,1.02625,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,2260.08,1.90224,1.10653,1.06664,0.71731,0.64468,0.67573,0.33264,1.81662,1.04199,1.02284,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
