epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,315.933,2.72413,2.55826,1.58612,0.53026,0.20342,0.14047,0.04591,3.01745,2.36652,1.47974,0.00997821,0.00332607,0.00997821,0.00332607,0.00997821,0.00332607,0.00997821,0.00332607
2,582.27,2.80818,2.2207,1.48728,0.53342,0.1691,0.11617,0.03739,2.83686,2.6491,1.4264,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938
3,817.284,2.90167,2.33564,1.54823,0.10075,0.13209,0.05476,0.01619,3.0532,4.35304,1.60459,0.0299778,0.00999259,0.0299778,0.00999259,0.0299778,0.00999259,0.0299778,0.00999259
4,1052.61,2.91916,2.35088,1.57351,0.31405,0.19277,0.15213,0.05681,2.85214,2.39468,1.48264,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,1270.25,2.79177,2.16837,1.51355,0.32533,0.2515,0.19943,0.07685,2.67511,1.95743,1.39591,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1479.58,2.66626,2.0538,1.45208,0.60996,0.23545,0.23322,0.09321,2.6042,1.8561,1.36206,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1700.72,2.62845,1.95323,1.43581,0.37317,0.30769,0.25376,0.09413,2.59002,1.96156,1.33908,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1907.95,2.567,1.89079,1.40982,0.38398,0.29586,0.26847,0.11448,2.57411,1.87635,1.32746,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,2118.26,2.52873,1.83838,1.38621,0.51015,0.27869,0.29203,0.12519,2.48889,1.72055,1.28751,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,2354.23,2.48396,1.78186,1.36356,0.4595,0.32275,0.31125,0.13491,2.43934,1.68742,1.27072,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,2561.87,2.44614,1.72576,1.34049,0.44715,0.34041,0.31758,0.13633,2.42452,1.63728,1.27271,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,2773.8,2.42867,1.69177,1.33786,0.46221,0.33934,0.33867,0.14768,2.3798,1.55532,1.2413,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,3010.07,2.41351,1.6809,1.31756,0.44106,0.35497,0.33232,0.14801,2.39359,1.64357,1.24278,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,3228.21,2.38112,1.6282,1.29276,0.45474,0.36714,0.35897,0.1588,2.34164,1.50521,1.22875,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
