epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,223.868,2.73855,2.75276,1.60746,0.61798,0.18718,0.16873,0.06499,2.79068,2.3683,1.3343,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,454.284,2.71707,2.13968,1.40695,0.50981,0.17669,0.11451,0.03784,2.87904,4.50719,1.46688,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,680.005,2.91054,2.32528,1.5159,0.46505,0.10367,0.05693,0.0187,3.07365,13.3723,1.72912,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,871.374,2.90216,2.31141,1.53326,0.55777,0.16839,0.12465,0.0393,2.85768,2.56782,1.51112,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,1054.47,2.77418,2.14751,1.46615,0.28091,0.22832,0.1748,0.0624,2.77213,2.43047,1.40708,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1270.3,2.70724,2.05377,1.42421,0.60935,0.21437,0.20326,0.08266,2.62546,1.99409,1.35934,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1464.3,2.63954,1.9687,1.39505,0.37859,0.27067,0.22841,0.09071,2.58456,1.9117,1.33211,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1676.41,2.58712,1.90839,1.3643,0.34199,0.26099,0.24777,0.10407,2.60236,2.45283,1.3224,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1871.29,2.55069,1.85409,1.34446,0.46164,0.28951,0.28957,0.1183,2.50174,1.74433,1.28105,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,2057.11,2.5187,1.81065,1.33606,0.43283,0.31867,0.30268,0.12849,2.43784,1.65828,1.25286,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,2259.75,2.49109,1.76758,1.31506,0.71071,0.27806,0.31361,0.1295,2.45844,1.6492,1.25189,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,2444.79,2.46058,1.73225,1.29979,0.42152,0.3337,0.31924,0.14156,2.39311,1.65837,1.23274,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
