run,model,phase,epochs,best_epoch,best_map,last_epoch,last_map,best_final_drop,last_train_det_total,last_val_det_total,path
mainline YOLO11n,n,A1,10,1,0.55795,10,0.55795,0.0,0.0,0.0,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_a1_e10_b64_s42_gpu0/results.csv
mainline YOLO11n,n,A2,50,42,0.56401,50,0.56127,0.0027399999999999647,2.1793500000000003,2.51546,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_a2_e50_b64_s42_gpu0/results.csv
mainline YOLO11n,n,B,800,400,0.57615,800,0.57295,0.0032000000000000917,2.03677,2.54516,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s42_gpu0/results.csv
mainline YOLO11s,s,A1,10,1,0.62878,10,0.62878,0.0,0.0,0.0,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_a1_e10_b64_s0_gpu1/results.csv
mainline YOLO11s,s,A2,50,12,0.62664,50,0.62349,0.003149999999999986,1.80518,2.33296,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_a2_e50_b64_s0_gpu1/results.csv
mainline YOLO11s,s,B,800,263,0.63388,800,0.61759,0.016290000000000027,1.68063,2.40325,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_bnfreeze1e3_public4090dual_final_v2_b_e800_b64_s0_gpu1/results.csv
s A2 lr3e-4 short13,s,A2,13,13,0.63057,13,0.63057,0.0,1.83078,2.31103,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_b1_a2_e13_b64_s0_gpu0/results.csv
s A2 lr3e-4 short13,s,B,1,1,0.60811,1,0.60811,0.0,1.91431,2.42211,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_b1_b_e1_b64_s0_gpu0/results.csv
s A2 lr1e-4 short15,s,A2,15,13,0.63051,15,0.62647,0.0040400000000000436,1.8227600000000002,2.32499,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr1e4_short15_b1_a2_e15_b64_s0_gpu1/results.csv
s A2 lr1e-4 short15,s,B,1,1,0.60908,1,0.60908,0.0,1.93263,2.41892,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr1e4_short15_b1_b_e1_b64_s0_gpu1/results.csv
s short13 + B det-only200,s,A2,13,13,0.63057,13,0.63057,0.0,1.83078,2.31103,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_bdetonly200_a2_e13_b64_s0_gpu0/results.csv
s short13 + B det-only200,s,B,200,84,0.62436,200,0.6188,0.005560000000000009,1.7511299999999999,2.3522600000000002,ladd/results/ladd_curve_analysis_20260612/source/runs_public_ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_diag_a2select_s_s0_a2lr3e4_short13_bdetonly200_b_e200_b64_s0_gpu0/results.csv
s B alphaKD0.5 B400,s,B,402,218,0.63074,400,0.61802,0.012719999999999954,1.701,2.35183,ladd/results/capacity_kd_20260611/alpha0p5_b400/b_results.csv
s B alphaKD0.25 B400,s,B,402,199,0.63027,400,0.61719,0.01307999999999998,1.69431,2.35055,ladd/results/capacity_kd_20260611/alpha0p25_b400/b_results.csv
