epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,105.289,0,0,0,0,0.01475,0.00097,0.30949,0.23503,7.93556,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.30949,2.3348,2.0253,0,0,0.84658,0.32924,0.52207,0.04542,0.53115,0.51766,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.49581,0.000475296,0.000475296,0.000475296
2,203.134,0,0,0,0,0.01039,0.0004,0.0105,0.15449,0.33655,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.0105,2.40336,2.39285,0,0,1.46236,0.45044,0.53184,0.04763,0.51317,0.51499,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51234,0.000857418,0.000857418,0.000857418
3,300.474,0,0,0,0,0.01084,0.00056,0.00699,0.15399,0.32151,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00699,2.57817,2.57118,0,0,2.88864,0.61629,0.52469,0.05259,0.49941,0.51316,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4939,0.00114523,0.00114523,0.00114523
4,397.139,0,0,0,0,0.01002,0.00033,0.00525,0.15373,0.30516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00525,2.8134,2.80815,0,0,2.80422,0.61492,0.52449,0.05721,0.498,0.51609,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47449,0.00100459,0.00100459,0.00100459
5,493.895,0,0,0,0,0.00897,0.00027,0.00372,0.15351,0.29762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00372,2.75684,2.75312,0,0,2.64632,0.62234,0.51647,0.05684,0.49774,0.51414,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46409,0.000863116,0.000863116,0.000863116
6,593.204,0,0,0,0,0.00822,0.00021,0.00304,0.15341,0.2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304,2.68936,2.68632,0,0,3.07062,0.63793,0.51993,0.05773,0.49683,0.51299,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45528,0.000721645,0.000721645,0.000721645
7,732.796,0,0,0,0,0.00779,0.00018,0.00235,0.15331,0.28722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235,2.68733,2.68497,0,0,2.73245,0.60392,0.5216,0.05765,0.48582,0.51081,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45085,0.000580174,0.000580174,0.000580174
8,901.069,0,0,0,0,0.00755,0.00016,0.00195,0.15326,0.28127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195,2.67821,2.67626,0,0,2.33948,0.56398,0.5228,0.05743,0.49122,0.51372,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44419,0.000438703,0.000438703,0.000438703
9,1000.26,0,0,0,0,0.00737,0.00015,0.00159,0.1532,0.27878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159,2.67622,2.67463,0,0,2.31954,0.53056,0.52466,0.05712,0.48536,0.50502,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44109,0.000297232,0.000297232,0.000297232
10,1123.82,0,0,0,0,0.00727,0.00014,0.0013,0.15316,0.27464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,2.66007,2.65877,0,0,2.29266,0.52374,0.51974,0.05844,0.49248,0.50708,0.94255,0.9033,0.93512,0.65533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43651,0.000155761,0.000155761,0.000155761
