epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,331.99,0.63629,0.30915,0.79356,0,0.00719,0.00033,0.00115,0.15314,0.26815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115,2.64731,2.64616,0,0,2.19024,0.49363,0.52235,0.05855,0.48805,0.50885,0.92927,0.88795,0.9208,0.63156,1.06155,0.46014,0.84889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63156,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003
2,624.031,0.64053,0.30982,0.7933,0,0.0071,0.00035,0.00111,0.15314,0.26945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111,2.64911,2.648,0,0,2.17101,0.491,0.52218,0.05853,0.48765,0.50848,0.934,0.8941,0.92613,0.63589,1.05236,0.45237,0.85343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63589,0.00088218,0.00029406,0.00088218,0.00029406,0.00088218,0.00029406,0.00088218,0.00029406
3,932.796,0.64026,0.30953,0.79083,0,0.00711,0.00034,0.00109,0.15313,0.26977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,2.6467,2.64561,0,0,2.21038,0.48822,0.52237,0.05863,0.48595,0.50837,0.93704,0.89178,0.92867,0.63769,1.05165,0.45003,0.85308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63769,0.00086436,0.00028812,0.00086436,0.00028812,0.00086436,0.00028812,0.00086436,0.00028812
4,1258.44,0.63572,0.30798,0.79149,0,0.00707,0.00034,0.00107,0.15313,0.26833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,2.65056,2.64949,0,0,2.23553,0.48302,0.52255,0.05861,0.48588,0.5082,0.93682,0.89328,0.92615,0.63711,1.04404,0.452,0.85124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63711,0.00084654,0.00028218,0.00084654,0.00028218,0.00084654,0.00028218,0.00084654,0.00028218
5,1554.87,0.63564,0.30859,0.7911,0,0.00707,0.00034,0.00107,0.15313,0.26788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,2.65101,2.64995,0,0,2.22921,0.47992,0.5227,0.05865,0.48551,0.50798,0.94019,0.89076,0.92597,0.63648,1.04668,0.4554,0.84741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63648,0.00082872,0.00027624,0.00082872,0.00027624,0.00082872,0.00027624,0.00082872,0.00027624
6,1881.99,0.63072,0.30783,0.7918,0,0.00702,0.00034,0.00106,0.15313,0.26781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,2.65284,2.65179,0,0,2.22877,0.47665,0.52305,0.05878,0.48551,0.50796,0.93613,0.89176,0.92735,0.63369,1.06166,0.46222,0.85116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63369,0.0008109,0.0002703,0.0008109,0.0002703,0.0008109,0.0002703,0.0008109,0.0002703
7,2160.28,0.63519,0.3096,0.79265,0,0.00709,0.00032,0.00104,0.15313,0.26825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,2.65486,2.65382,0,0,2.21769,0.47253,0.52361,0.05877,0.48585,0.5083,0.93966,0.89466,0.92976,0.63949,1.04369,0.45714,0.84825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63949,0.00079308,0.00026436,0.00079308,0.00026436,0.00079308,0.00026436,0.00079308,0.00026436
8,2439.72,0.63546,0.30844,0.79245,0,0.00695,0.00033,0.00102,0.15312,0.26705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102,2.65619,2.65517,0,0,2.20579,0.4696,0.52398,0.05887,0.4861,0.50836,0.94895,0.89968,0.93681,0.64611,1.05175,0.45054,0.85191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64611,0.00077526,0.00025842,0.00077526,0.00025842,0.00077526,0.00025842,0.00077526,0.00025842
9,2673.45,0.63284,0.30827,0.79135,0,0.00701,0.00032,0.001,0.15312,0.26792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,2.65327,2.65226,0,0,2.26531,0.46603,0.52422,0.0589,0.48558,0.50819,0.94742,0.89412,0.93241,0.6403,1.05271,0.45002,0.85358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6403,0.00075744,0.00025248,0.00075744,0.00025248,0.00075744,0.00025248,0.00075744,0.00025248
10,2894.98,0.63762,0.30853,0.78987,0,0.00694,0.00032,0.00099,0.15312,0.26798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,2.6553,2.65432,0,0,2.22682,0.46324,0.52468,0.05902,0.48525,0.50821,0.94341,0.88879,0.92709,0.63894,1.03975,0.44472,0.85017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63894,0.00073962,0.00024654,0.00073962,0.00024654,0.00073962,0.00024654,0.00073962,0.00024654
