epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,263.844,0.63219,0.30837,0.79445,0,0.00708,0.00014,0.00117,0.15314,0.26918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,2.6584,2.65724,0,0,2.10608,0.49287,0.5222,0.05861,0.4933,0.50859,0.93954,0.89446,0.92879,0.63913,1.04461,0.45169,0.84681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63913,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003
2,469.153,0.63183,0.30786,0.7919,0,0.00714,0.00013,0.00114,0.15314,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,2.66344,2.6623,0,0,2.09085,0.48977,0.52217,0.05861,0.49308,0.50853,0.94255,0.8996,0.93419,0.6428,1.06253,0.45358,0.85589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6428,0.0008109,0.0002703,0.0008109,0.0002703,0.0008109,0.0002703,0.0008109,0.0002703
3,675.218,0.62981,0.30881,0.79231,0,0.0071,0.00013,0.00111,0.15314,0.2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111,2.65943,2.65833,0,0,2.11685,0.48714,0.52219,0.05861,0.49117,0.50826,0.94022,0.88754,0.92659,0.63608,1.05098,0.4604,0.84782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63608,0.0007218,0.0002406,0.0007218,0.0002406,0.0007218,0.0002406,0.0007218,0.0002406
4,907.744,0.6242,0.30318,0.79184,0,0.00705,0.00013,0.00109,0.15313,0.26391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,2.66248,2.66138,0,0,2.09435,0.48468,0.52221,0.05864,0.49283,0.5081,0.94349,0.89745,0.93328,0.64929,1.03641,0.4455,0.85149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64929,0.0006327,0.0002109,0.0006327,0.0002109,0.0006327,0.0002109,0.0006327,0.0002109
5,1109.54,0.6299,0.30536,0.79363,0,0.00708,0.00013,0.00108,0.15313,0.26519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,2.66519,2.66411,0,0,2.09089,0.4817,0.52217,0.05873,0.49181,0.5079,0.93479,0.89735,0.92899,0.64015,1.04341,0.44894,0.84849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64015,0.0005436,0.0001812,0.0005436,0.0001812,0.0005436,0.0001812,0.0005436,0.0001812
6,1355.15,0.61824,0.30334,0.79304,0,0.00704,0.00013,0.00107,0.15313,0.26323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,2.6639,2.66283,0,0,2.094,0.47974,0.52226,0.05869,0.49209,0.5078,0.94313,0.90144,0.93507,0.646,1.04662,0.44881,0.84623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646,0.0004545,0.0001515,0.0004545,0.0001515,0.0004545,0.0001515,0.0004545,0.0001515
7,1558.98,0.61736,0.30326,0.79167,0,0.00704,0.00013,0.00105,0.15313,0.26331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105,2.66076,2.65971,0,0,2.09933,0.47882,0.52255,0.05872,0.49181,0.50802,0.94226,0.89674,0.93173,0.64131,1.04044,0.4485,0.84611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64131,0.0003654,0.0001218,0.0003654,0.0001218,0.0003654,0.0001218,0.0003654,0.0001218
8,1798.46,0.61656,0.30079,0.78946,0,0.00706,0.00013,0.00106,0.15313,0.26152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,2.66522,2.66416,0,0,2.08199,0.47747,0.52267,0.05885,0.49215,0.50803,0.93812,0.90087,0.93286,0.64323,1.04488,0.4523,0.84747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64323,0.0002763,9.21e-05,0.0002763,9.21e-05,0.0002763,9.21e-05,0.0002763,9.21e-05
9,2014.5,0.61248,0.29918,0.79194,0,0.00705,0.00012,0.00105,0.15313,0.2607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105,2.66439,2.66335,0,0,2.10121,0.47629,0.5228,0.0588,0.49175,0.50803,0.93975,0.89768,0.93137,0.63959,1.04617,0.44809,0.84832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63959,0.0001872,6.24e-05,0.0001872,6.24e-05,0.0001872,6.24e-05,0.0001872,6.24e-05
10,2212.9,0.60956,0.29872,0.79097,0,0.00707,0.00012,0.00105,0.15313,0.26023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105,2.66356,2.66251,0,0,2.10734,0.47655,0.52297,0.05887,0.49259,0.50811,0.9406,0.89558,0.93081,0.6399,1.0455,0.45035,0.84749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6399,9.81e-05,3.27e-05,9.81e-05,3.27e-05,9.81e-05,3.27e-05,9.81e-05,3.27e-05
