epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,213.089,0.67848,0.3257,0.79758,0,0.00705,0.00014,0.00117,0.15314,0.28085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,2.66066,2.65949,0,0,2.12798,0.4898,0.52244,0.05858,0.49325,0.50853,0.94096,0.88653,0.92507,0.63283,1.06163,0.45064,0.85316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63283,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,421.371,0.69516,0.33234,0.79596,0,0.00706,0.00012,0.00114,0.15314,0.28552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,2.66372,2.66259,0,0,2.09855,0.47888,0.52285,0.05863,0.49314,0.50839,0.93958,0.8985,0.93244,0.6441,1.05984,0.46003,0.85055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6441,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
3,655.045,0.68931,0.33198,0.79659,0,0.00698,0.00012,0.0011,0.15313,0.28496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,2.65783,2.65672,0,0,2.10177,0.46915,0.52323,0.05876,0.49082,0.50733,0.93387,0.87907,0.91946,0.63124,1.06333,0.45876,0.85261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63124,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
4,857.314,0.67884,0.32499,0.79569,0,0.00689,0.00013,0.00106,0.15313,0.27769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,2.66438,2.66333,0,0,2.07074,0.46108,0.52458,0.05881,0.49304,0.50806,0.93787,0.89403,0.92931,0.64411,1.0702,0.46077,0.85426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64411,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
5,1077.88,0.67805,0.32402,0.79688,0,0.00689,0.00012,0.00103,0.15312,0.27818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103,2.66715,2.66611,0,0,2.05223,0.45304,0.52494,0.05886,0.49225,0.50775,0.92135,0.88532,0.91797,0.62647,1.07137,0.45926,0.84719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62647,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
6,1307.78,0.66133,0.32003,0.79605,0,0.00683,0.00012,0.00102,0.15312,0.27564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102,2.66635,2.66533,0,0,2.03319,0.44669,0.52494,0.05871,0.49237,0.50727,0.93249,0.89678,0.929,0.63433,1.07415,0.45681,0.84899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63433,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
7,1527.91,0.6525,0.31702,0.79404,0,0.00681,0.00012,0.00099,0.15312,0.27284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,2.66332,2.66233,0,0,2.02361,0.44235,0.52525,0.05874,0.49248,0.50768,0.93107,0.89279,0.92633,0.63358,1.06146,0.45724,0.84833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63358,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
8,1733.1,0.64579,0.31256,0.79139,0,0.00681,0.00012,0.00098,0.15312,0.26944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098,2.66926,2.66828,0,0,2.00551,0.43882,0.52566,0.05891,0.49331,0.50836,0.94104,0.89635,0.9324,0.63813,1.06744,0.46157,0.84979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63813,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
9,1926.54,0.63523,0.3087,0.79336,0,0.00679,0.00012,0.00097,0.15312,0.26884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,2.67,2.66903,0,0,2.01042,0.4357,0.52579,0.05883,0.49317,0.50854,0.94142,0.88709,0.92611,0.63197,1.06823,0.4567,0.84972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63197,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
10,2137.64,0.62604,0.30505,0.79184,0,0.0068,0.00011,0.00097,0.15311,0.26674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,2.66879,2.66782,0,0,2.01069,0.43476,0.52566,0.05887,0.49387,0.50838,0.94257,0.89775,0.93202,0.64276,1.03941,0.4478,0.84589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64276,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
