epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,effective_alpha_kd,kd_multiplier,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,a2,0.003,0.001,0.003,0.67848,0.3257,0.79758,0.0,0.00117,0.15314,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
2,a2,0.0029406,0.0009802,0.0029406,0.70068,0.33397,0.79653,0.0,0.00114,0.15314,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
3,a2,0.0028812,0.0009603999999999999,0.0028812,0.70021,0.33685,0.79707,0.0,0.00109,0.15313,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
4,a2,0.0028218,0.0009406,0.0028218,0.69907,0.33399,0.79706,0.0,0.00106,0.15313,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
5,a2,0.0027624000000000004,0.0009208,0.0027624000000000004,0.70654,0.3358,0.79882,0.0,0.00104,0.15313,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
6,a2,0.002703,0.000901,0.002703,0.69773,0.33456,0.79874,0.0,0.00101,0.15312,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
7,a2,0.0026436,0.0008812,0.0026436,0.69656,0.33433,0.79749,0.0,0.00099,0.15312,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
8,a2,0.0025842,0.0008614,0.0025842,0.69787,0.3339,0.79554,0.0,0.00097,0.15312,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
9,a2,0.0025248000000000002,0.0008416000000000001,0.0025248000000000002,0.69576,0.33349,0.79789,0.0,0.00095,0.15311,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
10,a2,0.0024654000000000004,0.0008218000000000001,0.0024654000000000004,0.6925,0.33185,0.79701,0.0,0.00094,0.15311,178.875,0.8997980356216431,2.40234375,19.828125,106,normal,0,0,nan,nan,nan,nan,1.0,1.0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
