epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head
1,a2,0.003,0.001,0.003,0.99999,0.49661,0.8288,0.0,0.00227,0.1533,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,119.37403106689453,nan,nan,6.711126804351807
2,a2,0.0029406,0.0009802,0.0029406,1.01432,0.50302,0.82948,0.0,0.00212,0.15328,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,60.602500915527344,nan,nan,2.4187002182006836
3,a2,0.0028812,0.0009603999999999999,0.0028812,1.02542,0.50663,0.82829,0.0,0.00202,0.15326,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,154.08538818359375,nan,nan,3.5918898582458496
4,a2,0.0028218,0.0009406,0.0028218,1.03046,0.50985,0.8304,0.0,0.00194,0.15325,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,159.0895538330078,nan,nan,3.2036681175231934
5,a2,0.0027624000000000004,0.0009208,0.0027624000000000004,1.0192,0.50209,0.82996,0.0,0.00185,0.15324,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,177.76699829101562,nan,nan,5.017569541931152
6,a2,0.002703,0.000901,0.002703,1.01639,0.50247,0.83007,0.0,0.00183,0.15324,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,100.51854705810547,nan,nan,4.3884596824646
7,a2,0.0026436,0.0008812,0.0026436,1.01999,0.50408,0.82891,0.0,0.00177,0.15323,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,97.11668395996094,nan,nan,3.140737771987915
8,a2,0.0025842,0.0008614,0.0025842,1.01261,0.50064,0.82918,0.0,0.00171,0.15322,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,123.74828338623047,nan,nan,5.104109287261963
9,a2,0.0025248000000000002,0.0008416000000000001,0.0025248000000000002,1.01521,0.49915,0.82656,0.0,0.00167,0.15322,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,151.68748474121094,nan,nan,5.448951244354248
10,a2,0.0024654000000000004,0.0008218000000000001,0.0024654000000000004,1.01658,0.50265,0.82855,0.0,0.00164,0.15321,78.875,1.934607744216919,9.700389862060547,31.015625,81,normal,0,0,70.84198760986328,nan,nan,3.8712053298950195
