epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,159.085,0.99999,0.49661,0.8288,0,0.0134,0.00104,0.00227,0.1533,0.38072,0,0,0,0,0.00024,0,0,0,0,0,0,0,0,0,0.00227,2.41276,2.41049,0,0,1.24614,0.56742,0.48493,0.05627,0.48602,0.47857,0.83688,0.77068,0.8106,0.53838,1.18364,0.54862,0.8533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53838,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,334.441,1.01432,0.50302,0.82948,0,0.01321,0.00068,0.00212,0.15328,0.38223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212,2.40746,2.40534,0,0,1.21485,0.54779,0.48492,0.05623,0.48319,0.47671,0.83684,0.76864,0.81237,0.53982,1.21078,0.55951,0.85802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53982,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
3,484.668,1.02542,0.50663,0.82829,0,0.01301,0.00039,0.00202,0.15326,0.38335,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0.00202,2.40764,2.40562,0,0,1.20072,0.53524,0.48557,0.05622,0.48415,0.47655,0.83816,0.7661,0.81373,0.54149,1.19902,0.55407,0.85473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54149,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
4,635.389,1.03046,0.50985,0.8304,0,0.01284,0.00074,0.00194,0.15325,0.38341,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00194,2.41313,2.4112,0,0,1.21301,0.53919,0.48435,0.05606,0.48413,0.47598,0.85378,0.76664,0.81386,0.54097,1.22334,0.56638,0.85926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54097,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,795.187,1.0192,0.50209,0.82996,0,0.01267,0.00054,0.00185,0.15324,0.37898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,2.4153,2.41345,0,0,1.18319,0.53422,0.48424,0.05576,0.48356,0.47582,0.85617,0.76855,0.81585,0.53896,1.21782,0.56131,0.85884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53896,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,940.412,1.01639,0.50247,0.83007,0,0.01254,0.00056,0.00183,0.15324,0.378,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0.00183,2.41435,2.41252,0,0,1.14051,0.51691,0.4849,0.05575,0.47998,0.47492,0.84307,0.77302,0.81548,0.53385,1.24957,0.57157,0.86113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53385,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,1106.23,1.01999,0.50408,0.82891,0,0.01238,0.00058,0.00177,0.15323,0.37983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177,2.41858,2.41681,0,0,1.17146,0.51737,0.48457,0.05584,0.48077,0.47499,0.84329,0.77565,0.81919,0.53661,1.23023,0.5576,0.85925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53661,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,1253.54,1.01261,0.50064,0.82918,0,0.01225,0.00073,0.00171,0.15322,0.37688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171,2.42439,2.42268,0,0,1.15841,0.52123,0.48455,0.05572,0.48241,0.47576,0.83098,0.7729,0.80967,0.5387,1.20811,0.55237,0.85789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5387,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,1405,1.01521,0.49915,0.82656,0,0.01211,0.00045,0.00167,0.15322,0.37586,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0.00167,2.4261,2.42443,0,0,1.15206,0.51479,0.48483,0.05572,0.48248,0.47572,0.85716,0.77435,0.81878,0.53936,1.22481,0.55317,0.85912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53936,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,1559.65,1.01658,0.50265,0.82855,0,0.01198,0.00075,0.00164,0.15321,0.37835,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0.00164,2.42627,2.42463,0,0,1.12628,0.50232,0.48467,0.05562,0.48034,0.47445,0.85984,0.77182,0.82152,0.54364,1.19985,0.54713,0.85407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54364,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,1702.05,1.00891,0.49848,0.82805,0,0.01184,0.00059,0.00158,0.1532,0.37698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158,2.43138,2.4298,0,0,1.19459,0.5249,0.48446,0.05557,0.48417,0.47736,0.8426,0.77653,0.81975,0.546,1.19097,0.54693,0.85579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
