epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head
1,b,0.003,0.001,0.003,1.02814,0.51305,0.83604,4.10515,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,116.58432006835938,nan,nan,nan
2,b,0.0029992672421431115,0.0009997557473810372,0.0029992672421431115,1.08258,0.53273,0.84289,1.51898,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,691.299072265625,nan,nan,nan
3,b,0.0029970696917159833,0.0009990232305719944,0.0029970696917159833,1.0696,0.52877,0.83847,1.17656,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,134.63894653320312,nan,nan,nan
4,b,0.002993409517435574,0.0009978031724785245,0.002993409517435574,1.09976,0.54358,0.84509,1.23056,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,155.79153442382812,nan,nan,nan
5,b,0.0029882903314519997,0.0009960967771506667,0.0029882903314519997,1.09246,0.53977,0.84419,1.22841,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,342.23687744140625,nan,nan,nan
6,b,0.0029817171857837795,0.000993905728594593,0.0029817171857837795,1.08865,0.53598,0.84527,1.12089,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,163.29869079589844,nan,nan,nan
7,b,0.002973696567332103,0.000991232189110701,0.002973696567332103,1.08105,0.53322,0.84063,1.13142,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,445.98541259765625,nan,nan,nan
8,b,0.00296423639147904,0.00098807879715968,0.00296423639147904,1.08277,0.53152,0.84318,1.08221,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,707.3461303710938,nan,nan,nan
9,b,0.0029533459942760174,0.0009844486647586726,0.0029533459942760174,1.08543,0.53218,0.83982,1.14113,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,152.98104858398438,nan,nan,nan
10,b,0.002941036123230261,0.0009803453744100868,0.002941036123230261,1.09741,0.54093,0.84469,1.1824,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,93.11266326904297,nan,nan,nan
11,b,0.002927318926698303,0.000975772975566101,0.002927318926698303,1.09673,0.5374,0.84402,1.15141,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,139.62281799316406,nan,nan,nan
12,b,0.0029122079418970248,0.0009707359806323416,0.0029122079418970248,1.09431,0.53747,0.84418,1.12865,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,316.62469482421875,nan,nan,nan
13,b,0.0028957180815440534,0.0009652393605146845,0.0028957180815440534,1.08275,0.53636,0.84253,0.89313,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,147.11647033691406,nan,nan,nan
14,b,0.002877865619140712,0.0009592885397135707,0.002877865619140712,1.08138,0.53211,0.84093,0.83732,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,114.47974395751953,nan,nan,nan
15,b,0.0028586681729120393,0.0009528893909706797,0.0028586681729120393,1.08155,0.53413,0.84296,0.88912,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,243.8903350830078,nan,nan,nan
16,b,0.002838144688419726,0.0009460482294732421,0.002838144688419726,1.08178,0.53172,0.8424,0.87737,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,156.47853088378906,nan,nan,nan
17,b,0.0028163154198651372,0.0009387718066217125,0.0028163154198651372,1.08142,0.53344,0.84178,0.86386,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,149.23648071289062,nan,nan,nan
18,b,0.002793201910100856,0.0009310673033669522,0.002793201910100856,1.07188,0.52897,0.84008,0.98475,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,136.15762329101562,nan,nan,nan
